DATE,PN,CN,COVID
20190201,-0.12988168852669849,4450,0
20190202,-0.1298816885266988,5343,0
20190203,-0.1298816885266986,5191,0
20190204,-0.1298816885266985,4511,0
20190205,-0.1298816885266982,3559,0
20190206,-0.12988168852669818,4185,0
20190207,-0.12988168852669835,3335,0
20190208,-0.12988168852669826,3835,0
20190209,-0.12988168852669854,5025,0
20190210,-0.12988168852669846,4714,0
20190211,-0.12988168852669826,3460,0
20190212,-0.12988168852669835,3235,0
20190213,-0.12988168852669832,3868,0
20190214,-0.1298816885266986,4478,0
20190215,-0.12988168852669865,4519,0
20190216,-0.12988168852669885,6335,0
20190217,-0.12988168852669885,5443,0
20190218,-0.1298816885266984,3867,0
20190219,-0.12988168852669835,3371,0
20190220,-0.12988168852669846,3849,0
20190221,-0.12988168852669846,3833,0
20190222,-0.12988168852669854,4262,0
20190223,-0.129881688526699,6690,0
20190224,-0.12988168852669885,5661,0
20190225,-0.1298816885266983,3907,0
20190226,-0.12988168852669835,3793,0
20190227,-0.12988168852669854,4030,0
20190228,-0.12988168852669865,4338,0
20190301,-0.2452360817364277,6521,0
20190302,-0.24523608173642805,6447,0
20190303,-0.2452360817364284,4895,0
20190304,-0.24523608173642905,3150,0
20190305,-0.24523608173642905,3033,0
20190306,-0.24523608173642905,3373,0
20190307,-0.24523608173642905,3163,0
20190308,-0.2452360817364289,3786,0
20190309,-0.2452360817364282,5395,0
20190310,-0.2452360817364287,4826,0
20190311,-0.24523608173642905,3304,0
20190312,-0.24523608173642905,3280,0
20190313,-0.24523608173642905,3497,0
20190314,-0.2452360817364289,3945,0
20190315,-0.2452360817364287,4009,0
20190316,-0.2452360817364277,6280,0
20190317,-0.2452360817364285,5161,0
20190318,-0.24523608173642905,3383,0
20190319,-0.24523608173642905,3273,0
20190320,-0.24523608173642905,3774,0
20190321,-0.2452360817364289,3572,0
20190322,-0.2452360817364286,4086,0
20190323,-0.2452360817364278,6178,0
20190324,-0.2452360817364285,4994,0
20190325,-0.24523608173642905,3274,0
20190326,-0.24523608173642905,3295,0
20190327,-0.24523608173642905,3549,0
20190328,-0.24523608173642905,3804,0
20190329,-0.2452360817364288,4258,0
20190330,-0.2452360817364276,6184,0
20190331,-0.2452360817364285,4943,0
20190401,-0.5726537959916255,3203,0
20190402,-0.5726537959916245,3296,0
20190403,-0.5726537959916242,3608,0
20190404,-0.5726537959916246,3646,0
20190405,-0.5726537959916242,3838,0
20190406,-0.5726537959916225,5917,0
20190407,-0.5726537959916236,4959,0
20190408,-0.572653795991626,3233,0
20190409,-0.5726537959916248,3398,0
20190410,-0.5726537959916247,3474,0
20190411,-0.5726537959916248,3677,0
20190412,-0.5726537959916229,4497,0
20190413,-0.5726537959916224,5831,0
20190414,-0.5726537959916236,4695,0
20190415,-0.5726537959916252,3341,0
20190416,-0.5726537959916252,3661,0
20190417,-0.5726537959916246,3456,0
20190418,-0.5726537959916249,3847,0
20190419,-0.5726537959916246,4170,0
20190420,-0.5726537959916227,6517,0
20190421,-0.5726537959916234,5098,0
20190422,-0.5726537959916256,3486,0
20190423,-0.5726537959916249,3560,0
20190424,-0.5726537959916242,3715,0
20190425,-0.5726537959916245,4058,0
20190426,-0.5726537959916236,4355,0
20190427,-0.5726537959916225,6104,0
20190428,-0.5726537959916237,5241,0
20190429,-0.5726537959916254,3387,0
20190430,-0.5726537959916247,3894,0
20190501,-0.5188040807843208,3887,0
20190502,-0.5188040807843208,3249,0
20190503,-0.5188040807843208,3880,0
20190504,-0.5188040807843208,5712,0
20190505,-0.5188040807843208,5680,0
20190506,-0.5188040807843208,4341,0
20190507,-0.5188040807843208,3419,0
20190508,-0.5188040807843208,3903,0
20190509,-0.5188040807843208,3578,0
20190510,-0.5188040807843208,3976,0
20190511,-0.5188040807843208,5969,0
20190512,-0.5188040807843208,5054,0
20190513,-0.5188040807843208,3222,0
20190514,-0.5188040807843208,3519,0
20190515,-0.5188040807843208,3507,0
20190516,-0.5188040807843208,3697,0
20190517,-0.5188040807843208,4277,0
20190518,-0.5188040807843208,6131,0
20190519,-0.5188040807843208,4962,0
20190520,-0.5188040807843208,3572,0
20190521,-0.5188040807843208,3408,0
20190522,-0.5188040807843208,3487,0
20190523,-0.5188040807843208,3601,0
20190524,-0.5188040807843208,4262,0
20190525,-0.5188040807843208,6686,0
20190526,-0.5188040807843208,4977,0
20190527,-0.5188040807843208,3539,0
20190528,-0.5188040807843208,3535,0
20190529,-0.5188040807843208,3629,0
20190530,-0.5188040807843208,3808,0
20190531,-0.5188040807843208,4388,0
20200201,-0.10184521675109814,4725,0
20200202,-0.10184521675109816,3828,2
20200203,-0.1018452167510982,3130,15
20200204,-0.1018452167510982,3376,0
20200205,-0.1018452167510982,3423,18
20200206,-0.10184521675109816,3337,23
20200207,-0.10184521675109816,3681,24
20200208,-0.10184521675109816,4163,24
20200209,-0.10184521675109816,3923,27
20200210,-0.1018452167510982,3319,27
20200211,-0.10184521675109816,3388,28
20200212,-0.1018452167510982,3007,28
20200213,-0.10184521675109816,3557,28
20200214,-0.10184521675109816,4454,28
20200215,-0.10184521675109816,4879,28
20200216,-0.10184521675109816,4279,29
20200217,-0.1018452167510982,3137,30
20200218,-0.1018452167510982,3395,31
20200219,-0.1018452167510982,3221,51
20200220,-0.1018452167510982,3366,104
20200221,-0.10184521675109824,3308,204
20200222,-0.1018452167510982,3628,433
20200223,-0.10184521675109824,3116,602
20200224,-0.10184521675109827,2749,833
