DATE,PN,CN,COVID
190201,-0.44806996981302943,2434,0
190202,-0.4480699698130292,10,0
190203,-0.4480699698130292,7,0
190204,-0.44806996981302905,1,0
190206,-0.44806996981302943,4364,0
190207,-0.44806996981302943,8816,0
190208,-0.44806996981302943,5948,0
190209,-0.44806996981302943,2076,0
190210,-0.44806996981302943,1781,0
190211,-0.44806996981302943,7665,0
190212,-0.44806996981302943,5972,0
190213,-0.44806996981302943,5978,0
190214,-0.44806996981302943,4790,0
190215,-0.44806996981302943,4606,0
190216,-0.44806996981302943,1735,0
190217,-0.44806996981302943,1756,0
190218,-0.44806996981302943,7715,0
190219,-0.44806996981302943,6164,0
190220,-0.44806996981302943,5695,0
190221,-0.44806996981302943,5202,0
190222,-0.44806996981302943,4749,0
190223,-0.44806996981302943,1712,0
190224,-0.44806996981302943,1586,0
190225,-0.44806996981302943,7507,0
190226,-0.44806996981302943,6597,0
190227,-0.44806996981302943,6191,0
190228,-0.44806996981302943,5857,0
190301,0.19455062349637364,1185,0
190302,0.19455062349637364,2697,0
190303,0.19455062349637364,2470,0
190304,0.19455062349637364,7221,0
190305,0.19455062349637364,7238,0
190306,0.19455062349637364,6662,0
190307,0.19455062349637364,6882,0
190308,0.19455062349637364,6521,0
190309,0.19455062349637364,3185,0
190310,0.19455062349637364,3280,0
190311,0.19455062349637364,7654,0
190312,0.19455062349637364,6781,0
190313,0.19455062349637364,6395,0
190314,0.19455062349637364,5827,0
190315,0.19455062349637364,5253,0
190316,0.19455062349637364,1919,0
190317,0.19455062349637364,2097,0
190318,0.19455062349637364,7430,0
190319,0.19455062349637364,5759,0
190320,0.19455062349637364,5541,0
190321,0.19455062349637364,4745,0
190322,0.19455062349637364,4458,0
190323,0.19455062349637364,1115,0
190324,0.19455062349637364,2007,0
190325,0.19455062349637364,7024,0
190326,0.19455062349637364,6569,0
190327,0.19455062349637364,7552,0
190328,0.19455062349637364,6484,0
190329,0.19455062349637364,6517,0
190330,0.19455062349637364,1389,0
190331,0.19455062349637364,1653,0
190401,-0.02406144142150879,6951,0
190402,-0.02406144142150879,5521,0
190403,-0.02406144142150879,5306,0
190404,-0.02406144142150879,4462,0
190405,-0.02406144142150879,3694,0
190406,-0.02406144142150879,1291,0
190407,-0.02406144142150879,1540,0
190408,-0.02406144142150879,5865,0
190409,-0.02406144142150879,4699,0
190410,-0.02406144142150879,4489,0
190411,-0.02406144142150879,4331,0
190412,-0.02406144142150879,5133,0
190413,-0.02406144142150879,2279,0
190414,-0.02406144142150879,2624,0
190415,-0.02406144142150879,5736,0
190416,-0.02406144142150879,5092,0
190417,-0.02406144142150879,5030,0
190418,-0.02406144142150879,4255,0
190419,-0.02406144142150879,4651,0
190420,-0.02406144142150879,1146,0
190421,-0.02406144142150879,1358,0
190422,-0.02406144142150879,5854,0
190423,-0.02406144142150879,4733,0
190424,-0.02406144142150879,4368,0
190425,-0.02406144142150879,4716,0
190426,-0.02406144142150879,3726,0
190427,-0.02406144142150879,1228,0
190428,-0.02406144142150879,1126,0
190429,-0.02406144142150879,6356,0
190430,-0.02406144142150879,4986,0
190501,-0.4979627847671506,525,0
190502,-0.4979627847671506,5775,0
190503,-0.4979627847671506,4519,0
190504,-0.4979627847671506,1516,0
190505,-0.4979627847671506,690,0
190506,-0.4979627847671506,1968,0
190507,-0.4979627847671506,6388,0
190508,-0.4979627847671506,4929,0
190509,-0.4979627847671506,4112,0
190510,-0.4979627847671506,4002,0
190511,-0.4979627847671506,1075,0
190512,-0.4979627847671506,1148,0
190513,-0.4979627847671506,5759,0
190514,-0.4979627847671506,4543,0
190515,-0.4979627847671506,3712,0
190516,-0.4979627847671506,3930,0
190517,-0.4979627847671506,4136,0
190518,-0.4979627847671506,1113,0
190519,-0.4979627847671506,1455,0
190520,-0.4979627847671506,6363,0
190521,-0.4979627847671506,4899,0
190522,-0.4979627847671506,4044,0
190523,-0.4979627847671506,3909,0
190524,-0.4979627847671506,3951,0
190525,-0.4979627847671506,1010,0
190526,-0.4979627847671506,1575,0
190527,-0.4979627847671506,7115,0
190528,-0.4979627847671506,6745,0
190529,-0.4979627847671506,4517,0
190530,-0.4979627847671506,4013,0
190531,-0.4979627847671506,3316,0
200202,-0.12741482257843018,2312,2
200203,-0.12741482257843018,8468,15
200204,-0.12741482257843018,6275,0
200205,-0.12741482257843018,6100,18
200206,-0.12741482257843018,5333,23
200207,-0.12741482257843018,5126,24
200208,-0.12741482257843018,1693,24
200209,-0.12741482257843018,1900,27
200210,-0.12741482257843018,8153,27
200211,-0.12741482257843018,6042,28
200212,-0.12741482257843018,5156,28
200213,-0.12741482257843018,6179,28
200214,-0.12741482257843018,5580,28
200215,-0.12741482257843018,1722,28
200216,-0.12741482257843018,1849,29
200217,-0.12741482257843018,8395,30
200218,-0.12741482257843018,6725,31
200219,-0.12741482257843018,6219,51
200220,-0.12741482257843018,6077,104
200221,-0.12741482257843018,7130,204
200222,-0.12741482257843018,2034,433
200223,-0.12741482257843018,4056,602
200224,-0.12741482257843018,9640,833
