DATE,PN,CN,COVID
20200225,-0.0178099215030662,363384,893
20200226,-0.017809921503066192,390748,1261
20200227,-0.017809921503066192,390359,1766
20200228,-0.017809921503066192,382324,2337
20200301,-0.3132584222725337,288682,3736
20200302,-0.3132584222725323,388866,4212
20200303,-0.3132584222725319,390353,4812
20200304,-0.3132584222725321,385543,5328
20200305,-0.31325842227253203,396149,5766
20200306,-0.3132584222725318,426461,6284
20200307,-0.31325842227253226,373751,6767
20200308,-0.31325842227253337,334047,7134
20200309,-0.3132584222725321,404384,7382
20200310,-0.3132584222725322,373351,7513
20200311,-0.3132584222725317,419142,7755
20200312,-0.3132584222725318,417071,7869
20200313,-0.31325842227253153,438721,7979
20200314,-0.3132584222725318,406634,8086
20200315,-0.3132584222725339,316315,8162
20200316,-0.31325842227253153,406347,8236
20200317,-0.3132584222725316,412828,8320
20200318,-0.3132584222725318,430522,8413
20200319,-0.31325842227253226,395643,8565
20200320,-0.31325842227253153,461424,8652
20200321,-0.3132584222725316,427342,8799
20200322,-0.3132584222725327,356968,8897
20200323,-0.313258422272532,423611,8961
20200324,-0.3132584222725316,445499,9037
20200325,-0.31325842227253164,453187,9137
20200326,-0.31325842227253203,425998,9241
20200327,-0.3132584222725316,465194,9332
20200328,-0.3132584222725317,431205,9478
20200329,-0.31325842227253303,363743,9583
20200330,-0.3132584222725317,431172,9661
20200331,-0.31325842227253164,455420,9786
20200401,-0.06520995828840273,446855,9887
20200402,-0.06520995828840273,449758,9976
20200403,-0.06520995828840268,478999,10062
20200404,-0.06520995828840269,440086,10156
20200405,-0.06520995828840315,361588,10237
20200406,-0.06520995828840276,425149,10284
20200407,-0.0652099582884028,442495,10331
20200408,-0.06520995828840279,448557,10384
20200409,-0.06520995828840273,447618,10423
20200410,-0.0652099582884026,488281,10450
20200411,-0.06520995828840273,457665,10480
20200412,-0.06520995828840306,362286,10512
20200413,-0.06520995828840273,440409,10537
20200414,-0.0652099582884027,493643,10564
20200415,-0.06520995828840273,454894,10591
20200416,-0.06520995828840281,461878,10613
20200417,-0.06520995828840273,454150,10635
20200418,-0.06520995828840273,488791,10653
20200419,-0.06520995828840316,338460,10661
20200420,-0.06520995828840273,438163,10674
20200421,-0.0652099582884028,457073,10683
20200422,-0.06520995828840279,454333,10694
20200423,-0.06520995828840277,465750,10702
20200424,-0.06520995828840269,509627,10708
20200425,-0.0652099582884027,490810,10718
20200426,-0.06520995828840316,416765,10728
20200427,-0.06520995828840279,461119,10738
20200428,-0.06520995828840277,492121,10752
20200429,-0.06520995828840273,526143,10761
20200430,-0.06520995828840284,478943,10765
20200501,-0.0012370149294534955,487923,10774
20200502,-0.0012370149294534964,485147,10780
20200503,-0.0012370149294535016,415982,10793
20200504,-0.0012370149294534964,523540,10801
20200505,-0.0012370149294534975,439338,10804
20200506,-0.0012370149294534964,490778,10806
20200507,-0.0012370149294534953,509075,10810
20200508,-0.001237014929453494,531662,10822
20200509,-0.0012370149294534964,442525,10840
20200510,-0.0012370149294535,419292,10874
20200511,-0.0012370149294534964,477519,10909
20200512,-0.0012370149294534962,487699,10936
20200513,-0.0012370149294534953,531445,10962
20200514,-0.0012370149294534947,540814,10991
20200515,-0.0012370149294534942,525918,11018
20200516,-0.0012370149294534942,572337,11037
20200517,-0.0012370149294534975,498365,11050
20200518,-0.0012370149294534938,496639,11065
20200519,-0.0012370149294534938,528017,11078
20200520,-0.0012370149294534938,568842,11110
20200521,-0.0012370149294534938,582813,11122
20200522,-0.0012370149294534938,611589,11142
20200523,-0.001237014929453494,599364,11165
20200524,-0.0012370149294534964,480228,11190
20200525,-0.0012370149294534945,538739,11206
20200526,-0.0012370149294534947,548425,11225
20200527,-0.001237014929453495,576113,11265
20200528,-0.0012370149294534945,563771,11344
20200529,-0.0012370149294534938,606656,11402
20200530,-0.0012370149294534947,583577,11441
20200531,-0.001237014929453497,481626,11468
