DATE,PN,CN,COVID
20200225,0.7704757792609024,18480,893
20200226,0.7704757792609024,18390,1261
20200227,0.7704757792609016,19309,1766
20200228,0.7704757792609019,19169,2337
20200301,0.7231104969978333,23121,3736
20200302,0.7231104969978333,18953,4212
20200303,0.7231104969978333,20162,4812
20200304,0.7231104969978333,19307,5328
20200305,0.7231104969978333,19503,5766
20200306,0.7231104969978333,22406,6284
20200307,0.7231104969978333,28015,6767
20200308,0.7231104969978333,26943,7134
20200309,0.7231104969978333,19875,7382
20200310,0.7231104969978333,19242,7513
20200311,0.7231104969978333,20807,7755
20200312,0.7231104969978333,20561,7869
20200313,0.7231104969978333,22632,7979
20200314,0.7231104969978333,28241,8086
20200315,0.7231104969978333,25201,8162
20200316,0.7231104969978333,19468,8236
20200317,0.7231104969978333,20203,8320
20200318,0.7231104969978333,20552,8413
20200319,0.7231104969978333,18459,8565
20200320,0.7231104969978333,22357,8652
20200321,0.7231104969978333,28530,8799
20200322,0.7231104969978333,26416,8897
20200323,0.7231104969978333,18809,8961
20200324,0.7231104969978333,19109,9037
20200325,0.7231104969978333,19451,9137
20200326,0.7231104969978333,18109,9241
20200327,0.7231104969978333,20944,9332
20200328,0.7231104969978333,27640,9478
20200329,0.7231104969978333,25753,9583
20200330,0.7231104969978333,18835,9661
20200331,0.7231104969978333,18794,9786
20200401,0.3736261384827712,19518,9887
20200402,0.373626138482772,19337,9976
20200403,0.373626138482772,22233,10062
20200404,0.3736261384827734,28969,10156
20200405,0.3736261384827721,27170,10237
20200406,0.3736261384827712,19986,10284
20200407,0.37362613848277104,19158,10331
20200408,0.37362613848277204,19452,10384
20200409,0.3736261384827723,20064,10423
20200410,0.3736261384827727,22588,10450
20200411,0.37362613848277454,31222,10480
20200412,0.37362613848277226,27611,10512
20200413,0.3736261384827721,20149,10537
20200414,0.3736261384827729,22423,10564
20200415,0.373626138482774,30748,10591
20200416,0.3736261384827727,21451,10613
20200417,0.3736261384827724,21656,10635
20200418,0.37362613848277576,34156,10653
20200419,0.3736261384827722,27200,10661
20200420,0.3736261384827717,20382,10674
20200421,0.3736261384827719,20527,10683
20200422,0.3736261384827729,20538,10694
20200423,0.3736261384827729,21063,10702
20200424,0.3736261384827737,24645,10708
20200425,0.373626138482776,34473,10718
20200426,0.3736261384827752,33848,10728
20200427,0.3736261384827724,21096,10738
20200428,0.3736261384827741,22594,10752
20200429,0.3736261384827751,25983,10761
20200430,0.373626138482776,36703,10765
20200501,0.35270217061042786,36770,10774
20200502,0.35270217061042786,39502,10780
20200503,0.35270217061042786,36020,10793
20200504,0.35270217061042786,33056,10801
20200505,0.35270217061042786,39465,10804
20200506,0.35270217061042786,25782,10806
20200507,0.35270217061042786,25560,10810
20200508,0.35270217061042786,26837,10822
20200509,0.35270217061042786,34506,10840
20200510,0.35270217061042786,38190,10874
20200511,0.35270217061042786,24174,10909
20200512,0.35270217061042786,22700,10936
20200513,0.35270217061042786,25591,10962
20200514,0.35270217061042786,25914,10991
20200515,0.35270217061042786,27246,11018
20200516,0.35270217061042786,48618,11037
20200517,0.35270217061042786,48896,11050
20200518,0.35270217061042786,25378,11065
20200519,0.35270217061042786,27814,11078
20200520,0.35270217061042786,28824,11110
20200521,0.35270217061042786,28757,11122
20200522,0.35270217061042786,30326,11142
20200523,0.35270217061042786,46669,11165
20200524,0.35270217061042786,42585,11190
20200525,0.35270217061042786,27120,11206
20200526,0.35270217061042786,25084,11225
20200527,0.35270217061042786,25762,11265
20200528,0.35270217061042786,24952,11344
20200529,0.35270217061042786,29285,11402
20200530,0.35270217061042786,43606,11441
20200531,0.35270217061042786,40332,11468
