DATE,PN,CN,COVID
20200225,-0.54629235714674,77238,893
20200226,-0.54629235714674,75619,1261
20200227,-0.54629235714674,71063,1766
20200228,-0.54629235714674,70218,2337
20200301,-0.07592485348383547,8691,3736
20200302,-0.07592485348383674,89662,4212
20200303,-0.07592485348383665,70570,4812
20200304,-0.07592485348383654,65247,5328
20200305,-0.07592485348383661,67702,5766
20200306,-0.07592485348383675,82418,6284
20200307,-0.07592485348383647,55741,6767
20200308,-0.07592485348383549,8211,7134
20200309,-0.0759248534838368,95875,7382
20200310,-0.07592485348383674,78524,7513
20200311,-0.0759248534838368,84975,7755
20200312,-0.07592485348383675,81948,7869
20200313,-0.07592485348383679,88297,7979
20200314,-0.07592485348383674,70452,8086
20200315,-0.0759248534838352,11165,8162
20200316,-0.07592485348383686,99264,8236
20200317,-0.07592485348383678,87265,8320
20200318,-0.07592485348383675,85562,8413
20200319,-0.07592485348383678,81808,8565
20200320,-0.07592485348383682,92387,8652
20200321,-0.07592485348383676,74070,8799
20200322,-0.0759248534838352,12556,8897
20200323,-0.07592485348383682,104047,8961
20200324,-0.07592485348383679,92934,9037
20200325,-0.07592485348383676,89073,9137
20200326,-0.07592485348383672,88145,9241
20200327,-0.07592485348383679,96951,9332
20200328,-0.07592485348383676,74012,9478
20200329,-0.07592485348383514,12550,9583
20200330,-0.07592485348383687,108378,9661
20200331,-0.0759248534838368,94713,9786
20200401,-0.18886275724931728,87690,9887
20200402,-0.18886275724931734,87565,9976
20200403,-0.1888627572493174,95018,10062
20200404,-0.1888627572493174,76115,10156
20200405,-0.18886275724931167,12287,10237
20200406,-0.1888627572493175,106142,10284
20200407,-0.1888627572493174,94120,10331
20200408,-0.18886275724931734,89865,10384
20200409,-0.1888627572493173,87221,10423
20200410,-0.18886275724931748,96588,10450
20200411,-0.1888627572493174,80157,10480
20200412,-0.18886275724931104,10951,10512
20200413,-0.18886275724931748,108245,10537
20200414,-0.18886275724931745,97811,10564
20200415,-0.18886275724931686,47559,10591
20200416,-0.18886275724931725,92867,10613
20200417,-0.18886275724931734,89835,10635
20200418,-0.1888627572493174,78946,10653
20200419,-0.18886275724931112,11068,10661
20200420,-0.18886275724931748,106417,10674
20200421,-0.1888627572493174,93843,10683
20200422,-0.1888627572493173,85826,10694
20200423,-0.1888627572493173,88547,10702
20200424,-0.18886275724931734,98966,10708
20200425,-0.18886275724931745,83821,10718
20200426,-0.1888627572493112,12140,10728
20200427,-0.18886275724931748,118007,10738
20200428,-0.1888627572493174,107173,10752
20200429,-0.18886275724931734,105358,10761
20200430,-0.18886275724931573,27063,10765
20200501,-0.2930699229240377,75959,10774
20200502,-0.2930699229240376,76041,10780
20200503,-0.2930699229240454,12888,10793
20200504,-0.2930699229240372,122174,10801
20200505,-0.2930699229240428,22939,10804
20200506,-0.2930699229240374,107803,10806
20200507,-0.2930699229240379,98155,10810
20200508,-0.29306992292403744,100474,10822
20200509,-0.29306992292403744,83159,10840
20200510,-0.29306992292404543,14420,10874
20200511,-0.2930699229240371,118326,10909
20200512,-0.2930699229240375,100102,10936
20200513,-0.29306992292403755,101064,10962
20200514,-0.2930699229240377,96032,10991
20200515,-0.2930699229240377,98234,11018
20200516,-0.2930699229240372,97607,11037
20200517,-0.29306992292404555,17759,11050
20200518,-0.293069922924037,118875,11065
20200519,-0.2930699229240374,107054,11078
20200520,-0.2930699229240373,104362,11110
20200521,-0.2930699229240375,102251,11122
20200522,-0.2930699229240372,110488,11142
20200523,-0.2930699229240373,94758,11165
20200524,-0.2930699229240454,14916,11190
20200525,-0.29306992292403705,129658,11206
20200526,-0.2930699229240374,111236,11225
20200527,-0.29306992292403755,106671,11265
20200528,-0.2930699229240375,102267,11344
20200529,-0.2930699229240374,109747,11402
20200530,-0.2930699229240377,88216,11441
20200531,-0.2930699229240455,15404,11468
