DATE,PN,CN,COVID
20190201,0.041013479232788086,106632,0
20190202,0.041013479232788086,73409,0
20190203,0.041013479232788086,13496,0
20190204,0.041013479232788086,16828,0
20190205,0.041013479232788086,5317,0
20190206,0.041013479232788086,14718,0
20190207,0.041013479232788086,113612,0
20190208,0.041013479232788086,100815,0
20190209,0.041013479232788086,67490,0
20190210,0.041013479232788086,9334,0
20190211,0.041013479232788086,110712,0
20190212,0.041013479232788086,94232,0
20190213,0.041013479232788086,87764,0
20190214,0.041013479232788086,89314,0
20190215,0.041013479232788086,92426,0
20190216,0.041013479232788086,64011,0
20190217,0.041013479232788086,11135,0
20190218,0.041013479232788086,108449,0
20190219,0.041013479232788086,85984,0
20190220,0.041013479232788086,86887,0
20190221,0.041013479232788086,88488,0
20190222,0.041013479232788086,96178,0
20190223,0.041013479232788086,63422,0
20190224,0.041013479232788086,9636,0
20190225,0.041013479232788086,114264,0
20190226,0.041013479232788086,99642,0
20190227,0.041013479232788086,95988,0
20190228,0.041013479232788086,100030,0
20190301,-0.0163763165473938,19032,0
20190302,-0.0163763165473938,68977,0
20190303,-0.0163763165473938,11259,0
20190304,-0.0163763165473938,111289,0
20190305,-0.0163763165473938,95048,0
20190306,-0.0163763165473938,85840,0
20190307,-0.0163763165473938,85074,0
20190308,-0.0163763165473938,94620,0
20190309,-0.0163763165473938,67366,0
20190310,-0.0163763165473938,9953,0
20190311,-0.0163763165473938,107990,0
20190312,-0.0163763165473938,89630,0
20190313,-0.0163763165473938,86279,0
20190314,-0.0163763165473938,85262,0
20190315,-0.0163763165473938,92064,0
20190316,-0.0163763165473938,67881,0
20190317,-0.0163763165473938,11738,0
20190318,-0.0163763165473938,112948,0
20190319,-0.0163763165473938,94548,0
20190320,-0.0163763165473938,87051,0
20190321,-0.0163763165473938,88408,0
20190322,-0.0163763165473938,99268,0
20190323,-0.0163763165473938,71084,0
20190324,-0.0163763165473938,11969,0
20190325,-0.0163763165473938,118998,0
20190326,-0.0163763165473938,100874,0
20190327,-0.0163763165473938,96578,0
20190328,-0.0163763165473938,95321,0
20190329,-0.0163763165473938,100652,0
20190330,-0.0163763165473938,71646,0
20190331,-0.0163763165473938,14667,0
20190401,0.2669769287109404,115665,0
20190402,0.26697692871094,96924,0
20190403,0.2669769287109397,92126,0
20190404,0.26697692871093986,93833,0
20190405,0.2669769287109402,100291,0
20190406,0.2669769287109398,70556,0
20190407,0.2669769287109342,13605,0
20190408,0.2669769287109404,119140,0
20190409,0.2669769287109401,96314,0
20190410,0.2669769287109401,92346,0
20190411,0.2669769287109399,92442,0
20190412,0.2669769287109401,102475,0
20190413,0.2669769287109397,71979,0
20190414,0.2669769287109344,12519,0
20190415,0.2669769287109404,123006,0
20190416,0.2669769287109401,101343,0
20190417,0.2669769287109401,95982,0
20190418,0.2669769287109399,93225,0
20190419,0.2669769287109403,102046,0
20190420,0.2669769287109397,71081,0
20190421,0.26697692871093426,13171,0
20190422,0.2669769287109404,120875,0
20190423,0.2669769287109401,102168,0
20190424,0.26697692871093986,99397,0
20190425,0.26697692871094,93333,0
20190426,0.2669769287109403,100323,0
20190427,0.26697692871093953,69265,0
20190428,0.2669769287109344,10892,0
20190429,0.26697692871094025,119829,0
20190430,0.26697692871094003,105652,0
20190501,0.17681125402450185,71603,0
20190502,0.17681125402450185,99294,0
20190503,0.17681125402450182,107992,0
20190504,0.17681125402450187,69291,0
20190505,0.17681125402450368,12547,0
20190506,0.1768112540245021,40313,0
20190507,0.1768112540245018,119893,0
20190508,0.17681125402450185,97031,0
20190509,0.17681125402450185,93499,0
20190510,0.17681125402450182,101196,0
20190511,0.17681125402450185,73667,0
20190512,0.1768112540245037,14386,0
20190513,0.1768112540245018,115756,0
20190514,0.17681125402450185,97514,0
20190515,0.17681125402450185,93850,0
20190516,0.17681125402450185,89821,0
20190517,0.17681125402450185,98345,0
20190518,0.17681125402450187,67342,0
20190519,0.17681125402450373,10642,0
20190520,0.1768112540245018,112016,0
20190521,0.17681125402450185,95383,0
20190522,0.17681125402450185,91499,0
20190523,0.17681125402450185,89664,0
20190524,0.17681125402450185,98210,0
20190525,0.1768112540245019,66455,0
20190526,0.17681125402450393,11077,0
20190527,0.17681125402450182,107586,0
20190528,0.17681125402450182,100003,0
20190529,0.17681125402450182,92292,0
20190530,0.17681125402450187,91537,0
20190531,0.17681125402450185,96891,0
20200201,-0.54629235714674,73058,0
20200202,-0.54629235714674,13408,2
20200203,-0.54629235714674,118467,15
20200204,-0.54629235714674,96910,0
20200205,-0.54629235714674,88287,18
20200206,-0.54629235714674,86467,23
20200207,-0.54629235714674,96953,24
20200208,-0.54629235714674,65780,24
20200209,-0.54629235714674,9393,27
20200210,-0.54629235714674,108729,27
20200211,-0.54629235714674,92409,28
20200212,-0.54629235714674,80042,28
20200213,-0.54629235714674,85061,28
20200214,-0.54629235714674,93359,28
20200215,-0.54629235714674,62544,28
20200216,-0.54629235714674,9511,29
20200217,-0.54629235714674,100163,30
20200218,-0.54629235714674,91143,31
20200219,-0.54629235714674,85590,51
20200220,-0.54629235714674,84459,104
20200221,-0.54629235714674,90478,204
20200222,-0.54629235714674,55078,433
20200223,-0.54629235714674,8409,602
20200224,-0.54629235714674,103611,833
