DATE,PN,CN,COVID
20200225,-0.5093494653701782,7407,893
20200226,-0.5093494653701782,8396,1261
20200227,-0.5093494653701782,8313,1766
20200228,-0.5093494653701782,8191,2337
20200301,-0.4577632631574364,8769,3736
20200302,-0.4577632631574389,9716,4212
20200303,-0.4577632631574356,8883,4812
20200304,-0.4577632631574379,8572,5328
20200305,-0.4577632631574385,9800,5766
20200306,-0.4577632631574407,10972,6284
20200307,-0.4577632631574419,13148,6767
20200308,-0.4577632631574383,10438,7134
20200309,-0.4577632631574402,10662,7382
20200310,-0.4577632631574373,8494,7513
20200311,-0.4577632631574407,11299,7755
20200312,-0.4577632631574408,10590,7869
20200313,-0.4577632631574415,11909,7979
20200314,-0.4577632631574429,15195,8086
20200315,-0.4577632631574389,10562,8162
20200316,-0.4577632631574409,10461,8236
20200317,-0.45776326315744,9733,8320
20200318,-0.4577632631574415,11390,8413
20200319,-0.4577632631574405,9558,8565
20200320,-0.4577632631574422,12656,8652
20200321,-0.4577632631574431,15351,8799
20200322,-0.4577632631574402,11054,8897
20200323,-0.4577632631574414,10698,8961
20200324,-0.4577632631574392,10042,9037
20200325,-0.4577632631574417,12517,9137
20200326,-0.4577632631574413,11768,9241
20200327,-0.4577632631574423,13241,9332
20200328,-0.4577632631574435,16376,9478
20200329,-0.4577632631574395,10814,9583
20200330,-0.4577632631574409,10854,9661
20200331,-0.4577632631574402,10393,9786
20200401,-0.4161640836132947,11280,9887
20200402,-0.4161640836132948,11930,9976
20200403,-0.4161640836132947,12439,10062
20200404,-0.4161640836132949,15828,10156
20200405,-0.41616408361329466,10992,10237
20200406,-0.4161640836132947,11166,10284
20200407,-0.4161640836132946,10583,10331
20200408,-0.41616408361329466,11182,10384
20200409,-0.4161640836132947,11413,10423
20200410,-0.4161640836132947,12544,10450
20200411,-0.4161640836132949,16692,10480
20200412,-0.4161640836132946,11385,10512
20200413,-0.4161640836132947,11189,10537
20200414,-0.41616408361329466,11232,10564
20200415,-0.4161640836132948,14083,10591
20200416,-0.4161640836132948,12181,10613
20200417,-0.4161640836132947,11829,10635
20200418,-0.4161640836132949,17386,10653
20200419,-0.4161640836132945,10614,10661
20200420,-0.4161640836132947,11278,10674
20200421,-0.41616408361329466,10530,10683
20200422,-0.4161640836132947,11308,10694
20200423,-0.4161640836132947,12309,10702
20200424,-0.4161640836132948,14790,10708
20200425,-0.4161640836132949,18704,10718
20200426,-0.4161640836132947,13285,10728
20200427,-0.4161640836132948,12782,10738
20200428,-0.4161640836132948,12775,10752
20200429,-0.4161640836132948,13743,10761
20200430,-0.4161640836132948,15281,10765
20200501,-0.06528772115707505,17557,10774
20200502,-0.06528772115707504,16228,10780
20200503,-0.06528772115707471,12527,10793
20200504,-0.06528772115707496,15205,10801
20200505,-0.0652877211570748,13107,10804
20200506,-0.06528772115707489,13689,10806
20200507,-0.06528772115707493,13972,10810
20200508,-0.0652877211570749,13988,10822
20200509,-0.065287721157075,15136,10840
20200510,-0.06528772115707476,13614,10874
20200511,-0.0652877211570748,11723,10909
20200512,-0.06528772115707468,10881,10936
20200513,-0.06528772115707496,14240,10962
20200514,-0.0652877211570749,14072,10991
20200515,-0.06528772115707497,14709,11018
20200516,-0.06528772115707521,24732,11037
20200517,-0.06528772115707497,17783,11050
20200518,-0.06528772115707493,13357,11065
20200519,-0.06528772115707497,15179,11078
20200520,-0.06528772115707511,16841,11110
20200521,-0.06528772115707507,16438,11122
20200522,-0.06528772115707507,17397,11142
20200523,-0.06528772115707521,23683,11165
20200524,-0.06528772115707494,16779,11190
20200525,-0.06528772115707497,15138,11206
20200526,-0.06528772115707494,14516,11225
20200527,-0.06528772115707504,15652,11265
20200528,-0.06528772115707497,15151,11344
20200529,-0.06528772115707507,16487,11402
20200530,-0.0652877211570752,22598,11441
20200531,-0.06528772115707494,16562,11468
