DATE,PN,CN,COVID
20200225,-0.10184521675109832,2321,893
20200226,-0.10184521675109827,2463,1261
20200227,-0.10184521675109832,2165,1766
20200228,-0.10184521675109827,2420,2337
20200301,0.7370842893918339,2281,3736
20200302,0.7370842893918346,2011,4212
20200303,0.7370842893918338,1794,4812
20200304,0.7370842893918337,1870,5328
20200305,0.7370842893918337,1994,5766
20200306,0.7370842893918353,2427,6284
20200307,0.7370842893918355,2830,6767
20200308,0.7370842893918341,2483,7134
20200309,0.7370842893918339,1941,7382
20200310,0.7370842893918337,1938,7513
20200311,0.737084289391835,2200,7755
20200312,0.7370842893918339,2239,7869
20200313,0.7370842893918345,2592,7979
20200314,0.7370842893918359,3525,8086
20200315,0.7370842893918351,2855,8162
20200316,0.7370842893918338,1985,8236
20200317,0.7370842893918338,1895,8320
20200318,0.7370842893918342,1911,8413
20200319,0.7370842893918337,2023,8565
20200320,0.7370842893918341,2289,8652
20200321,0.7370842893918345,2911,8799
20200322,0.7370842893918346,2814,8897
20200323,0.7370842893918338,1719,8961
20200324,0.7370842893918339,1862,9037
20200325,0.7370842893918337,1849,9137
20200326,0.7370842893918337,1923,9241
20200327,0.7370842893918353,2224,9332
20200328,0.7370842893918351,3208,9478
20200329,0.7370842893918355,2540,9583
20200330,0.7370842893918338,1876,9661
20200331,0.7370842893918337,1917,9786
20200401,-0.5253404080867767,2021,9887
20200402,-0.5253404080867767,2092,9976
20200403,-0.5253404080867767,2289,10062
20200404,-0.5253404080867767,3132,10156
20200405,-0.5253404080867767,2486,10237
20200406,-0.5253404080867767,1838,10284
20200407,-0.5253404080867767,1759,10331
20200408,-0.5253404080867767,1786,10384
20200409,-0.5253404080867767,1909,10423
20200410,-0.5253404080867767,2081,10450
20200411,-0.5253404080867767,3498,10480
20200412,-0.5253404080867767,2798,10512
20200413,-0.5253404080867767,2010,10537
20200414,-0.5253404080867767,2273,10564
20200415,-0.5253404080867767,2392,10591
20200416,-0.5253404080867767,1989,10613
20200417,-0.5253404080867767,2366,10635
20200418,-0.5253404080867767,3385,10653
20200419,-0.5253404080867767,2971,10661
20200420,-0.5253404080867767,1897,10674
20200421,-0.5253404080867767,2251,10683
20200422,-0.5253404080867767,2107,10694
20200423,-0.5253404080867767,2225,10702
20200424,-0.5253404080867767,2688,10708
20200425,-0.5253404080867767,3940,10718
20200426,-0.5253404080867767,3469,10728
20200427,-0.5253404080867767,2097,10738
20200428,-0.5253404080867767,2326,10752
20200429,-0.5253404080867767,2706,10761
20200430,-0.5253404080867767,4216,10765
20200501,-0.5076049500041516,3883,10774
20200502,-0.5076049500041516,4162,10780
20200503,-0.5076049500041515,3941,10793
20200504,-0.5076049500041518,3379,10801
20200505,-0.5076049500041517,3672,10804
20200506,-0.5076049500041518,2323,10806
20200507,-0.5076049500041517,2549,10810
20200508,-0.5076049500041517,2921,10822
20200509,-0.5076049500041515,4008,10840
20200510,-0.5076049500041516,3636,10874
20200511,-0.5076049500041518,2424,10909
20200512,-0.5076049500041518,2147,10936
20200513,-0.5076049500041517,2423,10962
20200514,-0.5076049500041516,2814,10991
20200515,-0.5076049500041516,3018,11018
20200516,-0.5076049500041515,4349,11037
20200517,-0.5076049500041515,4161,11050
20200518,-0.5076049500041517,2627,11065
20200519,-0.5076049500041517,2500,11078
20200520,-0.5076049500041517,2523,11110
20200521,-0.5076049500041516,2933,11122
20200522,-0.5076049500041516,3480,11142
20200523,-0.5076049500041515,4459,11165
20200524,-0.5076049500041516,4174,11190
20200525,-0.5076049500041517,2563,11206
20200526,-0.5076049500041516,2707,11225
20200527,-0.5076049500041517,2882,11265
20200528,-0.5076049500041517,2733,11344
20200529,-0.5076049500041516,3392,11402
20200530,-0.5076049500041515,4585,11441
20200531,-0.5076049500041516,4318,11468
