DATE,PN,CN,COVID
190201,-0.44806997,2434,0
190202,-0.44806997,10,0
190203,-0.44806997,7,0
190204,-0.44806997,1,0
190206,-0.44806997,4364,0
190207,-0.44806997,8816,0
190208,-0.44806997,5948,0
190209,-0.44806997,2076,0
190210,-0.44806997,1781,0
190211,-0.44806997,7665,0
190212,-0.44806997,5972,0
190213,-0.44806997,5978,0
190214,-0.44806997,4790,0
190215,-0.44806997,4606,0
190216,-0.44806997,1735,0
190217,-0.44806997,1756,0
190218,-0.44806997,7715,0
190219,-0.44806997,6164,0
190220,-0.44806997,5695,0
190221,-0.44806997,5202,0
190222,-0.44806997,4749,0
190223,-0.44806997,1712,0
190224,-0.44806997,1586,0
190225,-0.44806997,7507,0
190226,-0.44806997,6597,0
190227,-0.44806997,6191,0
190228,-0.44806997,5857,0
190301,0.194550623,1185,0
190302,0.194550623,2697,0
190303,0.194550623,2470,0
190304,0.194550623,7221,0
190305,0.194550623,7238,0
190306,0.194550623,6662,0
190307,0.194550623,6882,0
190308,0.194550623,6521,0
190309,0.194550623,3185,0
190310,0.194550623,3280,0
190311,0.194550623,7654,0
190312,0.194550623,6781,0
190313,0.194550623,6395,0
190314,0.194550623,5827,0
190315,0.194550623,5253,0
190316,0.194550623,1919,0
190317,0.194550623,2097,0
190318,0.194550623,7430,0
190319,0.194550623,5759,0
190320,0.194550623,5541,0
190321,0.194550623,4745,0
190322,0.194550623,4458,0
190323,0.194550623,1115,0
190324,0.194550623,2007,0
190325,0.194550623,7024,0
190326,0.194550623,6569,0
190327,0.194550623,7552,0
190328,0.194550623,6484,0
190329,0.194550623,6517,0
190330,0.194550623,1389,0
190331,0.194550623,1653,0
190401,-0.024061441,6951,0
190402,-0.024061441,5521,0
190403,-0.024061441,5306,0
190404,-0.024061441,4462,0
190405,-0.024061441,3694,0
190406,-0.024061441,1291,0
190407,-0.024061441,1540,0
190408,-0.024061441,5865,0
190409,-0.024061441,4699,0
190410,-0.024061441,4489,0
190411,-0.024061441,4331,0
190412,-0.024061441,5133,0
190413,-0.024061441,2279,0
190414,-0.024061441,2624,0
190415,-0.024061441,5736,0
190416,-0.024061441,5092,0
190417,-0.024061441,5030,0
190418,-0.024061441,4255,0
190419,-0.024061441,4651,0
190420,-0.024061441,1146,0
190421,-0.024061441,1358,0
190422,-0.024061441,5854,0
190423,-0.024061441,4733,0
190424,-0.024061441,4368,0
190425,-0.024061441,4716,0
190426,-0.024061441,3726,0
190427,-0.024061441,1228,0
190428,-0.024061441,1126,0
190429,-0.024061441,6356,0
190430,-0.024061441,4986,0
190501,-0.497962785,525,0
190502,-0.497962785,5775,0
190503,-0.497962785,4519,0
190504,-0.497962785,1516,0
190505,-0.497962785,690,0
190506,-0.497962785,1968,0
190507,-0.497962785,6388,0
190508,-0.497962785,4929,0
190509,-0.497962785,4112,0
190510,-0.497962785,4002,0
190511,-0.497962785,1075,0
190512,-0.497962785,1148,0
190513,-0.497962785,5759,0
190514,-0.497962785,4543,0
190515,-0.497962785,3712,0
190516,-0.497962785,3930,0
190517,-0.497962785,4136,0
190518,-0.497962785,1113,0
190519,-0.497962785,1455,0
190520,-0.497962785,6363,0
190521,-0.497962785,4899,0
190522,-0.497962785,4044,0
190523,-0.497962785,3909,0
190524,-0.497962785,3951,0
190525,-0.497962785,1010,0
190526,-0.497962785,1575,0
190527,-0.497962785,7115,0
190528,-0.497962785,6745,0
190529,-0.497962785,4517,0
190530,-0.497962785,4013,0
190531,-0.497962785,3316,0
200201,-0.127414823,2030,0
200202,-0.127414823,2312,2
200203,-0.127414823,8468,15
200204,-0.127414823,6275,0
200205,-0.127414823,6100,18
200206,-0.127414823,5333,23
200207,-0.127414823,5126,24
200208,-0.127414823,1693,24
200209,-0.127414823,1900,27
200210,-0.127414823,8153,27
200211,-0.127414823,6042,28
200212,-0.127414823,5156,28
200213,-0.127414823,6179,28
200214,-0.127414823,5580,28
200215,-0.127414823,1722,28
200216,-0.127414823,1849,29
200217,-0.127414823,8395,30
200218,-0.127414823,6725,31
200219,-0.127414823,6219,51
200220,-0.127414823,6077,104
200221,-0.127414823,7130,204
200222,-0.127414823,2034,433
200223,-0.127414823,4056,602
200224,-0.127414823,9640,833
