DATE,PN,CN,COVID
200225,-0.017809922,36235,893
200226,-0.017809922,37504,1261
200227,-0.017809922,34547,1766
200228,-0.017809922,29523,2337
200301,-0.313258422,8479,3736
200302,-0.313258422,52321,4212
200303,-0.313258422,34968,4812
200304,-0.313258422,32213,5328
200305,-0.313258422,32189,5766
200306,-0.313258422,28672,6284
200307,-0.313258422,3380,6767
200308,-0.313258422,6314,7134
200309,-0.313258422,46779,7382
200310,-0.313258422,29763,7513
200311,-0.313258422,29508,7755
200312,-0.313258422,29440,7869
200313,-0.313258422,25609,7979
200314,-0.313258422,3545,8086
200315,-0.313258422,6452,8162
200316,-0.313258422,46807,8236
200317,-0.313258422,29903,8320
200318,-0.313258422,27721,8413
200319,-0.313258422,26529,8565
200320,-0.313258422,24623,8652
200321,-0.313258422,2764,8799
200322,-0.313258422,4366,8897
200323,-0.313258422,43166,8961
200324,-0.313258422,28432,9037
200325,-0.313258422,25833,9137
200326,-0.313258422,25196,9241
200327,-0.313258422,22343,9332
200328,-0.313258422,2283,9478
200329,-0.313258422,4371,9583
200330,-0.313258422,40128,9661
200331,-0.313258422,27722,9786
200401,-0.065209958,26990,9887
200402,-0.065209958,27928,9976
200403,-0.065209958,23400,10062
200404,-0.065209958,2206,10156
200405,-0.065209958,4178,10237
200406,-0.065209958,41676,10284
200407,-0.065209958,27391,10331
200408,-0.065209958,24975,10384
200409,-0.065209958,25303,10423
200410,-0.065209958,22479,10450
200411,-0.065209958,1876,10480
200412,-0.065209958,5349,10512
200413,-0.065209958,44644,10537
200414,-0.065209958,16852,10564
200415,-0.065209958,1240,10591
200416,-0.065209958,42161,10613
200417,-0.065209958,24206,10635
200418,-0.065209958,1814,10653
200419,-0.065209958,4482,10661
200420,-0.065209958,40630,10674
200421,-0.065209958,26718,10683
200422,-0.065209958,24843,10694
200423,-0.065209958,24365,10702
200424,-0.065209958,22034,10708
200425,-0.065209958,1707,10718
200426,-0.065209958,4114,10728
200427,-0.065209958,42930,10738
200428,-0.065209958,28800,10752
200429,-0.065209958,15862,10761
200430,-0.065209958,648,10765
200501,-0.001237015,24112,10774
200502,-0.001237015,2172,10780
200503,-0.001237015,6315,10793
200504,-0.001237015,31828,10801
200505,-0.001237015,4681,10804
200506,-0.001237015,49334,10806
200507,-0.001237015,30085,10810
200508,-0.001237015,23891,10822
200509,-0.001237015,2355,10840
200510,-0.001237015,4395,10874
200511,-0.001237015,40911,10909
200512,-0.001237015,29084,10936
200513,-0.001237015,25263,10962
200514,-0.001237015,23589,10991
200515,-0.001237015,20462,11018
200516,-0.001237015,1629,11037
200517,-0.001237015,4041,11050
200518,-0.001237015,39394,11065
200519,-0.001237015,26717,11078
200520,-0.001237015,26811,11110
200521,-0.001237015,23767,11122
200522,-0.001237015,21656,11142
200523,-0.001237015,2631,11165
200524,-0.001237015,4241,11190
200525,-0.001237015,39453,11206
200526,-0.001237015,27392,11225
200527,-0.001237015,23622,11265
200528,-0.001237015,22348,11344
200529,-0.001237015,19415,11402
200530,-0.001237015,1335,11441
200531,-0.001237015,2068,11468
