DATE,PN,CN,COVID
190201,0.48842278100000003,1336,0
190202,0.48842278100000003,109,0
190203,0.48842278100000003,157,0
190204,0.48842278100000003,12,0
190205,0.48842278100000003,21,0
190206,0.48842278100000003,6500,0
190207,0.48842278100000003,32259,0
190208,0.48842278100000003,20186,0
190209,0.48842278100000003,2523,0
190210,0.48842278100000003,3398,0
190211,0.48842278100000003,30563,0
190212,0.48842278100000003,21465,0
190213,0.48842278100000003,19101,0
190214,0.48842278100000003,16881,0
190215,0.48842278100000003,15554,0
190216,0.48842278100000003,1876,0
190217,0.48842278100000003,3373,0
190218,0.48842278100000003,26013,0
190219,0.48842278100000003,18050,0
190220,0.48842278100000003,16512,0
190221,0.48842278100000003,15641,0
190222,0.48842278100000003,14144,0
190223,0.48842278100000003,1226,0
190224,0.48842278100000003,2467,0
190225,0.48842278100000003,26391,0
190226,0.48842278100000003,18035,0
190227,0.48842278100000003,16673,0
190228,0.48842278100000003,10109,0
190301,-0.001237015,752,0
190302,-0.001237015,2028,0
190303,-0.001237015,5238,0
190304,-0.001237015,34387,0
190305,-0.001237015,20544,0
190306,-0.001237015,17849,0
190307,-0.001237015,16047,0
190308,-0.001237015,14805,0
190309,-0.001237015,1498,0
190310,-0.001237015,2697,0
190311,-0.001237015,27954,0
190312,-0.001237015,18814,0
190313,-0.001237015,16673,0
190314,-0.001237015,15943,0
190315,-0.001237015,15147,0
190316,-0.001237015,1172,0
190317,-0.001237015,3543,0
190318,-0.001237015,26693,0
190319,-0.001237015,18404,0
190320,-0.001237015,15748,0
190321,-0.001237015,16096,0
190322,-0.001237015,14474,0
190323,-0.001237015,1190,0
190324,-0.001237015,2573,0
190325,-0.001237015,26610,0
190326,-0.001237015,18596,0
190327,-0.001237015,16619,0
190328,-0.001237015,15283,0
190329,-0.001237015,13707,0
190330,-0.001237015,1352,0
190331,-0.001237015,2636,0
190401,0.541303435,27715,0
190402,0.541303435,19472,0
190403,0.541303435,17362,0
190404,0.541303435,16808,0
190405,0.541303435,14804,0
190406,0.541303435,1212,0
190407,0.541303435,2443,0
190408,0.541303435,26609,0
190409,0.541303435,18234,0
190410,0.541303435,16335,0
190411,0.541303435,16870,0
190412,0.541303435,16466,0
190413,0.541303435,1547,0
190414,0.541303435,3139,0
190415,0.541303435,27792,0
190416,0.541303435,19352,0
190417,0.541303435,17162,0
190418,0.541303435,16579,0
190419,0.541303435,14776,0
190420,0.541303435,1077,0
190421,0.541303435,2233,0
190422,0.541303435,26328,0
190423,0.541303435,18031,0
190424,0.541303435,16689,0
190425,0.541303435,15961,0
190426,0.541303435,14188,0
190427,0.541303435,1418,0
190428,0.541303435,2637,0
190429,0.541303435,25665,0
190430,0.541303435,17265,0
190501,-0.068880247,9918,0
190502,-0.068880247,21998,0
190503,-0.068880247,16285,0
190504,-0.068880247,1438,0
190505,-0.068880247,449,0
190506,-0.068880247,7284,0
190507,-0.068880247,29639,0
190508,-0.068880247,19624,0
190509,-0.068880247,16801,0
190510,-0.068880247,14639,0
190511,-0.068880247,1310,0
190512,-0.068880247,3633,0
190513,-0.068880247,28017,0
190514,-0.068880247,19000,0
190515,-0.068880247,17664,0
190516,-0.068880247,16698,0
190517,-0.068880247,14343,0
190518,-0.068880247,1261,0
190519,-0.068880247,2712,0
190520,-0.068880247,26219,0
190521,-0.068880247,19201,0
190522,-0.068880247,18753,0
190523,-0.068880247,18432,0
190524,-0.068880247,16010,0
190525,-0.068880247,1724,0
190526,-0.068880247,2906,0
190527,-0.068880247,27631,0
190528,-0.068880247,20119,0
190529,-0.068880247,18423,0
190530,-0.068880247,16796,0
190531,-0.068880247,14969,0
200201,-0.017809922,1514,0
200202,-0.017809922,4186,2
200203,-0.017809922,36594,15
200204,-0.017809922,25004,0
200205,-0.017809922,22378,18
200206,-0.017809922,21631,23
200207,-0.017809922,20113,24
200208,-0.017809922,2123,24
200209,-0.017809922,4322,27
200210,-0.017809922,36235,27
200211,-0.017809922,24886,28
200212,-0.017809922,24182,28
200213,-0.017809922,21955,28
200214,-0.017809922,20160,28
200215,-0.017809922,2066,28
200216,-0.017809922,3561,29
200217,-0.017809922,35626,30
200218,-0.017809922,24706,31
200219,-0.017809922,23279,51
200220,-0.017809922,27826,104
200221,-0.017809922,33625,204
200222,-0.017809922,4077,433
200223,-0.017809922,7319,602
200224,-0.017809922,56108,833
