DATE,PN,CN,COVID
200225,0.7704757792609075,878,893
200226,0.7704757792609075,772,1261
200227,0.7704757792609075,887,1766
200228,0.7704757792609075,611,2337
200301,0.7231104969978333,193,3736
200302,0.7231104969978333,1662,4212
200303,0.7231104969978333,1022,4812
200304,0.7231104969978333,914,5328
200305,0.7231104969978333,898,5766
200306,0.7231104969978333,831,6284
200307,0.7231104969978333,91,6767
200308,0.7231104969978333,28,7134
200309,0.7231104969978333,1680,7382
200310,0.7231104969978333,1137,7513
200311,0.7231104969978333,952,7755
200312,0.7231104969978333,884,7869
200313,0.7231104969978333,808,7979
200314,0.7231104969978333,106,8086
200315,0.7231104969978333,42,8162
200316,0.7231104969978333,1656,8236
200317,0.7231104969978333,954,8320
200318,0.7231104969978333,991,8413
200319,0.7231104969978333,997,8565
200320,0.7231104969978333,791,8652
200321,0.7231104969978333,118,8799
200322,0.7231104969978333,52,8897
200323,0.7231104969978333,1839,8961
200324,0.7231104969978333,1047,9037
200325,0.7231104969978333,1085,9137
200326,0.7231104969978333,1088,9241
200327,0.7231104969978333,938,9332
200328,0.7231104969978333,105,9478
200329,0.7231104969978333,197,9583
200330,0.7231104969978333,1864,9661
200331,0.7231104969978333,1101,9786
200401,0.3736261384827746,1144,9887
200402,0.37362613848277454,1145,9976
200403,0.37362613848277454,1009,10062
200404,0.37362613848277504,104,10156
200405,0.3736261384827752,55,10237
200406,0.37362613848277454,2000,10284
200407,0.37362613848277454,1197,10331
200408,0.37362613848277454,1020,10384
200409,0.37362613848277454,1106,10423
200410,0.3736261384827746,892,10450
200411,0.3736261384827749,122,10480
200412,0.3736261384827752,37,10512
200413,0.37362613848277454,2058,10537
200414,0.37362613848277454,1209,10564
200415,0.3736261384827752,25,10591
200416,0.37362613848277454,1823,10613
200417,0.37362613848277454,1138,10635
200418,0.3736261384827748,171,10653
200419,0.3736261384827752,106,10661
200420,0.37362613848277454,1981,10674
200421,0.37362613848277454,1547,10683
200422,0.37362613848277454,1338,10694
200423,0.37362613848277454,1179,10702
200424,0.3736261384827746,1020,10708
200425,0.3736261384827748,115,10718
200426,0.3736261384827752,44,10728
200427,0.37362613848277454,2296,10738
200428,0.37362613848277454,1324,10752
200429,0.37362613848277454,1144,10761
200430,0.37362613848277504,10,10765
200501,0.35270217061042786,799,10774
200502,0.35270217061042786,190,10780
200503,0.35270217061042786,152,10793
200504,0.35270217061042786,2774,10801
200505,0.35270217061042786,79,10804
200506,0.35270217061042786,2257,10806
200507,0.35270217061042786,1384,10810
200508,0.35270217061042786,1175,10822
200509,0.35270217061042786,274,10840
200510,0.35270217061042786,52,10874
200511,0.35270217061042786,2297,10909
200512,0.35270217061042786,1560,10936
200513,0.35270217061042786,1299,10962
200514,0.35270217061042786,1216,10991
200515,0.35270217061042786,1164,11018
200516,0.35270217061042786,123,11037
200517,0.35270217061042786,92,11050
200518,0.35270217061042786,2275,11065
200519,0.35270217061042786,1427,11078
200520,0.35270217061042786,1297,11110
200521,0.35270217061042786,1257,11122
200522,0.35270217061042786,1063,11142
200523,0.35270217061042786,134,11165
200524,0.35270217061042786,54,11190
200525,0.35270217061042786,2337,11206
200526,0.35270217061042786,1378,11225
200527,0.35270217061042786,1380,11265
200528,0.35270217061042786,1343,11344
200529,0.35270217061042786,1066,11402
200530,0.35270217061042786,112,11441
200531,0.35270217061042786,21,11468
