DATE,PN,CN,COVID
200225,-0.5093494653701782,29529,893
200226,-0.5093494653701782,29079,1261
200227,-0.5093494653701782,26436,1766
200228,-0.5093494653701782,24497,2337
200301,-0.4577632631574355,3259,3736
200302,-0.4577632631574355,44531,4212
200303,-0.4577632631574355,28173,4812
200304,-0.4577632631574355,25941,5328
200305,-0.4577632631574355,24219,5766
200306,-0.4577632631574355,23751,6284
200307,-0.4577632631574355,5022,6767
200308,-0.4577632631574355,2546,7134
200309,-0.4577632631574355,39085,7382
200310,-0.4577632631574355,24992,7513
200311,-0.4577632631574355,23681,7755
200312,-0.4577632631574355,23234,7869
200313,-0.4577632631574355,21327,7979
200314,-0.4577632631574355,2941,8086
200315,-0.4577632631574355,2242,8162
200316,-0.4577632631574355,36478,8236
200317,-0.4577632631574355,22010,8320
200318,-0.4577632631574355,20510,8413
200319,-0.4577632631574355,20298,8565
200320,-0.4577632631574355,18275,8652
200321,-0.4577632631574355,2705,8799
200322,-0.4577632631574355,1964,8897
200323,-0.4577632631574355,33926,8961
200324,-0.4577632631574355,20440,9037
200325,-0.4577632631574355,20332,9137
200326,-0.4577632631574355,17967,9241
200327,-0.4577632631574355,17067,9332
200328,-0.4577632631574355,1937,9478
200329,-0.4577632631574355,1540,9583
200330,-0.4577632631574355,31109,9661
200331,-0.4577632631574355,18384,9786
200401,-0.4161640836132892,18887,9887
200402,-0.4161640836132892,19932,9976
200403,-0.4161640836132892,17421,10062
200404,-0.4161640836132892,2195,10156
200405,-0.4161640836132892,1523,10237
200406,-0.4161640836132892,32344,10284
200407,-0.4161640836132892,19867,10331
200408,-0.4161640836132892,18835,10384
200409,-0.4161640836132892,17494,10423
200410,-0.4161640836132892,16178,10450
200411,-0.4161640836132892,1984,10480
200412,-0.4161640836132892,1354,10512
200413,-0.4161640836132892,32439,10537
200414,-0.4161640836132892,18950,10564
200415,-0.4161640836132892,895,10591
200416,-0.4161640836132892,26657,10613
200417,-0.4161640836132892,17271,10635
200418,-0.4161640836132892,2331,10653
200419,-0.4161640836132892,1764,10661
200420,-0.4161640836132892,31994,10674
200421,-0.4161640836132892,19298,10683
200422,-0.4161640836132892,19368,10694
200423,-0.4161640836132892,17740,10702
200424,-0.4161640836132892,17354,10708
200425,-0.4161640836132892,1970,10718
200426,-0.4161640836132892,1544,10728
200427,-0.4161640836132892,32139,10738
200428,-0.4161640836132892,20194,10752
200429,-0.4161640836132892,18795,10761
200430,-0.4161640836132892,702,10765
200501,-0.06528772115707407,12710,10774
200502,-0.06528772115707407,2294,10780
200503,-0.06528772115707407,2697,10793
200504,-0.06528772115707407,37252,10801
200505,-0.06528772115707407,1765,10804
200506,-0.06528772115707407,33209,10806
200507,-0.06528772115707407,21895,10810
200508,-0.06528772115707407,18825,10822
200509,-0.06528772115707407,2969,10840
200510,-0.06528772115707407,2038,10874
200511,-0.06528772115707407,34048,10909
200512,-0.06528772115707407,21962,10936
200513,-0.06528772115707407,20051,10962
200514,-0.06528772115707407,18895,10991
200515,-0.06528772115707407,17062,11018
200516,-0.06528772115707407,2463,11037
200517,-0.06528772115707407,1645,11050
200518,-0.06528772115707407,31469,11065
200519,-0.06528772115707407,21332,11078
200520,-0.06528772115707407,20336,11110
200521,-0.06528772115707407,18597,11122
200522,-0.06528772115707407,17748,11142
200523,-0.06528772115707407,3072,11165
200524,-0.06528772115707407,2209,11190
200525,-0.06528772115707407,33915,11206
200526,-0.06528772115707407,22297,11225
200527,-0.06528772115707407,20941,11265
200528,-0.06528772115707407,19514,11344
200529,-0.06528772115707407,17426,11402
200530,-0.06528772115707407,1454,11441
200531,-0.06528772115707407,1001,11468
