DATE,PN,CN,COVID
190201,0.0242919921875,1483,0
190202,0.0242919921875,133,0
190203,0.0242919921875,80,0
190204,0.0242919921875,80,0
190205,0.0242919921875,23,0
190206,0.0242919921875,7367,0
190207,0.0242919921875,30123,0
190208,0.0242919921875,17931,0
190209,0.0242919921875,2800,0
190210,0.0242919921875,1130,0
190211,0.0242919921875,26483,0
190212,0.0242919921875,17411,0
190213,0.0242919921875,15320,0
190214,0.0242919921875,13528,0
190215,0.0242919921875,12815,0
190216,0.0242919921875,1436,0
190217,0.0242919921875,1066,0
190218,0.0242919921875,23082,0
190219,0.0242919921875,15403,0
190220,0.0242919921875,14155,0
190221,0.0242919921875,13366,0
190222,0.0242919921875,13620,0
190223,0.0242919921875,1663,0
190224,0.0242919921875,1008,0
190225,0.0242919921875,23459,0
190226,0.0242919921875,16240,0
190227,0.0242919921875,14589,0
190228,0.0242919921875,13053,0
190301,-0.2546436531203133,584,0
190302,-0.2546436531203133,3255,0
190303,-0.2546436531203133,1710,0
190304,-0.2546436531203133,31012,0
190305,-0.2546436531203133,20489,0
190306,-0.2546436531203133,22578,0
190307,-0.2546436531203133,18655,0
190308,-0.2546436531203133,15521,0
190309,-0.2546436531203133,2032,0
190310,-0.2546436531203133,1411,0
190311,-0.2546436531203133,25115,0
190312,-0.2546436531203133,16660,0
190313,-0.2546436531203133,14438,0
190314,-0.2546436531203133,13433,0
190315,-0.2546436531203133,11791,0
190316,-0.2546436531203133,1433,0
190317,-0.2546436531203133,712,0
190318,-0.2546436531203133,22079,0
190319,-0.2546436531203133,14613,0
190320,-0.2546436531203133,13746,0
190321,-0.2546436531203133,13567,0
190322,-0.2546436531203133,12111,0
190323,-0.2546436531203133,1506,0
190324,-0.2546436531203133,905,0
190325,-0.2546436531203133,22012,0
190326,-0.2546436531203133,14454,0
190327,-0.2546436531203133,12989,0
190328,-0.2546436531203133,12901,0
190329,-0.2546436531203133,11502,0
190330,-0.2546436531203133,1692,0
190331,-0.2546436531203133,716,0
190401,-0.25560569763183594,22277,0
190402,-0.25560569763183594,15041,0
190403,-0.25560569763183594,13890,0
190404,-0.25560569763183594,12683,0
190405,-0.25560569763183594,12097,0
190406,-0.25560569763183594,1257,0
190407,-0.25560569763183594,703,0
190408,-0.25560569763183594,21328,0
190409,-0.25560569763183594,14471,0
190410,-0.25560569763183594,13151,0
190411,-0.25560569763183594,12822,0
190412,-0.25560569763183594,12148,0
190413,-0.25560569763183594,1282,0
190414,-0.25560569763183594,873,0
190415,-0.25560569763183594,21233,0
190416,-0.25560569763183594,13934,0
190417,-0.25560569763183594,13003,0
190418,-0.25560569763183594,12365,0
190419,-0.25560569763183594,11520,0
190420,-0.25560569763183594,1383,0
190421,-0.25560569763183594,798,0
190422,-0.25560569763183594,20719,0
190423,-0.25560569763183594,13932,0
190424,-0.25560569763183594,12736,0
190425,-0.25560569763183594,12051,0
190426,-0.25560569763183594,11740,0
190427,-0.25560569763183594,1363,0
190428,-0.25560569763183594,929,0
190429,-0.25560569763183594,20983,0
190430,-0.25560569763183594,13762,0
190501,0.4311133995652199,6157,0
190502,0.4311133995652199,18160,0
190503,0.4311133995652199,13266,0
190504,0.4311133995652199,1569,0
190505,0.4311133995652199,217,0
190506,0.4311133995652199,4218,0
190507,0.4311133995652199,25545,0
190508,0.4311133995652199,14992,0
190509,0.4311133995652199,13457,0
190510,0.4311133995652199,12621,0
190511,0.4311133995652199,1285,0
190512,0.4311133995652199,672,0
190513,0.4311133995652199,22802,0
190514,0.4311133995652199,14999,0
190515,0.4311133995652199,13291,0
190516,0.4311133995652199,12487,0
190517,0.4311133995652199,11889,0
190518,0.4311133995652199,1134,0
190519,0.4311133995652199,747,0
190520,0.4311133995652199,21289,0
190521,0.4311133995652199,16568,0
190522,0.4311133995652199,13768,0
190523,0.4311133995652199,13186,0
190524,0.4311133995652199,12343,0
190525,0.4311133995652199,1577,0
190526,0.4311133995652199,699,0
190527,0.4311133995652199,22044,0
190528,0.4311133995652199,14989,0
190529,0.4311133995652199,14233,0
190530,0.4311133995652199,12153,0
190531,0.4311133995652199,11070,0
200201,-0.5093494653701782,2671,0
200202,-0.5093494653701782,2215,2
200203,-0.5093494653701782,36825,15
200204,-0.5093494653701782,22759,0
200205,-0.5093494653701782,20709,18
200206,-0.5093494653701782,19913,23
200207,-0.5093494653701782,18418,24
200208,-0.5093494653701782,2377,24
200209,-0.5093494653701782,1527,27
200210,-0.5093494653701782,32102,27
200211,-0.5093494653701782,20920,28
200212,-0.5093494653701782,18700,28
200213,-0.5093494653701782,17830,28
200214,-0.5093494653701782,16160,28
200215,-0.5093494653701782,2265,28
200216,-0.5093494653701782,1003,29
200217,-0.5093494653701782,28525,30
200218,-0.5093494653701782,19564,31
200219,-0.5093494653701782,22057,51
200220,-0.5093494653701782,23824,104
200221,-0.5093494653701782,24784,204
200222,-0.5093494653701782,4297,433
200223,-0.5093494653701782,2887,602
200224,-0.5093494653701782,46815,833
