DATE,PN,CN
190201,-0.44806996981302943,2434
190202,-0.44806996981302916,10
190203,-0.44806996981302916,7
190204,-0.44806996981302905,1
190206,-0.44806996981302943,4364
190207,-0.44806996981302943,8816
190208,-0.44806996981302943,5948
190209,-0.44806996981302943,2076
190210,-0.44806996981302943,1781
190211,-0.44806996981302943,7665
190212,-0.44806996981302943,5972
190213,-0.44806996981302943,5978
190214,-0.44806996981302943,4790
190215,-0.44806996981302943,4606
190216,-0.44806996981302943,1735
190217,-0.44806996981302943,1756
190218,-0.44806996981302943,7715
190219,-0.44806996981302943,6164
190220,-0.44806996981302943,5695
190221,-0.44806996981302943,5202
190222,-0.44806996981302943,4749
190223,-0.44806996981302943,1712
190224,-0.44806996981302943,1586
190225,-0.44806996981302943,7507
190226,-0.44806996981302943,6597
190227,-0.44806996981302943,6191
190228,-0.44806996981302943,5857
190301,0.19455062349637364,1185
190302,0.19455062349637364,2697
190303,0.19455062349637364,2470
190304,0.19455062349637364,7221
190305,0.19455062349637364,7238
190306,0.19455062349637364,6662
190307,0.19455062349637364,6882
190308,0.19455062349637364,6521
190309,0.19455062349637364,3185
190310,0.19455062349637364,3280
190311,0.19455062349637364,7654
190312,0.19455062349637364,6781
190313,0.19455062349637364,6395
190314,0.19455062349637364,5827
190315,0.19455062349637364,5253
190316,0.19455062349637364,1919
190317,0.19455062349637364,2097
190318,0.19455062349637364,7430
190319,0.19455062349637364,5759
190320,0.19455062349637364,5541
190321,0.19455062349637364,4745
190322,0.19455062349637364,4458
190323,0.19455062349637364,1115
190324,0.19455062349637364,2007
190325,0.19455062349637364,7024
190326,0.19455062349637364,6569
190327,0.19455062349637364,7552
190328,0.19455062349637364,6484
190329,0.19455062349637364,6517
190330,0.19455062349637364,1389
190331,0.19455062349637364,1653
190401,-0.02406144142150879,6951
190402,-0.02406144142150879,5521
190403,-0.02406144142150879,5306
190404,-0.02406144142150879,4462
190405,-0.02406144142150879,3694
190406,-0.02406144142150879,1291
190407,-0.02406144142150879,1540
190408,-0.02406144142150879,5865
190409,-0.02406144142150879,4699
190410,-0.02406144142150879,4489
190411,-0.02406144142150879,4331
190412,-0.02406144142150879,5133
190413,-0.02406144142150879,2279
190414,-0.02406144142150879,2624
190415,-0.02406144142150879,5736
190416,-0.02406144142150879,5092
190417,-0.02406144142150879,5030
190418,-0.02406144142150879,4255
190419,-0.02406144142150879,4651
190420,-0.02406144142150879,1146
190421,-0.02406144142150879,1358
190422,-0.02406144142150879,5854
190423,-0.02406144142150879,4733
190424,-0.02406144142150879,4368
190425,-0.02406144142150879,4716
190426,-0.02406144142150879,3726
190427,-0.02406144142150879,1228
190428,-0.02406144142150879,1126
190429,-0.02406144142150879,6356
190430,-0.02406144142150879,4986
190501,-0.4979627847671506,525
190502,-0.4979627847671506,5775
190503,-0.4979627847671506,4519
190504,-0.4979627847671506,1516
190505,-0.4979627847671506,690
190506,-0.4979627847671506,1968
190507,-0.4979627847671506,6388
190508,-0.4979627847671506,4929
190509,-0.4979627847671506,4112
190510,-0.4979627847671506,4002
190511,-0.4979627847671506,1075
190512,-0.4979627847671506,1148
190513,-0.4979627847671506,5759
190514,-0.4979627847671506,4543
190515,-0.4979627847671506,3712
190516,-0.4979627847671506,3930
190517,-0.4979627847671506,4136
190518,-0.4979627847671506,1113
190519,-0.4979627847671506,1455
190520,-0.4979627847671506,6363
190521,-0.4979627847671506,4899
190522,-0.4979627847671506,4044
190523,-0.4979627847671506,3909
190524,-0.4979627847671506,3951
190525,-0.4979627847671506,1010
190526,-0.4979627847671506,1575
190527,-0.4979627847671506,7115
190528,-0.4979627847671506,6745
190529,-0.4979627847671506,4517
190530,-0.4979627847671506,4013
190531,-0.4979627847671506,3316
200201,-0.12741482257843018,2030
