DATE,PN,CN
20190201,0.4884227812290193,558919
20190202,0.4884227812290193,529802
20190203,0.4884227812290193,437239
20190204,0.4884227812290193,396358
20190205,0.4884227812290192,299404
20190206,0.4884227812290193,399888
20190207,0.4884227812290193,477192
20190208,0.4884227812290193,523503
20190209,0.4884227812290193,514307
20190210,0.4884227812290193,429293
20190211,0.4884227812290193,483952
20190212,0.4884227812290193,499589
20190213,0.4884227812290193,518068
20190214,0.4884227812290193,534724
20190215,0.4884227812290193,533204
20190216,0.4884227812290193,538234
20190217,0.4884227812290193,451500
20190218,0.4884227812290193,488872
20190219,0.4884227812290193,487224
20190220,0.4884227812290193,517951
20190221,0.4884227812290193,532075
20190222,0.4884227812290193,563879
20190223,0.4884227812290193,570803
20190224,0.4884227812290193,483634
20190225,0.4884227812290193,518393
20190226,0.4884227812290193,536123
20190227,0.4884227812290193,545125
20190228,0.4884227812290193,582196
20190301,0.4787071645259857,538258
20190302,0.4787071645259857,545190
20190303,0.4787071645259857,462992
20190304,0.4787071645259857,520307
20190305,0.4787071645259857,502623
20190306,0.4787071645259857,518300
20190307,0.4787071645259857,535124
20190308,0.4787071645259857,584714
20190309,0.4787071645259857,595617
20190310,0.4787071645259857,470365
20190311,0.4787071645259857,504831
20190312,0.4787071645259857,511581
20190313,0.4787071645259857,535782
20190314,0.4787071645259857,555487
20190315,0.4787071645259857,549088
20190316,0.4787071645259857,579456
20190317,0.4787071645259857,490923
20190318,0.4787071645259857,508670
20190319,0.4787071645259857,556606
20190320,0.4787071645259857,507846
20190321,0.4787071645259857,543103
20190322,0.4787071645259857,585221
20190323,0.4787071645259857,559210
20190324,0.4787071645259857,494728
20190325,0.4787071645259857,515611
20190326,0.4787071645259857,545939
20190327,0.4787071645259857,545693
20190328,0.4787071645259857,555108
20190329,0.4787071645259857,600391
20190330,0.4787071645259857,566660
20190331,0.4787071645259857,491006
20190401,0.5413034345422306,511574
20190402,0.5413034345422306,536216
20190403,0.5413034345422306,549699
20190404,0.5413034345422306,550476
20190405,0.5413034345422304,585043
20190406,0.5413034345422305,572785
20190407,0.5413034345422308,505596
20190408,0.5413034345422305,526411
20190409,0.5413034345422306,499748
20190410,0.5413034345422305,532061
20190411,0.5413034345422305,564672
20190412,0.5413034345422304,611168
20190413,0.5413034345422305,621791
20190414,0.5413034345422307,479629
20190415,0.5413034345422305,544275
20190416,0.5413034345422306,563132
20190417,0.5413034345422305,573476
20190418,0.5413034345422305,552080
20190419,0.5413034345422305,597478
20190420,0.5413034345422304,615802
20190421,0.5413034345422308,511769
20190422,0.5413034345422306,551538
20190423,0.5413034345422306,543814
20190424,0.5413034345422307,571944
20190425,0.5413034345422305,528724
20190426,0.5413034345422305,573665
20190427,0.5413034345422304,638730
20190428,0.5413034345422307,524099
20190429,0.5413034345422306,522934
20190430,0.5413034345422305,594608
20190501,-0.06888024674521173,565634
20190502,-0.06888024674521173,559634
20190503,-0.06888024674521169,609969
20190504,-0.06888024674521169,594902
20190505,-0.06888024674521177,536768
20190506,-0.06888024674521176,501767
20190507,-0.06888024674521173,525858
20190508,-0.0688802467452117,543314
20190509,-0.06888024674521175,539079
20190510,-0.06888024674521173,591513
20190511,-0.06888024674521173,611685
20190512,-0.06888024674521177,512755
20190513,-0.06888024674521173,512905
20190514,-0.06888024674521173,556758
20190515,-0.06888024674521173,570991
20190516,-0.06888024674521175,557637
20190517,-0.0688802467452117,596899
20190518,-0.06888024674521173,586976
20190519,-0.06888024674521179,447939
20190520,-0.0688802467452117,518040
20190521,-0.06888024674521173,547162
20190522,-0.06888024674521173,557216
20190523,-0.06888024674521173,562838
20190524,-0.06888024674521173,608967
20190525,-0.0688802467452117,621488
20190526,-0.06888024674521176,520794
20190527,-0.06888024674521173,482170
20190528,-0.06888024674521173,552378
20190529,-0.06888024674521173,562501
20190530,-0.06888024674521173,555971
20190531,-0.0688802467452117,606905
20200201,-0.017809921503066175,486001
