DATE,PN,CN
20190201,0.041013479232788086,106632
20190202,0.041013479232788086,73409
20190203,0.041013479232788086,13496
20190204,0.041013479232788086,16828
20190205,0.041013479232788086,5317
20190206,0.041013479232788086,14718
20190207,0.041013479232788086,113612
20190208,0.041013479232788086,100815
20190209,0.041013479232788086,67490
20190210,0.041013479232788086,9334
20190211,0.041013479232788086,110712
20190212,0.041013479232788086,94232
20190213,0.041013479232788086,87764
20190214,0.041013479232788086,89314
20190215,0.041013479232788086,92426
20190216,0.041013479232788086,64011
20190217,0.041013479232788086,11135
20190218,0.041013479232788086,108449
20190219,0.041013479232788086,85984
20190220,0.041013479232788086,86887
20190221,0.041013479232788086,88488
20190222,0.041013479232788086,96178
20190223,0.041013479232788086,63422
20190224,0.041013479232788086,9636
20190225,0.041013479232788086,114264
20190226,0.041013479232788086,99642
20190227,0.041013479232788086,95988
20190228,0.041013479232788086,100030
20190301,-0.0163763165473938,19032
20190302,-0.0163763165473938,68977
20190303,-0.0163763165473938,11259
20190304,-0.0163763165473938,111289
20190305,-0.0163763165473938,95048
20190306,-0.0163763165473938,85840
20190307,-0.0163763165473938,85074
20190308,-0.0163763165473938,94620
20190309,-0.0163763165473938,67366
20190310,-0.0163763165473938,9953
20190311,-0.0163763165473938,107990
20190312,-0.0163763165473938,89630
20190313,-0.0163763165473938,86279
20190314,-0.0163763165473938,85262
20190315,-0.0163763165473938,92064
20190316,-0.0163763165473938,67881
20190317,-0.0163763165473938,11738
20190318,-0.0163763165473938,112948
20190319,-0.0163763165473938,94548
20190320,-0.0163763165473938,87051
20190321,-0.0163763165473938,88408
20190322,-0.0163763165473938,99268
20190323,-0.0163763165473938,71084
20190324,-0.0163763165473938,11969
20190325,-0.0163763165473938,118998
20190326,-0.0163763165473938,100874
20190327,-0.0163763165473938,96578
20190328,-0.0163763165473938,95321
20190329,-0.0163763165473938,100652
20190330,-0.0163763165473938,71646
20190331,-0.0163763165473938,14667
20190401,0.2669769287109404,115665
20190402,0.26697692871094,96924
20190403,0.2669769287109397,92126
20190404,0.26697692871093986,93833
20190405,0.2669769287109402,100291
20190406,0.2669769287109398,70556
20190407,0.2669769287109342,13605
20190408,0.2669769287109404,119140
20190409,0.2669769287109401,96314
20190410,0.2669769287109401,92346
20190411,0.2669769287109399,92442
20190412,0.2669769287109401,102475
20190413,0.2669769287109397,71979
20190414,0.2669769287109344,12519
20190415,0.2669769287109404,123006
20190416,0.2669769287109401,101343
20190417,0.2669769287109401,95982
20190418,0.2669769287109399,93225
20190419,0.2669769287109403,102046
20190420,0.2669769287109397,71081
20190421,0.26697692871093426,13171
20190422,0.2669769287109404,120875
20190423,0.2669769287109401,102168
20190424,0.26697692871093986,99397
20190425,0.26697692871094,93333
20190426,0.2669769287109403,100323
20190427,0.26697692871093953,69265
20190428,0.2669769287109344,10892
20190429,0.26697692871094025,119829
20190430,0.26697692871094003,105652
20190501,0.17681125402450185,71603
20190502,0.17681125402450185,99294
