DATE,PN,CN
190201,-0.5076049500041541,262
190202,-0.5076049500041538,17
190203,-0.5076049500041538,15
190204,-0.5076049500041537,9
190205,-0.5076049500041537,3
190206,-0.5076049500041538,893
190207,-0.5076049500041538,6001
190208,-0.5076049500041538,3206
190209,-0.5076049500041538,587
190210,-0.5076049500041541,136
190211,-0.5076049500041538,5080
190212,-0.5076049500041538,3398
190213,-0.5076049500041538,3046
190214,-0.5076049500041538,2619
190215,-0.5076049500041538,2535
190216,-0.5076049500041541,405
190217,-0.5076049500041541,175
190218,-0.5076049500041538,4686
190219,-0.5076049500041538,3009
190220,-0.5076049500041538,3025
190221,-0.5076049500041538,2625
190222,-0.5076049500041538,2575
190223,-0.507604950004154,471
190224,-0.5076049500041541,163
190225,-0.5076049500041538,4762
190226,-0.5076049500041538,3171
190227,-0.5076049500041538,2985
190228,-0.5076049500041538,2641
190301,-0.5076049500041541,67
190302,-0.5076049500041538,543
190303,-0.5076049500041541,210
190304,-0.5076049500041538,6156
190305,-0.5076049500041538,3717
190306,-0.5076049500041538,3231
190307,-0.5076049500041538,3054
190308,-0.5076049500041538,2847
190309,-0.5076049500041541,323
190310,-0.5076049500041541,176
190311,-0.5076049500041538,4950
190312,-0.5076049500041538,3385
190313,-0.5076049500041538,3044
190314,-0.5076049500041538,2715
190315,-0.5076049500041538,2567
190316,-0.5076049500041541,301
190317,-0.5076049500041541,185
190318,-0.5076049500041538,4724
190319,-0.5076049500041538,3180
190320,-0.5076049500041538,2869
190321,-0.5076049500041538,2746
190322,-0.5076049500041538,2615
190323,-0.5076049500041541,274
190324,-0.5076049500041541,104
190325,-0.5076049500041538,4904
190326,-0.5076049500041538,3378
190327,-0.5076049500041538,2890
190328,-0.5076049500041538,2749
190329,-0.5076049500041538,2398
190330,-0.5076049500041541,443
190331,-0.5076049500041541,159
190401,-0.5076049500041538,4821
190402,-0.5076049500041538,3111
190403,-0.5076049500041538,3056
190404,-0.5076049500041538,2717
190405,-0.5076049500041538,2600
190406,-0.5076049500041541,349
190407,-0.5076049500041541,162
190408,-0.5076049500041538,4611
190409,-0.5076049500041538,3103
190410,-0.5076049500041538,2676
190411,-0.5076049500041538,2626
190412,-0.5076049500041538,2378
190413,-0.5076049500041541,230
190414,-0.5076049500041541,318
190415,-0.5076049500041538,4786
190416,-0.5076049500041538,2998
190417,-0.5076049500041538,2721
190418,-0.5076049500041538,2434
190419,-0.5076049500041538,2378
190420,-0.5076049500041541,232
190421,-0.5076049500041541,299
190422,-0.5076049500041538,4545
190423,-0.5076049500041538,2911
190424,-0.5076049500041538,2683
190425,-0.5076049500041538,2458
190426,-0.5076049500041538,2389
190427,-0.5076049500041541,282
190428,-0.5076049500041541,258
190429,-0.5076049500041538,4279
190430,-0.5076049500041538,2695
190501,-0.5076049500041538,955
190502,-0.5076049500041538,3764
190503,-0.5076049500041538,2707
190504,-0.5076049500041538,503
190505,-0.5076049500041541,33
190506,-0.5076049500041538,544
190507,-0.5076049500041538,5180
190508,-0.5076049500041538,3209
190509,-0.5076049500041538,2678
190510,-0.5076049500041538,2338
190511,-0.5076049500041541,220
190512,-0.5076049500041541,107
190513,-0.5076049500041538,4342
190514,-0.5076049500041538,3174
190515,-0.5076049500041538,2664
190516,-0.5076049500041538,2564
190517,-0.5076049500041538,2556
190518,-0.507604950004154,355
190519,-0.5076049500041541,98
190520,-0.5076049500041538,4221
190521,-0.5076049500041538,2943
190522,-0.5076049500041538,2621
190523,-0.5076049500041538,2719
190524,-0.5076049500041538,2382
190525,-0.5076049500041538,403
190526,-0.5076049500041541,178
190527,-0.5076049500041538,4591
190528,-0.5076049500041538,2880
190529,-0.5076049500041538,2801
190530,-0.5076049500041538,2639
190531,-0.5076049500041538,2452
200201,-0.5076049500041541,276
200202,-0.5076049500041541,205
200203,-0.5076049500041538,5168
200204,-0.5076049500041538,3183
200205,-0.5076049500041538,2922
200206,-0.5076049500041538,2825
200207,-0.5076049500041538,2747
200208,-0.5076049500041541,225
200209,-0.5076049500041541,218
200210,-0.5076049500041538,4962
200211,-0.5076049500041538,3298
200212,-0.5076049500041538,3101
200213,-0.5076049500041538,2886
200214,-0.5076049500041538,2590
200215,-0.507604950004154,235
200216,-0.5076049500041541,73
200217,-0.5076049500041538,4623
200218,-0.5076049500041538,3322
200219,-0.5076049500041538,3032
200220,-0.5076049500041538,2660
200221,-0.5076049500041538,2580
200222,-0.5076049500041541,308
200223,-0.5076049500041541,203
200224,-0.5076049500041538,5053
200225,-0.5076049500041538,3080
200226,-0.5076049500041538,3075
200227,-0.5076049500041538,3068
200228,-0.5076049500041538,2702
200229,-0.5076049500041541,290
200301,-0.5076049500041541,162
200302,-0.5076049500041538,5359
200303,-0.5076049500041538,3749
200304,-0.5076049500041538,3213
200305,-0.5076049500041538,3114
200306,-0.5076049500041538,3090
200307,-0.507604950004154,337
200308,-0.5076049500041541,200
200309,-0.5076049500041538,5587
200310,-0.5076049500041538,3516
200311,-0.5076049500041538,3244
200312,-0.5076049500041538,3385
200313,-0.5076049500041538,3315
200314,-0.5076049500041538,635
200315,-0.5076049500041541,147
200316,-0.5076049500041538,5625
200317,-0.5076049500041538,3871
200318,-0.5076049500041538,3487
200319,-0.5076049500041538,3429
200320,-0.5076049500041538,3023
200321,-0.507604950004154,409
200322,-0.5076049500041541,305
200323,-0.5076049500041538,5409
200324,-0.5076049500041538,3429
200325,-0.5076049500041538,3286
200326,-0.5076049500041538,3280
200327,-0.5076049500041538,3219
200328,-0.507604950004154,346
200329,-0.5076049500041541,141
200330,-0.5076049500041538,5545
200331,-0.5076049500041538,3373
200401,-0.5076049500041538,4197
200402,-0.5076049500041538,4032
200403,-0.5076049500041538,3832
200404,-0.5076049500041538,508
200405,-0.5076049500041541,183
200406,-0.5076049500041538,6592
200407,-0.5076049500041538,4560
200408,-0.5076049500041538,4075
200409,-0.5076049500041538,3741
200410,-0.5076049500041538,3503
200411,-0.5076049500041538,454
200412,-0.5076049500041541,138
200413,-0.5076049500041538,6631
200414,-0.5076049500041538,4328
200415,-0.5076049500041541,59
200416,-0.5076049500041538,6044
200417,-0.5076049500041538,3751
200418,-0.5076049500041538,582
200419,-0.5076049500041541,147
200420,-0.5076049500041538,6705
200421,-0.5076049500041538,4219
200422,-0.5076049500041538,3921
200423,-0.5076049500041538,3647
200424,-0.5076049500041538,3508
200425,-0.5076049500041541,496
200426,-0.507604950004154,321
200427,-0.5076049500041538,6889
200428,-0.5076049500041538,4271
200429,-0.5076049500041538,3901
200430,-0.5076049500041541,52
200501,-0.5076049500041538,3080
200502,-0.5076049500041538,704
200503,-0.507604950004154,365
200504,-0.5076049500041538,7975
200505,-0.5076049500041541,218
200506,-0.5076049500041538,7139
200507,-0.5076049500041538,4631
200508,-0.5076049500041538,4086
200509,-0.5076049500041538,949
200510,-0.5076049500041541,288
200511,-0.5076049500041538,6820
200512,-0.5076049500041538,4780
200513,-0.5076049500041538,4120
200514,-0.5076049500041538,3808
200515,-0.5076049500041538,3610
200516,-0.5076049500041538,558
200517,-0.5076049500041541,209
200518,-0.5076049500041538,6461
200519,-0.5076049500041538,4618
200520,-0.5076049500041538,4258
200521,-0.5076049500041538,3757
200522,-0.5076049500041538,3631
200523,-0.5076049500041538,694
200524,-0.5076049500041541,203
200525,-0.5076049500041538,6743
200526,-0.5076049500041538,4250
200527,-0.5076049500041538,3920
200528,-0.5076049500041538,3859
200529,-0.5076049500041538,3189
200530,-0.5076049500041538,497
200531,-0.5076049500041541,180
