DATE,PN,CN
190201,0.4884227812290193,1336
190202,0.4884227812290192,109
190203,0.4884227812290192,157
190204,0.4884227812290192,12
190205,0.4884227812290192,21
190206,0.4884227812290193,6500
190207,0.4884227812290193,32259
190208,0.4884227812290193,20186
190209,0.4884227812290193,2523
190210,0.4884227812290193,3398
190211,0.4884227812290193,30563
190212,0.4884227812290193,21465
190213,0.4884227812290193,19101
190214,0.4884227812290193,16881
190215,0.4884227812290193,15554
190216,0.4884227812290193,1876
190217,0.4884227812290193,3373
190218,0.4884227812290193,26013
190219,0.4884227812290193,18050
190220,0.4884227812290193,16512
190221,0.4884227812290193,15641
190222,0.4884227812290193,14144
190223,0.4884227812290193,1226
190224,0.4884227812290193,2467
190225,0.4884227812290193,26391
190226,0.4884227812290193,18035
190227,0.4884227812290193,16673
190228,0.4884227812290193,10109
190301,-0.0012370149294535324,752
190302,-0.0012370149294535324,2028
190303,-0.0012370149294535324,5238
190304,-0.0012370149294535324,34387
190305,-0.0012370149294535324,20544
190306,-0.0012370149294535324,17849
190307,-0.0012370149294535324,16047
190308,-0.0012370149294535324,14805
190309,-0.0012370149294535324,1498
190310,-0.0012370149294535324,2697
190311,-0.0012370149294535324,27954
190312,-0.0012370149294535324,18814
190313,-0.0012370149294535324,16673
190314,-0.0012370149294535324,15943
190315,-0.0012370149294535324,15147
190316,-0.0012370149294535324,1172
190317,-0.0012370149294535324,3543
190318,-0.0012370149294535324,26693
190319,-0.0012370149294535324,18404
190320,-0.0012370149294535324,15748
190321,-0.0012370149294535324,16096
190322,-0.0012370149294535324,14474
190323,-0.0012370149294535324,1190
190324,-0.0012370149294535324,2573
190325,-0.0012370149294535324,26610
190326,-0.0012370149294535324,18596
190327,-0.0012370149294535324,16619
190328,-0.0012370149294535324,15283
190329,-0.0012370149294535324,13707
190330,-0.0012370149294535324,1352
190331,-0.0012370149294535324,2636
190401,0.5413034345422474,27715
190402,0.5413034345422474,19472
190403,0.5413034345422474,17362
190404,0.5413034345422474,16808
190405,0.5413034345422474,14804
190406,0.5413034345422474,1212
190407,0.5413034345422474,2443
190408,0.5413034345422474,26609
190409,0.5413034345422474,18234
190410,0.5413034345422474,16335
190411,0.5413034345422474,16870
