DATE,PN,CN
190201,0.0242919921875,1483
190202,0.0242919921875,133
190203,0.0242919921875,80
190204,0.0242919921875,80
190205,0.0242919921875,23
190206,0.0242919921875,7367
190207,0.0242919921875,30123
190208,0.0242919921875,17931
190209,0.0242919921875,2800
190210,0.0242919921875,1130
190211,0.0242919921875,26483
190212,0.0242919921875,17411
190213,0.0242919921875,15320
190214,0.0242919921875,13528
190215,0.0242919921875,12815
190216,0.0242919921875,1436
190217,0.0242919921875,1066
190218,0.0242919921875,23082
190219,0.0242919921875,15403
190220,0.0242919921875,14155
190221,0.0242919921875,13366
190222,0.0242919921875,13620
190223,0.0242919921875,1663
190224,0.0242919921875,1008
190225,0.0242919921875,23459
190226,0.0242919921875,16240
190227,0.0242919921875,14589
190228,0.0242919921875,13053
190301,-0.2546436531203133,584
190302,-0.25464365312031334,3255
190303,-0.25464365312031334,1710
190304,-0.25464365312031334,31012
190305,-0.25464365312031334,20489
190306,-0.25464365312031334,22578
190307,-0.25464365312031334,18655
190308,-0.25464365312031334,15521
190309,-0.25464365312031334,2032
190310,-0.25464365312031334,1411
190311,-0.25464365312031334,25115
190312,-0.25464365312031334,16660
190313,-0.25464365312031334,14438
190314,-0.25464365312031334,13433
190315,-0.25464365312031334,11791
190316,-0.25464365312031334,1433
190317,-0.25464365312031334,712
190318,-0.25464365312031334,22079
190319,-0.25464365312031334,14613
190320,-0.25464365312031334,13746
190321,-0.25464365312031334,13567
190322,-0.25464365312031334,12111
190323,-0.25464365312031334,1506
190324,-0.25464365312031334,905
190325,-0.25464365312031334,22012
190326,-0.25464365312031334,14454
190327,-0.25464365312031334,12989
190328,-0.25464365312031334,12901
190329,-0.25464365312031334,11502
190330,-0.25464365312031334,1692
190331,-0.25464365312031334,716
190401,-0.25560569763183594,22277
190402,-0.25560569763183594,15041
190403,-0.25560569763183594,13890
190404,-0.25560569763183594,12683
190405,-0.25560569763183594,12097
190406,-0.25560569763183594,1257
190407,-0.25560569763183594,703
190408,-0.25560569763183594,21328
190409,-0.25560569763183594,14471
190410,-0.25560569763183594,13151
190411,-0.25560569763183594,12822
190412,-0.25560569763183594,12148
190413,-0.25560569763183594,1282
190414,-0.25560569763183594,873
190415,-0.25560569763183594,21233
190416,-0.25560569763183594,13934
190417,-0.25560569763183594,13003
190418,-0.25560569763183594,12365
190419,-0.25560569763183594,11520
190420,-0.25560569763183594,1383
190421,-0.25560569763183594,798
190422,-0.25560569763183594,20719
190423,-0.25560569763183594,13932
190424,-0.25560569763183594,12736
190425,-0.25560569763183594,12051
190426,-0.25560569763183594,11740
190427,-0.25560569763183594,1363
190428,-0.25560569763183594,929
190429,-0.25560569763183594,20983
190430,-0.25560569763183594,13762
190501,0.4311133995652199,6157
190502,0.4311133995652199,18160
190503,0.4311133995652199,13266
190504,0.4311133995652199,1569
190505,0.4311133995652199,217
190506,0.4311133995652199,4218
190507,0.4311133995652199,25545
190508,0.4311133995652199,14992
190509,0.4311133995652199,13457
190510,0.4311133995652199,12621
190511,0.4311133995652199,1285
190512,0.4311133995652199,672
190513,0.4311133995652199,22802
190514,0.4311133995652199,14999
190515,0.4311133995652199,13291
190516,0.4311133995652199,12487
190517,0.4311133995652199,11889
190518,0.4311133995652199,1134
190519,0.4311133995652199,747
190520,0.4311133995652199,21289
190521,0.4311133995652199,16568
190522,0.4311133995652199,13768
190523,0.4311133995652199,13186
190524,0.4311133995652199,12343
190525,0.4311133995652199,1577
190526,0.4311133995652199,699
190527,0.4311133995652199,22044
190528,0.4311133995652199,14989
190529,0.4311133995652199,14233
190530,0.4311133995652199,12153
190531,0.4311133995652199,11070
200201,-0.5093494653701782,2671
200202,-0.5093494653701782,2215
200203,-0.5093494653701782,36825
200204,-0.5093494653701782,22759
200205,-0.5093494653701782,20709
200206,-0.5093494653701782,19913
200207,-0.5093494653701782,18418
200208,-0.5093494653701782,2377
200209,-0.5093494653701782,1527
200210,-0.5093494653701782,32102
200211,-0.5093494653701782,20920
200212,-0.5093494653701782,18700
200213,-0.5093494653701782,17830
200214,-0.5093494653701782,16160
200215,-0.5093494653701782,2265
200216,-0.5093494653701782,1003
200217,-0.5093494653701782,28525
200218,-0.5093494653701782,19564
200219,-0.5093494653701782,22057
200220,-0.5093494653701782,23824
200221,-0.5093494653701782,24784
200222,-0.5093494653701782,4297
200223,-0.5093494653701782,2887
200224,-0.5093494653701782,46815
200225,-0.5093494653701782,29529
200226,-0.5093494653701782,29079
200227,-0.5093494653701782,26436
200228,-0.5093494653701782,24497
200301,-0.45776326315743554,3259
200302,-0.45776326315743554,44531
200303,-0.45776326315743554,28173
200304,-0.45776326315743554,25941
200305,-0.45776326315743554,24219
200306,-0.45776326315743554,23751
200307,-0.45776326315743554,5022
200308,-0.45776326315743554,2546
200309,-0.45776326315743554,39085
200310,-0.45776326315743554,24992
200311,-0.45776326315743554,23681
200312,-0.45776326315743554,23234
200313,-0.45776326315743554,21327
200314,-0.45776326315743554,2941
200315,-0.45776326315743554,2242
200316,-0.45776326315743554,36478
200317,-0.45776326315743554,22010
200318,-0.45776326315743554,20510
200319,-0.45776326315743554,20298
200320,-0.45776326315743554,18275
200321,-0.45776326315743554,2705
200322,-0.45776326315743554,1964
200323,-0.45776326315743554,33926
200324,-0.45776326315743554,20440
200325,-0.45776326315743554,20332
200326,-0.45776326315743554,17967
200327,-0.45776326315743554,17067
200328,-0.45776326315743554,1937
200329,-0.45776326315743554,1540
200330,-0.45776326315743554,31109
200331,-0.45776326315743554,18384
200401,-0.4161640836132892,18887
200402,-0.4161640836132892,19932
200403,-0.4161640836132892,17421
200404,-0.4161640836132892,2195
200405,-0.4161640836132892,1523
200406,-0.4161640836132892,32344
200407,-0.4161640836132892,19867
200408,-0.4161640836132892,18835
200409,-0.4161640836132892,17494
200410,-0.4161640836132892,16178
200411,-0.4161640836132892,1984
200412,-0.4161640836132892,1354
200413,-0.4161640836132892,32439
200414,-0.4161640836132892,18950
200415,-0.4161640836132892,895
200416,-0.4161640836132892,26657
200417,-0.4161640836132892,17271
200418,-0.4161640836132892,2331
200419,-0.4161640836132892,1764
200420,-0.4161640836132892,31994
200421,-0.4161640836132892,19298
200422,-0.4161640836132892,19368
200423,-0.4161640836132892,17740
200424,-0.4161640836132892,17354
200425,-0.4161640836132892,1970
200426,-0.4161640836132892,1544
200427,-0.4161640836132892,32139
200428,-0.4161640836132892,20194
200429,-0.4161640836132892,18795
200430,-0.4161640836132892,702
200501,-0.06528772115707407,12710
200502,-0.06528772115707407,2294
200503,-0.06528772115707407,2697
200504,-0.06528772115707407,37252
200505,-0.06528772115707407,1765
200506,-0.06528772115707407,33209
200507,-0.06528772115707407,21895
200508,-0.06528772115707407,18825
200509,-0.06528772115707407,2969
200510,-0.06528772115707407,2038
200511,-0.06528772115707407,34048
200512,-0.06528772115707407,21962
200513,-0.06528772115707407,20051
200514,-0.06528772115707407,18895
200515,-0.06528772115707407,17062
200516,-0.06528772115707407,2463
200517,-0.06528772115707407,1645
200518,-0.06528772115707407,31469
200519,-0.06528772115707407,21332
200520,-0.06528772115707407,20336
200521,-0.06528772115707407,18597
200522,-0.06528772115707407,17748
200523,-0.06528772115707407,3072
200524,-0.06528772115707407,2209
200525,-0.06528772115707407,33915
200526,-0.06528772115707407,22297
200527,-0.06528772115707407,20941
200528,-0.06528772115707407,19514
200529,-0.06528772115707407,17426
200530,-0.06528772115707407,1454
200531,-0.06528772115707407,1001
