DATE,CN,AMT
20190201,5,454
20190201,5,146
20190201,5,43
20190201,16,103
20190201,11,184
20190201,27,622
20190201,11,238
20190201,11,536
20190201,11,1396
20190201,60,992
20190201,27,1991
20190201,5,464
20190201,11,497
20190201,16,939
20190201,5,325
20190201,49,1830
20190201,11,65
20190201,5,216
20190201,5,16
20190201,16,334
20190201,16,701
20190201,49,3085
20190201,81,921
20190201,16,1014
20190201,11,90
20190201,5,81
20190201,11,11
20190201,16,227
20190201,22,32
20190201,238,1257
20190201,238,1498
20190201,54,282
20190201,11,517
20190201,5,135
20190201,5,87
20190201,81,3865
20190201,97,8874
20190201,22,1279
20190201,16,840
20190201,22,1645
20190201,43,3136
20190201,32,1596
20190201,5,162
20190201,5,192
20190201,43,3660
20190201,81,6097
20190201,32,6174
20190201,16,1302
20190201,43,3804
20190201,32,1915
20190201,27,2196
20190201,5,1217
20190201,5,1244
20190201,97,560
20190201,5,14
20190201,5,27
20190201,11,509
20190201,5,27
20190201,22,135
20190201,60,577
20190201,5,65
20190201,5,44
20190201,211,1346
20190201,216,1163
20190201,60,289
20190201,16,2002
20190201,11,16
20190201,5,43
20190201,11,38
20190201,16,698
20190201,5,378
20190201,5,43
20190201,11,25211
20190201,5,3982
20190201,5,1731
20190201,11,108
20190201,16,660
20190201,22,584
20190201,11,243
20190201,5,157
20190201,11,42
20190201,11,92
20190201,16,353
20190201,5,406
20190201,11,16122
20190201,5,866
20190201,5,54
20190201,5,27
20190201,5,812
20190201,5,325
20190201,11,189
20190201,5,2976
20190201,11,162
20190201,5,38
20190201,22,55
20190201,5,84
20190201,27,104
20190201,5,19
20190201,22,111
20190201,5,54
20190201,5,298
20190201,5,1931
20190201,5,5248
20190201,5,22
20190201,16,44
20190201,5,157
20190201,5,88
20190201,16,364
20190201,5,319
20190201,5,628
20190201,5,227
20190201,5,146
20190201,5,81
20190201,5,5966
20190201,9,2350
20190201,9,1076
20190201,5,45
20190201,9,698
20190201,5,69
20190201,14,46
20190201,9,1870
20190201,14,435
20190201,5,149
20190201,27,506
20190201,27,2493
20190201,18,495
20190201,9,240
20190201,9,156
20190201,5,136
20190201,5,208
20190201,5,759
20190201,9,366
20190201,5,967
20190201,9,1109
20190201,9,1602
20190201,9,687
20190201,5,389
20190201,9,61
20190201,14,628
20190201,9,280
20190201,5,131
20190201,9,1243
20190201,5,113
20190201,5,945
20190201,5,203
20190201,5,475
20190201,5,244
20190201,5,15
20190201,5,15
20190201,14,311
20190201,18,398
20190201,27,362
20190201,36,1279
20190201,18,343
20190201,5,84
20190201,5,136
20190201,601,45738
20190201,538,52197
20190201,276,20111
20190201,316,26665
20190201,357,27032
20190201,479,39878
20190201,366,29738
20190201,172,11855
20190201,41,2968
20190201,59,4830
20190201,420,31110
20190201,705,58640
20190201,271,29727
20190201,307,26257
20190201,276,21097
20190201,411,29709
20190201,330,26792
20190201,118,7789
20190201,27,2104
20190201,54,3799
20190201,18,221
20190201,5,86
20190201,18,5792
20190201,9,66
20190201,5,47
20190201,14,2807
20190201,9,235
20190201,9,443
20190201,5,113
20190201,32,1119
20190201,9,1227
20190201,32,621
20190201,23,429
20190201,23,6399
20190201,27,624
20190201,32,565
20190201,18,4522
20190201,14,221
20190201,113,558
20190201,41,264
20190201,23,411
20190201,23,136
20190201,18,88
20190201,5,45
20190201,515,2784
20190201,497,2716
20190201,41,319
20190201,18,240
20190201,23,391
20190201,23,350
20190201,36,423
20190201,14,158
20190201,9,384
20190201,5,22600
20190201,5,1040
20190201,27,122
20190201,9,110
20190201,68,371
20190201,131,722
20190201,27,858
20190201,5,226
20190201,5,163
20190201,23,160
20190201,5,70
20190201,9,34
20190201,5,1112
20190201,14,65
20190201,18,4865
20190201,23,799
20190201,14,991
20190201,27,4862
20190201,14,1248
20190201,23,2335
20190201,14,2241
20190201,32,3424
20190201,68,9107
20190201,68,9695
20190201,86,6139
20190201,45,1626
20190201,32,4805
20190201,14,1415
20190201,18,1438
20190201,9,190
20190201,9,249
20190201,32,725
20190201,18,673
20190201,14,506
20190201,9,410
20190201,27,1065
20190201,23,1191
20190201,27,3105
20190201,27,1566
20190201,18,6512
20190201,14,1503
20190201,32,591
20190201,68,1534
20190201,36,660
20190201,63,1309
20190201,27,1145
20190201,27,612
20190201,45,4134
20190201,45,5963
