,DATE,PN,CN,COVID
0,190221,0,1,0
1,200418,0,1,2
2,200410,0,0,2
3,200417,0,1,2
4,190514,0,1,0
5,190322,0,0,0
6,190410,0,1,0
7,190501,0,1,0
8,190316,0,1,0
9,190315,0,0,0
10,190421,0,1,0
11,190523,0,0,0
12,200502,0,1,2
13,190201,0,0,0
14,200406,0,1,2
15,190318,0,1,0
16,200408,0,1,2
17,200311,1,0,1
18,190515,0,1,0
19,190218,0,1,0
20,200407,0,1,2
21,200218,0,1,1
22,200514,0,0,2
23,200305,1,0,1
24,200204,0,1,0
25,200405,0,1,2
26,190518,0,1,0
27,190308,0,0,0
28,200317,1,1,1
29,190331,0,1,0
30,190424,0,0,0
31,190301,0,1,0
32,190504,0,1,0
33,190215,0,0,0
34,190319,0,1,0
35,200326,1,0,1
36,200224,0,1,1
37,200430,0,1,2
38,190304,0,1,0
39,200519,0,1,2
40,200412,0,1,2
41,190212,0,1,0
42,200321,1,1,1
43,190413,0,1,0
44,190409,0,1,0
45,200525,0,1,2
46,200304,1,1,1
47,200302,1,1,1
48,190307,0,0,0
49,190522,0,1,0
50,190525,0,1,0
51,200213,0,0,1
52,190325,0,1,0
53,200220,0,1,1
54,200225,0,1,1
55,190202,0,1,0
56,190511,0,1,0
57,200208,0,1,1
58,190321,0,0,0
59,200329,1,1,1
60,200505,0,1,2
61,200503,0,1,2
62,200402,0,0,2
63,190224,0,1,0
64,190214,0,1,0
65,190528,0,1,0
66,190527,0,1,0
67,190309,0,1,0
68,200228,0,1,1
69,200428,0,1,2
70,190305,0,1,0
71,190205,0,1,0
72,200320,1,1,1
73,190416,0,1,0
74,200214,0,1,1
75,190306,0,1,0
76,200508,0,1,2
77,200421,0,1,2
78,190210,0,1,0
79,200227,0,0,1
80,200217,0,1,1
81,190317,0,1,0
82,200512,0,1,2
83,200510,0,1,2
84,190213,0,1,0
85,190327,0,1,0
86,190204,0,1,0
87,200409,0,0,2
88,190415,0,1,0
89,200216,0,1,1
90,200319,1,0,1
91,200314,1,1,1
92,190216,0,1,0
93,200424,0,0,2
94,190227,0,0,0
95,200429,0,0,2
96,200325,1,0,1
97,190203,0,1,0
98,200415,0,1,2
99,200322,1,1,1
100,200413,0,1,2
101,190313,0,1,0
102,200420,0,1,2
103,200425,0,1,2
104,190402,0,1,0
105,200423,0,0,2
106,200530,0,1,2
107,200327,1,0,1
108,200331,1,1,1
109,190329,0,1,0
110,200307,1,1,1
111,200520,0,0,2
112,190414,0,1,0
113,190311,0,1,0
114,190508,0,1,0
115,190430,0,1,0
116,190521,0,1,0
117,200309,1,1,1
118,200504,0,1,2
119,200310,1,1,1
120,190420,0,1,0
121,190320,0,0,0
122,200427,0,1,2
123,190531,0,0,0
124,200318,1,0,1
125,190403,0,0,0
126,190425,0,0,0
127,190330,0,1,0
128,190517,0,0,0
129,200521,0,1,2
130,190326,0,1,0
131,200303,1,1,1
132,200219,0,0,1
133,200209,0,0,1
134,190207,0,1,0
135,190427,0,1,0
136,190510,0,1,0
137,200226,0,0,1
138,190324,0,1,0
139,200523,0,1,2
140,190503,0,1,0
141,190323,0,1,0
142,200403,0,0,2
143,200205,0,0,1
