,DATE,PN,CN,COVID
143,200309,1,1,1
144,190306,1,0,0
145,200208,0,1,1
146,200205,0,0,1
147,190519,0,1,0
148,200524,1,1,2
149,200314,1,1,1
150,200214,0,0,1
151,200325,1,0,1
152,200422,1,0,2
153,190325,1,1,0
154,200329,1,0,1
155,200221,0,1,1
156,190313,1,0,0
157,200407,1,0,2
158,190506,0,1,0
159,200319,1,0,1
160,200514,1,0,2
161,190328,1,1,0
162,200427,1,1,2
163,200215,0,1,1
164,190412,0,1,0
165,200504,1,1,2
166,200204,0,1,0
167,200423,1,1,2
168,200519,1,1,2
169,190311,1,1,0
170,200506,1,1,2
171,190411,0,0,0
172,190425,0,0,0
173,200213,0,1,1
174,190413,0,1,0
175,190302,1,1,0
176,190501,0,1,0
177,200209,0,1,1
178,200223,0,1,1
179,190512,0,0,0
180,200515,1,0,2
181,200307,1,1,1
182,190314,1,0,0
183,190522,0,1,0
184,190419,0,0,0
185,190523,0,0,0
186,190524,0,0,0
187,200527,1,0,2
188,200402,1,1,2
189,200306,1,0,1
190,200412,1,1,2
191,190228,0,0,0
192,190226,0,1,0
193,200414,1,0,2
194,190422,0,1,0
195,190315,1,0,0
196,190323,1,1,0
197,200304,1,0,1
198,190426,0,1,0
199,190208,0,1,0
200,190423,0,1,0
201,190513,0,1,0
202,200330,1,1,1
203,200518,1,1,2
204,200509,1,1,2
205,190421,0,1,0
206,200331,1,1,1
207,200510,1,1,2
208,190516,0,0,0
209,200415,1,1,2
210,190316,1,1,0
211,190427,0,1,0
212,190409,0,1,0
213,200410,1,0,2
214,190527,0,1,0
215,190529,0,1,0
216,200508,1,1,2
217,200326,1,0,1
218,190309,1,1,0
219,200406,1,1,2
220,190312,1,1,0
221,190508,0,1,0
222,190408,0,1,0
223,200302,1,1,1
224,200408,1,1,2
225,200315,1,1,1
226,200324,1,0,1
227,190406,0,1,0
228,200218,0,1,1
229,200511,1,1,2
230,200216,0,0,1
231,190526,0,1,0
232,190219,0,1,0
233,200416,1,1,2
234,190212,0,1,0
235,190402,0,1,0
236,190511,0,1,0
237,200328,1,1,1
238,190213,0,0,0
