,DATE,PN,CN,COVID
0,200513,1,1,2
1,190416,0,1,0
2,200321,1,1,1
3,190520,0,1,0
4,190317,1,0,0
5,190420,0,1,0
6,190504,0,1,0
7,190202,0,1,0
8,190211,0,1,0
9,190203,0,1,0
10,200425,1,1,2
11,200426,1,1,2
12,200224,0,1,1
13,200312,1,0,1
14,190414,0,1,0
15,190401,0,1,0
16,200318,1,0,1
17,200202,0,1,1
18,200404,1,1,2
19,200317,1,1,1
20,190320,1,0,0
21,190221,0,0,0
22,190206,0,1,0
23,190303,1,0,0
24,190331,1,1,0
25,190531,0,1,0
26,200207,0,0,1
27,190301,1,1,0
28,200327,1,0,1
29,200323,1,1,1
30,200521,1,0,2
31,190217,0,0,0
32,200201,0,1,0
33,200226,0,1,1
34,190503,0,1,0
35,190509,0,1,0
36,190214,0,1,0
37,200225,0,1,1
38,190308,1,0,0
39,200308,1,1,1
40,200528,1,0,2
41,190418,0,1,0
42,190528,0,0,0
43,190322,1,0,0
44,190324,1,1,0
45,190510,0,0,0
46,200409,1,1,2
47,190210,0,1,0
48,200503,1,0,2
49,190518,0,1,0
50,200411,1,1,2
51,200502,1,0,2
52,190224,0,0,0
53,200529,1,0,2
54,200516,1,1,2
55,200417,1,1,2
56,190517,0,0,0
57,190201,0,0,0
58,190204,0,1,0
59,190507,0,1,0
60,190227,0,0,0
61,190207,0,1,0
62,190514,0,1,0
63,190319,1,1,0
64,190209,0,1,0
65,200220,0,0,1
66,190218,0,1,0
67,190215,0,0,0
68,190502,0,1,0
69,200212,0,1,1
70,190429,0,1,0
71,190216,0,1,0
72,200301,1,1,1
73,200420,1,1,2
74,200320,1,1,1
75,190417,0,0,0
76,190515,0,1,0
77,200206,0,1,1
78,200526,1,1,2
79,200523,1,1,2
80,190310,1,0,0
81,200313,1,1,1
82,200418,1,1,2
83,200403,1,1,2
84,200413,1,1,2
85,200430,1,1,2
86,200419,1,0,2
87,200401,1,1,1
88,190430,0,1,0
89,190304,1,1,0
90,190225,0,1,0
91,190222,0,0,0
92,200305,1,0,1
93,200517,1,0,2
94,200211,0,1,1
95,200303,1,1,1
96,200512,1,1,2
97,200217,0,1,1
98,190424,0,0,0
99,190329,1,0,0
100,190415,0,1,0
101,190318,1,1,0
102,200311,1,0,1
103,190326,1,0,0
104,200210,0,1,1
105,190405,0,1,0
106,200203,0,1,1
107,190505,0,1,0
108,200228,0,1,1
109,200229,0,1,1
110,200405,1,1,2
111,200316,1,1,1
112,190525,0,1,0
113,190428,0,0,0
114,190330,1,1,0
115,200530,1,1,2
116,200310,1,1,1
117,190403,0,0,0
118,200429,1,1,2
119,190307,1,0,0
120,200522,1,0,2
121,200227,0,1,1
122,200322,1,1,1
123,200505,1,1,2
124,200525,1,1,2
125,200421,1,1,2
126,190404,0,1,0
127,200507,1,1,2
128,190321,1,1,0
129,200501,1,1,2
130,190530,0,1,0
131,190521,0,1,0
132,200222,0,1,1
133,190220,0,0,0
134,200219,0,0,1
135,190410,0,0,0
136,200428,1,1,2
137,190407,0,1,0
138,190223,0,1,0
139,200424,1,0,2
140,190327,1,1,0
141,200520,1,1,2
142,190305,1,0,0
