,DATE,PN,CN,COVID
144,190302,1,1,0
145,190402,1,1,0
146,200201,0,1,0
147,190518,0,1,0
148,190323,1,1,0
149,190215,1,0,0
150,200409,0,0,2
151,190417,1,1,0
152,200501,0,1,2
153,200526,0,1,2
154,190514,0,1,0
155,200317,0,1,1
156,190227,1,0,0
157,190308,1,0,0
158,190515,0,0,0
159,200516,0,1,2
160,200510,0,1,2
161,200205,0,1,1
162,200422,0,0,2
163,200207,0,0,1
164,200528,0,0,2
165,200504,0,1,2
166,200311,0,0,1
167,190508,0,1,0
168,190220,1,0,0
169,200407,0,1,2
170,190522,0,0,0
171,190427,1,1,0
172,190317,1,1,0
173,200505,0,1,2
174,200524,0,1,2
175,190415,1,1,0
176,200306,0,1,1
177,190312,1,1,0
178,200520,0,0,2
179,200320,0,0,1
180,190425,1,0,0
181,200511,0,1,2
182,190207,1,1,0
183,200208,0,1,1
184,200424,0,0,2
185,200322,0,1,1
186,190520,0,1,0
187,190409,1,1,0
188,190430,1,1,0
189,200314,0,1,1
190,200417,0,1,2
191,190504,0,1,0
192,190525,0,1,0
193,190329,1,1,0
194,190407,1,1,0
195,200509,0,1,2
196,200428,0,1,2
197,200209,0,1,1
198,200427,0,1,2
199,190422,1,1,0
200,200213,0,0,1
201,200502,0,1,2
202,190502,0,1,0
203,200425,0,1,2
204,190524,0,1,0
205,200420,0,1,2
206,200309,0,1,1
207,200513,0,1,2
208,200319,0,0,1
209,200219,0,0,1
210,200206,0,0,1
211,190411,1,0,0
212,190201,1,0,0
213,190429,1,1,0
214,190531,0,1,0
215,200304,0,0,1
216,190314,1,0,0
217,200305,0,0,1
218,190423,1,1,0
219,190224,1,1,0
220,190507,0,1,0
221,200216,0,1,1
222,200403,0,1,2
223,200413,0,1,2
224,190401,1,1,0
225,200426,0,1,2
226,200530,0,1,2
227,200522,0,0,2
228,190214,1,1,0
229,190307,1,1,0
230,190421,1,1,0
231,200402,0,0,2
232,190523,0,0,0
233,200324,0,1,1
234,190208,1,1,0
235,200312,0,0,1
236,200412,0,1,2
237,200521,0,1,2
238,190325,1,1,0
239,190510,0,1,0
