,name,train_acc,train_F1,test_acc,test_F1
0,off_acco,0.5614849187935035,0.6844741235392321,0.5373913043478261,0.6666666666666666
1,off_cul,0.5672853828306265,0.5850945494994438,0.49391304347826087,0.526829268292683
2,off_food,0.5533642691415314,0.6788990825688074,0.5495652173913044,0.6750313676286073
3,off_lei,0.5707656612529002,0.7267355982274741,0.5269565217391304,0.6902050113895217
4,off_medi,0.5707656612529002,0.7267355982274741,0.5269565217391304,0.6902050113895217
5,off_sani,0.5638051044083526,0.6171079429735234,0.5147826086956522,0.5740458015267175
6,on_acco,0.5649651972157773,0.7040252565114443,0.52,0.6722090261282659
7,on_cul,0.5580046403712297,0.6992896606156275,0.5304347826086957,0.6793349168646081
8,on_food,0.5522041763341067,0.6316793893129771,0.52,0.6068376068376068
9,on_lei,0.5580046403712297,0.6595174262734583,0.5269565217391304,0.6392572944297082
10,on_sani,0.5661252900232019,0.722962962962963,0.5339130434782609,0.6961451247165533
