name,train,test
off_acc,457.2686179433779,690.7173747721265
off_cul,753.2705507817126,2021.650406725884
off_food,44572.067258406096,56365.851728395704
off_lei,4117.392792638532,7566.783592369486
off_medi,27634.386528685412,33022.068875288416
off_sani,2193.7084613671395,3090.492807912373
on_acc,1726.7729526479134,2379.415887958862
on_cul,2487.3247564210415,5154.8495495605475
on_food,13549.072277434743,14323.504601945837
on_lei,523.0064982924298,804.1652780907378
on_sani,11343.062466588883,11302.305805548176
