,DATE,COVID
0,20200202,2
1,20200203,15
2,20200204,0
3,20200205,18
4,20200206,23
5,20200207,24
6,20200208,24
7,20200209,27
8,20200210,27
9,20200211,28
10,20200212,28
11,20200213,28
12,20200214,28
13,20200215,28
14,20200216,29
15,20200217,30
16,20200218,31
17,20200219,51
18,20200220,104
19,20200221,204
20,20200222,433
21,20200223,602
22,20200224,833
23,20200225,893
24,20200226,1261
25,20200227,1766
26,20200228,2337
27,20200301,3736
28,20200302,4212
29,20200303,4812
30,20200304,5328
31,20200305,5766
32,20200306,6284
33,20200307,6767
34,20200308,7134
35,20200309,7382
36,20200310,7513
37,20200311,7755
38,20200312,7869
39,20200313,7979
40,20200314,8086
41,20200315,8162
42,20200316,8236
43,20200317,8320
44,20200318,8413
45,20200319,8565
46,20200320,8652
47,20200321,8799
48,20200322,8897
49,20200323,8961
50,20200324,9037
51,20200325,9137
52,20200326,9241
53,20200327,9332
54,20200328,9478
55,20200329,9583
56,20200330,9661
57,20200331,9786
58,20200401,9887
59,20200402,9976
60,20200403,10062
61,20200404,10156
62,20200405,10237
63,20200406,10284
64,20200407,10331
65,20200408,10384
66,20200409,10423
67,20200410,10450
68,20200411,10480
69,20200412,10512
70,20200413,10537
71,20200414,10564
72,20200415,10591
73,20200416,10613
74,20200417,10635
75,20200418,10653
76,20200419,10661
77,20200420,10674
78,20200421,10683
79,20200422,10694
80,20200423,10702
81,20200424,10708
82,20200425,10718
83,20200426,10728
84,20200427,10738
85,20200428,10752
86,20200429,10761
87,20200430,10765
88,20200501,10774
89,20200502,10780
90,20200503,10793
91,20200504,10801
92,20200505,10804
93,20200506,10806
94,20200507,10810
95,20200508,10822
96,20200509,10840
97,20200510,10874
98,20200511,10909
99,20200512,10936
100,20200513,10962
101,20200514,10991
102,20200515,11018
103,20200516,11037
104,20200517,11050
105,20200518,11065
106,20200519,11078
107,20200520,11110
108,20200521,11122
109,20200522,11142
110,20200523,11165
111,20200524,11190
112,20200525,11206
113,20200526,11225
114,20200527,11265
115,20200528,11344
116,20200529,11402
117,20200530,11441
118,20200531,11468
