,DATE,PN,CN,COVID
144,20200510,0,0,2
145,20190228,0,0,0
146,20190420,0,1,0
147,20200425,0,1,2
148,20190407,0,1,0
149,20200212,0,1,1
150,20200205,0,0,1
151,20190416,0,0,0
152,20200210,0,1,1
153,20190413,0,1,0
154,20190427,0,1,0
155,20190208,0,1,0
156,20190223,0,1,0
157,20200213,0,1,1
158,20190401,0,1,0
159,20200226,0,0,1
160,20190220,0,1,0
161,20200219,0,0,1
162,20200506,0,1,2
163,20200303,1,1,1
164,20200513,0,1,2
165,20200417,0,1,2
166,20190509,0,0,0
167,20190513,0,1,0
168,20200405,0,1,2
169,20200331,1,0,1
170,20190524,0,1,0
171,20200522,0,1,2
172,20190331,0,1,0
173,20200520,0,0,2
174,20190308,0,1,0
175,20190205,0,1,0
176,20200304,1,0,1
177,20200323,1,1,1
178,20200306,1,1,1
179,20200422,0,0,2
180,20190426,0,0,0
181,20200302,1,1,1
182,20200420,0,1,2
183,20200312,1,0,1
184,20190418,0,1,0
185,20190517,0,1,0
186,20200208,0,1,1
187,20190504,0,1,0
188,20190325,0,1,0
189,20190305,0,0,0
190,20190303,0,1,0
191,20190214,0,1,0
192,20190529,0,0,0
193,20190219,0,1,0
194,20200218,0,0,1
195,20200215,0,0,1
196,20200214,0,1,1
197,20190425,0,0,0
198,20190531,0,1,0
199,20190512,0,1,0
200,20190519,0,1,0
201,20190310,0,1,0
202,20200206,0,0,1
203,20190320,0,1,0
204,20190317,0,1,0
205,20200216,0,1,1
206,20190318,0,1,0
207,20190402,0,0,0
208,20200228,0,1,1
209,20200401,0,0,1
210,20200324,1,0,1
211,20200530,0,1,2
212,20200307,1,1,1
213,20200222,0,0,1
214,20190222,0,1,0
215,20190406,0,1,0
216,20200403,0,0,2
217,20200320,1,1,1
218,20190522,0,0,0
219,20190211,0,1,0
220,20190429,0,1,0
221,20200326,1,0,1
222,20190202,0,1,0
223,20200211,0,0,1
224,20200419,0,1,2
225,20190323,0,1,0
226,20190224,0,1,0
227,20190213,0,1,0
228,20200220,0,0,1
229,20200426,0,1,2
230,20200528,0,0,2
231,20200225,0,1,1
232,20200516,0,1,2
233,20190315,0,0,0
234,20190523,0,0,0
235,20190215,0,0,0
236,20200227,0,1,1
237,20190209,0,1,0
238,20200519,0,0,2
239,20190501,0,0,0
