,DATE,PN,CN,COVID
0,20190526,0,1,0
1,20190417,0,0,0
2,20200315,1,1,1
3,20200314,1,1,1
4,20190322,0,1,0
5,20190506,0,1,0
6,20190511,0,1,0
7,20200517,0,0,2
8,20200524,0,0,2
9,20190330,0,1,0
10,20190309,0,1,0
11,20190415,0,1,0
12,20190306,0,1,0
13,20190515,0,0,0
14,20200209,0,0,1
15,20200424,0,1,2
16,20200518,0,1,2
17,20200521,0,1,2
18,20200526,0,0,2
19,20200418,0,1,2
20,20200313,1,1,1
21,20190408,0,1,0
22,20200507,0,0,2
23,20200207,0,1,1
24,20190329,0,1,0
25,20190521,0,0,0
26,20190312,0,0,0
27,20200317,1,0,1
28,20190423,0,0,0
29,20190201,0,0,0
30,20200412,0,1,2
31,20200430,0,1,2
32,20190414,0,1,0
33,20190404,0,0,0
34,20190409,0,0,0
35,20190225,0,1,0
36,20190316,0,1,0
37,20200201,0,0,0
38,20190327,0,0,0
39,20190525,0,1,0
40,20200203,0,1,1
41,20190528,0,0,0
42,20190203,0,0,0
43,20200414,0,1,2
44,20190419,0,0,0
45,20190226,0,0,0
46,20190207,0,1,0
47,20200330,1,1,1
48,20200329,1,1,1
49,20190321,0,0,0
50,20200429,0,1,2
51,20190507,0,1,0
52,20200328,1,1,1
53,20200508,0,1,2
54,20190530,0,0,0
55,20200325,1,0,1
56,20190421,0,1,0
57,20200504,0,1,2
58,20190311,0,1,0
59,20190428,0,1,0
60,20200410,0,0,2
61,20200503,0,0,2
62,20200531,0,0,2
63,20200423,0,0,2
64,20190302,0,0,0
65,20190430,0,1,0
66,20200525,0,1,2
67,20190307,0,0,0
68,20200505,0,0,2
69,20190502,0,1,0
70,20200514,0,1,2
71,20200316,1,1,1
72,20200512,0,1,2
73,20190520,0,1,0
74,20200502,0,0,2
75,20190217,0,1,0
76,20200319,1,0,1
77,20190510,0,1,0
78,20190410,0,0,0
79,20200415,0,0,2
80,20190313,0,0,0
81,20200309,1,1,1
82,20200404,0,1,2
83,20200511,0,1,2
84,20200411,0,1,2
85,20200318,1,0,1
86,20200413,0,1,2
87,20200428,0,1,2
88,20190319,0,0,0
89,20200407,0,0,2
90,20200509,0,1,2
91,20190324,0,1,0
92,20200402,0,0,1
93,20190424,0,0,0
94,20200322,1,0,1
95,20200217,0,1,1
96,20190518,0,1,0
97,20190301,0,1,0
98,20200321,1,1,1
99,20200305,1,0,1
100,20190516,0,0,0
101,20200310,1,0,1
102,20190204,0,1,0
103,20190508,0,1,0
104,20200308,1,1,1
105,20190411,0,0,0
106,20200311,1,1,1
107,20190505,0,0,0
108,20200301,1,0,1
109,20190227,0,0,0
110,20200421,0,1,2
111,20190405,0,0,0
112,20190328,0,0,0
113,20200223,0,1,1
114,20200221,0,0,1
115,20200202,0,1,1
116,20190422,0,1,0
117,20200409,0,0,2
118,20190326,0,0,0
119,20200501,0,0,2
120,20200416,0,1,2
121,20190527,0,1,0
122,20200408,0,0,2
123,20190314,0,1,0
124,20200523,0,1,2
125,20190216,0,1,0
126,20190412,0,1,0
127,20190218,0,1,0
128,20190503,0,1,0
129,20190403,0,0,0
130,20200529,0,1,2
131,20190206,0,1,0
132,20200527,0,0,2
133,20200224,0,1,1
134,20190221,0,0,0
135,20200515,0,0,2
136,20190212,0,0,0
137,20190210,0,0,0
138,20200427,0,1,2
139,20200327,1,1,1
140,20200204,0,0,0
141,20190304,0,1,0
142,20190514,0,0,0
143,20200406,0,1,2
