DATE,PN,CN
20190201,-0.12988168852669849,4450
20190202,-0.1298816885266988,5343
20190203,-0.1298816885266986,5191
20190204,-0.1298816885266985,4511
20190205,-0.1298816885266982,3559
20190206,-0.12988168852669818,4185
20190207,-0.12988168852669835,3335
20190208,-0.12988168852669826,3835
20190209,-0.12988168852669854,5025
20190210,-0.12988168852669846,4714
20190211,-0.12988168852669824,3460
20190212,-0.12988168852669837,3235
20190213,-0.12988168852669832,3868
20190214,-0.1298816885266986,4478
20190215,-0.12988168852669865,4519
20190216,-0.12988168852669885,6335
20190217,-0.12988168852669885,5443
20190218,-0.1298816885266984,3867
20190219,-0.12988168852669835,3371
20190220,-0.12988168852669846,3849
20190221,-0.12988168852669846,3833
20190222,-0.12988168852669854,4262
20190223,-0.12988168852669899,6690
20190224,-0.12988168852669885,5661
20190225,-0.1298816885266983,3907
20190226,-0.12988168852669837,3793
20190227,-0.12988168852669854,4030
20190228,-0.12988168852669865,4338
20190301,-0.24523608173642766,6521
20190302,-0.24523608173642805,6447
20190303,-0.2452360817364284,4895
20190304,-0.24523608173642902,3150
20190305,-0.24523608173642902,3033
20190306,-0.24523608173642905,3373
20190307,-0.24523608173642902,3163
20190308,-0.24523608173642897,3786
20190309,-0.2452360817364282,5395
20190310,-0.2452360817364287,4826
20190311,-0.24523608173642905,3304
20190312,-0.24523608173642902,3280
20190313,-0.24523608173642902,3497
20190314,-0.24523608173642888,3945
20190315,-0.24523608173642872,4009
20190316,-0.24523608173642775,6280
20190317,-0.24523608173642847,5161
20190318,-0.24523608173642902,3383
20190319,-0.24523608173642905,3273
20190320,-0.24523608173642902,3774
20190321,-0.2452360817364289,3572
20190322,-0.2452360817364286,4086
20190323,-0.2452360817364278,6178
20190324,-0.24523608173642852,4994
20190325,-0.24523608173642902,3274
20190326,-0.24523608173642905,3295
20190327,-0.24523608173642905,3549
20190328,-0.24523608173642905,3804
20190329,-0.2452360817364288,4258
20190330,-0.2452360817364276,6184
20190331,-0.24523608173642852,4943
20190401,-0.5726537959916255,3203
20190402,-0.5726537959916245,3296
20190403,-0.5726537959916242,3608
20190404,-0.5726537959916246,3646
20190405,-0.5726537959916242,3838
20190406,-0.5726537959916225,5917
20190407,-0.5726537959916236,4959
20190408,-0.572653795991626,3233
20190409,-0.5726537959916248,3398
20190410,-0.5726537959916247,3474
20190411,-0.5726537959916248,3677
20190412,-0.572653795991623,4497
20190413,-0.5726537959916224,5831
20190414,-0.5726537959916236,4695
20190415,-0.5726537959916252,3341
20190416,-0.5726537959916252,3661
20190417,-0.5726537959916246,3456
20190418,-0.572653795991625,3847
20190419,-0.5726537959916246,4170
20190420,-0.5726537959916227,6517
20190421,-0.5726537959916234,5098
20190422,-0.5726537959916256,3486
20190423,-0.572653795991625,3560
20190424,-0.5726537959916242,3715
20190425,-0.5726537959916245,4058
20190426,-0.5726537959916236,4355
20190427,-0.5726537959916225,6104
20190428,-0.5726537959916237,5241
20190429,-0.5726537959916254,3387
20190430,-0.5726537959916247,3894
20190501,-0.5188040807843208,3887
20190502,-0.5188040807843208,3249
20190503,-0.5188040807843208,3880
20190504,-0.5188040807843208,5712
20190505,-0.5188040807843208,5680
20190506,-0.5188040807843208,4341
20190507,-0.5188040807843208,3419
20190508,-0.5188040807843208,3903
20190509,-0.5188040807843208,3578
20190510,-0.5188040807843208,3976
20190511,-0.5188040807843208,5969
20190512,-0.5188040807843208,5054
20190513,-0.5188040807843208,3222
