,Unnamed: 0,DATE,PN,CN,COVID
144,72,20190414,1,1,0
145,73,20190415,1,1,0
146,200,20200422,0,0,2
147,144,20200225,0,0,1
148,102,20190514,0,0,0
149,186,20200408,0,0,2
150,52,20190325,1,0,0
151,178,20200331,0,0,1
152,22,20190223,1,0,0
153,113,20190525,0,0,0
154,107,20190519,0,1,0
155,103,20190515,0,0,0
156,57,20190330,1,0,0
157,29,20190302,1,0,0
158,42,20190315,1,0,0
159,160,20200313,0,0,1
160,0,20190201,1,0,0
161,30,20190303,1,1,0
162,17,20190218,1,0,0
163,80,20190422,1,0,0
164,130,20200211,0,0,1
165,87,20190429,1,0,0
166,239,20200531,0,1,2
167,126,20200207,0,1,1
168,122,20200203,0,1,1
169,121,20200202,0,1,1
170,115,20190527,0,0,0
171,180,20200402,0,0,1
172,46,20190319,1,0,0
173,203,20200425,0,0,2
174,220,20200512,0,0,2
175,153,20200306,0,0,1
176,54,20190327,1,0,0
177,159,20200312,0,0,1
178,206,20200428,0,0,2
179,64,20190406,1,0,0
180,47,20190320,1,0,0
181,131,20200212,0,0,1
182,175,20200328,0,0,1
183,236,20200528,0,0,2
184,118,20190530,0,0,0
185,152,20200305,0,0,1
186,147,20200228,0,0,1
187,95,20190507,0,0,0
188,49,20190322,1,0,0
189,15,20190216,1,0,0
190,74,20190416,1,0,0
191,192,20200414,0,1,2
192,86,20190428,1,1,0
193,50,20190323,1,0,0
194,231,20200523,0,0,2
195,40,20190313,1,0,0
196,209,20200501,0,0,2
197,129,20200210,0,1,1
198,88,20190430,1,1,0
199,226,20200518,0,0,2
200,79,20190421,1,1,0
201,98,20190510,0,0,0
202,82,20190424,1,0,0
203,105,20190517,0,0,0
204,166,20200319,0,0,1
205,133,20200214,0,0,1
206,158,20200311,0,1,1
207,66,20190408,1,0,0
208,75,20190417,1,0,0
209,45,20190318,1,0,0
210,8,20190209,1,0,0
211,109,20190521,0,0,0
212,55,20190328,1,0,0
213,215,20200507,0,0,2
214,114,20190526,0,1,0
215,39,20190312,1,0,0
216,23,20190224,1,1,0
217,143,20200224,0,1,1
218,13,20190214,1,0,0
219,77,20190419,1,0,0
220,224,20200516,0,0,2
221,154,20200307,0,1,1
222,188,20200410,0,0,2
223,104,20190516,0,0,0
224,155,20200308,0,1,1
225,210,20200502,0,0,2
226,162,20200315,0,1,1
227,197,20200419,0,1,2
228,25,20190226,1,0,0
229,6,20190207,1,1,0
230,199,20200421,0,0,2
231,204,20200426,0,1,2
232,235,20200527,0,0,2
233,134,20200215,0,0,1
234,148,20200301,0,1,1
235,21,20190222,1,0,0
236,83,20190425,1,0,0
237,193,20200415,0,0,2
238,127,20200208,0,0,1
239,60,20190402,1,0,0
