,DATE,PN,CN,COVID
144,20190205,1,1,0
145,20190414,1,1,0
146,20190215,1,0,0
147,20190306,0,0,0
148,20200428,0,0,2
149,20190420,1,1,0
150,20190213,1,0,0
151,20200203,0,1,1
152,20190311,0,1,0
153,20200421,0,1,2
154,20200506,0,1,2
155,20200415,0,1,2
156,20200228,0,0,1
157,20200527,0,0,2
158,20200422,0,0,2
159,20200211,0,1,1
160,20190531,1,0,0
161,20200221,0,0,1
162,20190411,1,0,0
163,20200508,0,0,2
164,20200406,0,1,2
165,20200325,0,0,1
166,20190324,0,1,0
167,20190418,1,0,0
168,20200320,0,1,1
169,20200430,0,1,2
170,20200518,0,1,2
171,20190225,1,1,0
172,20200408,0,0,2
173,20200207,0,1,1
174,20190224,1,1,0
175,20200216,0,1,1
176,20190505,1,1,0
177,20200403,0,0,2
178,20190329,0,0,0
179,20190503,1,0,0
180,20200311,0,0,1
181,20200523,0,1,2
182,20200513,0,0,2
183,20190517,1,0,0
184,20190310,0,1,0
185,20190403,1,0,0
186,20190417,1,0,0
187,20200409,0,0,2
188,20200519,0,0,2
189,20190509,1,0,0
190,20190302,0,1,0
191,20200312,0,0,1
192,20190201,1,0,0
193,20190214,1,0,0
194,20190202,1,1,0
195,20200219,0,0,1
196,20190312,0,1,0
197,20200529,0,0,2
198,20200323,0,1,1
199,20190328,0,0,0
200,20200517,0,1,2
201,20200501,0,1,2
202,20190206,1,1,0
203,20200509,0,1,2
204,20190307,0,0,0
205,20200511,0,1,2
206,20190220,1,0,0
207,20190304,0,1,0
208,20200305,0,0,1
209,20200321,0,1,1
210,20190322,0,1,0
211,20200427,0,1,2
212,20190429,1,1,0
213,20200209,0,1,1
214,20200302,0,1,1
215,20190519,1,1,0
216,20190527,1,1,0
217,20190510,1,0,0
218,20190524,1,0,0
219,20190507,1,1,0
220,20190326,0,1,0
221,20190222,1,0,0
222,20200410,0,1,2
223,20190308,0,1,0
224,20200201,0,1,0
225,20190216,1,1,0
226,20200313,0,0,1
227,20200405,0,1,2
228,20200524,0,1,2
229,20200326,0,0,1
230,20190317,0,1,0
231,20190227,1,0,0
232,20190529,1,0,0
233,20190301,0,1,0
234,20190330,0,1,0
235,20200514,0,0,2
236,20190410,1,0,0
237,20200528,0,0,2
238,20200504,0,1,2
239,20200429,0,0,2
