,DATE,PN,CN,COVID
0,20190316,0,1,0
1,20200223,0,1,1
2,20200504,0,1,2
3,20200410,0,0,2
4,20190423,0,1,0
5,20200417,0,0,2
6,20200403,0,0,2
7,20200411,0,1,2
8,20200508,0,0,2
9,20200501,0,1,2
10,20190506,1,1,0
11,20190207,1,1,0
12,20190215,1,0,0
13,20200205,0,0,1
14,20200521,0,0,2
15,20190208,1,0,0
16,20200524,0,1,2
17,20190512,1,1,0
18,20200326,0,0,1
19,20190406,0,1,0
20,20190323,0,1,0
21,20200509,0,0,2
22,20200201,0,0,0
23,20200531,0,1,2
24,20200327,0,1,1
25,20190225,1,1,0
26,20200430,0,1,2
27,20200204,0,0,0
28,20190310,0,1,0
29,20190514,1,0,0
30,20190328,0,0,0
31,20190306,0,0,0
32,20200208,0,1,1
33,20190318,0,1,0
34,20190228,1,1,0
35,20190419,0,1,0
36,20200527,0,0,2
37,20190303,0,1,0
38,20200511,0,1,2
39,20190201,1,0,0
40,20200519,0,1,2
41,20190212,1,0,0
42,20190214,1,0,0
43,20190509,1,0,0
44,20200325,0,1,1
45,20190320,0,0,0
46,20200517,0,1,2
47,20190226,1,0,0
48,20200526,0,0,2
49,20200305,0,1,1
50,20190315,0,0,0
51,20190202,1,1,0
52,20200330,0,0,1
53,20200520,0,1,2
54,20200211,0,0,1
55,20200309,0,0,1
56,20190330,0,1,0
57,20200316,0,0,1
58,20190505,1,1,0
59,20190518,1,1,0
60,20200314,0,1,1
61,20200315,0,1,1
62,20200412,0,1,2
63,20190209,1,1,0
64,20200423,0,0,2
65,20190211,1,1,0
66,20200218,0,0,1
67,20200219,0,0,1
68,20190321,0,1,0
69,20200331,0,0,1
70,20190420,0,1,0
71,20200319,0,1,1
72,20190410,0,1,0
73,20190530,1,0,0
74,20190210,1,1,0
75,20190222,1,0,0
76,20200213,0,1,1
77,20190524,1,1,0
78,20190421,0,1,0
79,20190422,0,1,0
80,20200227,0,0,1
81,20190511,1,1,0
82,20190526,1,1,0
83,20190427,0,1,0
84,20200418,0,1,2
85,20200505,0,1,2
86,20190507,1,1,0
87,20200215,0,1,1
88,20200323,0,0,1
89,20190416,0,0,0
90,20190204,1,1,0
91,20190331,0,1,0
92,20190503,1,1,0
93,20200307,0,1,1
94,20200528,0,0,2
95,20200302,0,1,1
96,20200513,0,1,2
97,20190319,0,0,0
98,20200329,0,1,1
99,20200409,0,0,2
100,20200216,0,1,1
101,20190224,1,1,0
102,20200217,0,1,1
103,20200206,0,0,1
104,20200416,0,1,2
105,20200214,0,1,1
106,20200425,0,1,2
107,20190218,1,1,0
108,20190312,0,0,0
109,20200224,0,1,1
110,20190528,1,0,0
111,20200202,0,1,1
112,20190217,1,1,0
113,20200514,0,0,2
114,20200424,0,1,2
115,20200420,0,0,2
116,20200207,0,1,1
117,20190313,0,0,0
118,20190411,0,1,0
119,20200405,0,1,2
120,20200428,0,0,2
121,20190311,0,1,0
122,20200402,0,0,1
123,20200321,0,1,1
124,20200530,0,1,2
125,20200427,0,0,2
126,20190513,1,1,0
127,20200529,0,0,2
128,20200507,0,0,2
129,20200518,0,1,2
130,20200429,0,0,2
131,20190327,0,0,0
132,20200404,0,1,2
133,20190403,0,0,0
134,20190309,0,1,0
135,20200212,0,0,1
136,20190424,0,1,0
137,20190502,1,1,0
138,20190206,1,1,0
139,20190412,0,1,0
140,20200512,0,0,2
141,20190322,0,1,0
142,20190402,0,0,0
143,20190314,0,0,0
