DATE,PN,CN,COVID
190201,-0.12988168852669865,262,0
190202,-0.12988168852669849,17,0
190203,-0.12988168852669849,15,0
190204,-0.12988168852669849,9,0
190205,-0.1298816885266985,3,0
190206,-0.1298816885266986,893,0
190207,-0.1298816885266986,6001,0
190208,-0.1298816885266986,3206,0
190209,-0.1298816885266986,587,0
190210,-0.12988168852669865,136,0
190211,-0.1298816885266986,5080,0
190212,-0.1298816885266986,3398,0
190213,-0.1298816885266986,3046,0
190214,-0.1298816885266986,2619,0
190215,-0.1298816885266986,2535,0
190216,-0.12988168852669865,405,0
190217,-0.12988168852669862,175,0
190218,-0.1298816885266986,4686,0
190219,-0.1298816885266986,3009,0
190220,-0.1298816885266986,3025,0
190221,-0.1298816885266986,2625,0
190222,-0.1298816885266986,2575,0
190223,-0.12988168852669862,471,0
190224,-0.12988168852669865,163,0
190225,-0.1298816885266986,4762,0
190226,-0.1298816885266986,3171,0
190227,-0.1298816885266986,2985,0
190228,-0.1298816885266986,2641,0
190301,-0.2452360817364284,67,0
190302,-0.2452360817364281,543,0
190303,-0.2452360817364281,210,0
190304,-0.2452360817364281,6156,0
190305,-0.2452360817364281,3717,0
190306,-0.2452360817364281,3231,0
190307,-0.2452360817364281,3054,0
190308,-0.2452360817364281,2847,0
190309,-0.2452360817364281,323,0
190310,-0.24523608173642816,176,0
190311,-0.2452360817364281,4950,0
190312,-0.2452360817364281,3385,0
190313,-0.2452360817364281,3044,0
190314,-0.2452360817364281,2715,0
190315,-0.2452360817364281,2567,0
190316,-0.2452360817364281,301,0
190317,-0.24523608173642816,185,0
190318,-0.2452360817364281,4724,0
190319,-0.2452360817364281,3180,0
190320,-0.2452360817364281,2869,0
190321,-0.2452360817364281,2746,0
190322,-0.2452360817364281,2615,0
190323,-0.2452360817364281,274,0
190324,-0.2452360817364283,104,0
190325,-0.2452360817364281,4904,0
190326,-0.2452360817364281,3378,0
190327,-0.2452360817364281,2890,0
190328,-0.2452360817364281,2749,0
190329,-0.2452360817364281,2398,0
190330,-0.2452360817364281,443,0
190331,-0.24523608173642816,159,0
190401,-0.5726537959916249,4821,0
190402,-0.5726537959916249,3111,0
190403,-0.5726537959916249,3056,0
190404,-0.5726537959916249,2717,0
190405,-0.5726537959916249,2600,0
190406,-0.5726537959916248,349,0
190407,-0.5726537959916245,162,0
190408,-0.5726537959916249,4611,0
190409,-0.5726537959916249,3103,0
190410,-0.5726537959916249,2676,0
190411,-0.5726537959916249,2626,0
190412,-0.5726537959916249,2378,0
190413,-0.5726537959916247,230,0
190414,-0.5726537959916248,318,0
190415,-0.5726537959916249,4786,0
190416,-0.5726537959916249,2998,0
