DATE,PN,CN
190201,-0.12988168852669865,262
190202,-0.12988168852669849,17
190203,-0.12988168852669849,15
190204,-0.12988168852669849,9
190205,-0.1298816885266985,3
190206,-0.1298816885266986,893
190207,-0.1298816885266986,6001
190208,-0.1298816885266986,3206
190209,-0.1298816885266986,587
190210,-0.12988168852669865,136
190211,-0.1298816885266986,5080
190212,-0.1298816885266986,3398
190213,-0.1298816885266986,3046
190214,-0.1298816885266986,2619
190215,-0.1298816885266986,2535
190216,-0.12988168852669865,405
190217,-0.12988168852669862,175
190218,-0.1298816885266986,4686
190219,-0.1298816885266986,3009
190220,-0.1298816885266986,3025
190221,-0.1298816885266986,2625
190222,-0.1298816885266986,2575
190223,-0.12988168852669862,471
190224,-0.12988168852669865,163
190225,-0.1298816885266986,4762
190226,-0.1298816885266986,3171
190227,-0.1298816885266986,2985
190228,-0.1298816885266986,2641
190301,-0.2452360817364284,67
190302,-0.2452360817364281,543
190303,-0.2452360817364281,210
190304,-0.2452360817364281,6156
190305,-0.2452360817364281,3717
190306,-0.2452360817364281,3231
190307,-0.2452360817364281,3054
190308,-0.2452360817364281,2847
190309,-0.2452360817364281,323
190310,-0.24523608173642816,176
190311,-0.2452360817364281,4950
190312,-0.2452360817364281,3385
190313,-0.2452360817364281,3044
190314,-0.2452360817364281,2715
190315,-0.2452360817364281,2567
190316,-0.2452360817364281,301
190317,-0.24523608173642816,185
190318,-0.2452360817364281,4724
190319,-0.2452360817364281,3180
190320,-0.2452360817364281,2869
190321,-0.2452360817364281,2746
190322,-0.2452360817364281,2615
190323,-0.2452360817364281,274
190324,-0.2452360817364283,104
190325,-0.2452360817364281,4904
190326,-0.2452360817364281,3378
190327,-0.2452360817364281,2890
190328,-0.2452360817364281,2749
190329,-0.2452360817364281,2398
190330,-0.2452360817364281,443
190331,-0.24523608173642816,159
190401,-0.5726537959916249,4821
190402,-0.5726537959916249,3111
190403,-0.5726537959916249,3056
190404,-0.5726537959916249,2717
190405,-0.5726537959916249,2600
190406,-0.5726537959916248,349
190407,-0.5726537959916245,162
190408,-0.5726537959916249,4611
190409,-0.5726537959916249,3103
190410,-0.5726537959916249,2676
190411,-0.5726537959916249,2626
190412,-0.5726537959916249,2378
190413,-0.5726537959916247,230
190414,-0.5726537959916248,318
190415,-0.5726537959916249,4786
190416,-0.5726537959916249,2998
190417,-0.5726537959916249,2721
190418,-0.5726537959916249,2434
190419,-0.5726537959916249,2378
190420,-0.5726537959916247,232
190421,-0.5726537959916248,299
190422,-0.5726537959916249,4545
190423,-0.5726537959916249,2911
190424,-0.5726537959916249,2683
190425,-0.5726537959916249,2458
190426,-0.5726537959916249,2389
190427,-0.5726537959916247,282
190428,-0.5726537959916246,258
190429,-0.5726537959916249,4279
190430,-0.5726537959916249,2695
190501,-0.5188040807843208,955
190502,-0.5188040807843208,3764
190503,-0.5188040807843208,2707
190504,-0.5188040807843208,503
190505,-0.5188040807843208,33
190506,-0.5188040807843208,544
190507,-0.5188040807843208,5180
190508,-0.5188040807843208,3209
190509,-0.5188040807843208,2678
190510,-0.5188040807843208,2338
190511,-0.5188040807843208,220
190512,-0.5188040807843208,107
190513,-0.5188040807843208,4342
190514,-0.5188040807843208,3174
190515,-0.5188040807843208,2664
190516,-0.5188040807843208,2564
190517,-0.5188040807843208,2556
190518,-0.5188040807843208,355
190519,-0.5188040807843208,98
190520,-0.5188040807843208,4221
190521,-0.5188040807843208,2943
190522,-0.5188040807843208,2621
190523,-0.5188040807843208,2719
190524,-0.5188040807843208,2382
190525,-0.5188040807843208,403
190526,-0.5188040807843208,178
190527,-0.5188040807843208,4591
190528,-0.5188040807843208,2880
190529,-0.5188040807843208,2801
190530,-0.5188040807843208,2639
190531,-0.5188040807843208,2452
200201,-0.10184521675109874,276
200202,-0.10184521675109873,205
200203,-0.10184521675109874,5168
200204,-0.10184521675109874,3183
200205,-0.10184521675109874,2922
200206,-0.10184521675109874,2825
200207,-0.10184521675109874,2747
200208,-0.10184521675109874,225
200209,-0.10184521675109873,218
200210,-0.10184521675109874,4962
200211,-0.10184521675109874,3298
200212,-0.10184521675109874,3101
200213,-0.10184521675109874,2886
200214,-0.10184521675109874,2590
200215,-0.10184521675109874,235
200216,-0.1018452167510987,73
200217,-0.10184521675109874,4623
200218,-0.10184521675109874,3322
200219,-0.10184521675109874,3032
200220,-0.10184521675109874,2660
200221,-0.10184521675109874,2580
200222,-0.10184521675109874,308
200223,-0.10184521675109873,203
200224,-0.10184521675109874,5053
200225,-0.10184521675109874,3080
200226,-0.10184521675109874,3075
200227,-0.10184521675109874,3068
200228,-0.10184521675109874,2702
200229,-0.10184521675109874,290
200301,0.7370842893918356,162
200302,0.7370842893918361,5359
200303,0.7370842893918361,3749
200304,0.7370842893918361,3213
200305,0.7370842893918361,3114
200306,0.7370842893918361,3090
200307,0.7370842893918361,337
200308,0.7370842893918359,200
200309,0.7370842893918361,5587
200310,0.7370842893918361,3516
200311,0.7370842893918361,3244
200312,0.7370842893918361,3385
200313,0.7370842893918361,3315
200314,0.7370842893918361,635
200315,0.7370842893918356,147
200316,0.7370842893918361,5625
200317,0.7370842893918361,3871
200318,0.7370842893918361,3487
200319,0.7370842893918361,3429
200320,0.7370842893918361,3023
200321,0.7370842893918361,409
200322,0.7370842893918359,305
200323,0.7370842893918361,5409
200324,0.7370842893918361,3429
200325,0.7370842893918361,3286
200326,0.7370842893918361,3280
200327,0.7370842893918361,3219
200328,0.7370842893918361,346
200329,0.7370842893918357,141
200330,0.7370842893918361,5545
200331,0.7370842893918361,3373
200401,-0.5253404080867767,4197
200402,-0.5253404080867767,4032
200403,-0.5253404080867767,3832
200404,-0.5253404080867767,508
200405,-0.5253404080867767,183
200406,-0.5253404080867767,6592
200407,-0.5253404080867767,4560
200408,-0.5253404080867767,4075
200409,-0.5253404080867767,3741
200410,-0.5253404080867767,3503
200411,-0.5253404080867767,454
200412,-0.5253404080867767,138
200413,-0.5253404080867767,6631
200414,-0.5253404080867767,4328
200415,-0.5253404080867767,59
200416,-0.5253404080867767,6044
200417,-0.5253404080867767,3751
200418,-0.5253404080867767,582
200419,-0.5253404080867767,147
200420,-0.5253404080867767,6705
200421,-0.5253404080867767,4219
200422,-0.5253404080867767,3921
200423,-0.5253404080867767,3647
200424,-0.5253404080867767,3508
200425,-0.5253404080867767,496
200426,-0.5253404080867767,321
200427,-0.5253404080867767,6889
200428,-0.5253404080867767,4271
200429,-0.5253404080867767,3901
200430,-0.5253404080867767,52
200501,-0.5076049500041538,3080
200502,-0.5076049500041538,704
200503,-0.507604950004154,365
200504,-0.5076049500041538,7975
200505,-0.5076049500041541,218
200506,-0.5076049500041538,7139
200507,-0.5076049500041538,4631
200508,-0.5076049500041538,4086
200509,-0.5076049500041538,949
200510,-0.5076049500041541,288
200511,-0.5076049500041538,6820
200512,-0.5076049500041538,4780
