,DATE,PN,CN,COVID
0,190310,1,1,0
1,200405,0,1,2
2,190428,1,1,0
3,200204,0,1,0
4,200518,0,1,2
5,190419,1,1,0
6,190327,1,1,0
7,190408,1,1,0
8,190416,1,1,0
9,190319,1,1,0
10,190528,0,1,0
11,190206,1,1,0
12,190426,1,1,0
13,190226,1,1,0
14,190516,0,0,0
15,200302,0,1,1
16,200211,0,1,1
17,190316,1,1,0
18,200328,0,1,1
19,200507,0,1,2
20,190322,1,1,0
21,200220,0,1,1
22,190424,1,0,0
23,200419,0,1,2
24,190503,0,1,0
25,200430,0,1,2
26,190521,0,1,0
27,190210,1,1,0
28,190301,1,1,0
29,200316,0,1,1
30,200223,0,1,1
31,190223,1,1,0
32,200310,0,1,1
33,200315,0,1,1
34,190414,1,1,0
35,190219,1,1,0
36,200303,0,1,1
37,190330,1,1,0
38,190305,1,1,0
39,200215,0,1,1
40,190217,1,1,0
41,190403,1,1,0
42,190203,1,1,0
43,200416,0,1,2
44,190222,1,0,0
45,190321,1,0,0
46,200329,0,1,1
47,190304,1,1,0
48,200330,0,1,1
49,200212,0,0,1
50,200308,0,1,1
51,200226,0,0,1
52,190320,1,1,0
53,200318,0,0,1
54,190527,0,1,0
55,200519,0,1,2
56,190313,1,1,0
57,190303,1,1,0
58,200525,0,1,2
59,190410,1,1,0
60,190501,0,1,0
61,190512,0,1,0
62,200210,0,1,1
63,190505,0,1,0
64,200508,0,1,2
65,190420,1,1,0
66,200404,0,1,2
67,200202,0,1,1
68,190509,0,1,0
69,190513,0,1,0
70,200222,0,1,1
71,200529,0,1,2
72,200429,0,1,2
73,200506,0,1,2
74,200321,0,1,1
75,200325,0,0,1
76,190306,1,1,0
77,190209,1,1,0
78,190506,0,1,0
79,190517,0,1,0
80,200410,0,1,2
81,200326,0,0,1
82,200221,0,1,1
83,190331,1,1,0
84,190225,1,1,0
85,200406,0,1,2
86,190228,1,1,0
87,200331,0,1,1
88,200327,0,1,1
89,200323,0,1,1
90,190405,1,1,0
91,190216,1,1,0
92,200203,0,1,1
93,190328,1,0,0
94,190205,1,1,0
95,190212,1,1,0
96,200415,0,1,2
97,190221,1,0,0
98,190412,1,0,0
99,190511,0,1,0
100,200227,0,0,1
101,200229,0,1,1
102,200408,0,0,2
103,200423,0,0,2
104,200514,0,0,2
105,200421,0,1,2
106,200418,0,1,2
107,190529,0,0,0
108,200313,0,1,1
109,200228,0,1,1
110,200217,0,1,1
111,190530,0,0,0
112,200401,0,0,1
113,190309,1,1,0
114,190204,1,1,0
115,190526,0,1,0
116,190418,1,0,0
117,190311,1,1,0
118,200224,0,1,1
119,190519,0,1,0
120,190218,1,1,0
121,190324,1,1,0
122,200512,0,1,2
123,190326,1,1,0
124,200517,0,1,2
125,200225,0,1,1
126,190315,1,0,0
127,200214,0,0,1
128,200301,0,1,1
129,190318,1,1,0
130,200503,0,1,2
131,200218,0,1,1
132,190211,1,1,0
133,200411,0,1,2
134,190406,1,1,0
135,190202,1,1,0
136,200414,0,1,2
137,200523,0,1,2
138,200307,0,1,1
139,200527,0,1,2
140,190413,1,1,0
141,190213,1,1,0
142,200515,0,1,2
143,190404,1,0,0
