,Unnamed: 0,DATE,PN,CN,COVID
144,49,20190322,1,1,0
145,225,20200517,1,0,2
146,97,20190509,0,1,0
147,124,20200205,0,1,1
148,42,20190315,1,1,0
149,221,20200513,1,0,2
150,172,20200325,1,0,1
151,8,20190209,0,1,0
152,35,20190308,1,1,0
153,65,20190407,0,1,0
154,2,20190203,0,1,0
155,150,20200303,1,0,1
156,177,20200330,1,1,1
157,5,20190206,0,1,0
158,55,20190328,1,1,0
159,173,20200326,1,1,1
160,15,20190216,0,1,0
161,117,20190529,0,1,0
162,123,20200204,0,0,0
163,82,20190424,0,1,0
164,190,20200412,1,1,2
165,58,20190331,1,1,0
166,192,20200414,1,1,2
167,194,20200416,1,0,2
168,189,20200411,1,0,2
169,209,20200501,1,1,2
170,181,20200403,1,0,2
171,14,20190215,0,1,0
172,218,20200510,1,1,2
173,1,20190202,0,1,0
174,68,20190410,0,1,0
175,37,20190310,1,1,0
176,100,20190512,0,1,0
177,214,20200506,1,1,2
178,120,20200201,0,1,0
179,210,20200502,1,0,2
180,72,20190414,0,1,0
181,158,20200311,1,1,1
182,159,20200312,1,1,1
183,108,20190520,0,1,0
184,206,20200428,1,1,2
185,142,20200223,0,1,1
186,212,20200504,1,1,2
187,39,20190312,1,1,0
188,57,20190330,1,1,0
189,109,20190521,0,1,0
190,23,20190224,0,1,0
191,0,20190201,0,0,0
192,196,20200418,1,0,2
193,203,20200425,1,1,2
194,239,20200531,1,1,2
195,162,20200315,1,1,1
196,216,20200508,1,1,2
197,28,20190301,1,1,0
198,13,20190214,0,1,0
199,22,20190223,0,1,0
200,75,20190417,0,0,0
201,102,20190514,0,1,0
202,204,20200426,1,0,2
203,69,20190411,0,0,0
204,95,20190507,0,0,0
205,29,20190302,1,1,0
206,115,20190527,0,1,0
207,26,20190227,0,1,0
208,24,20190225,0,1,0
209,129,20200210,0,1,1
210,165,20200318,1,0,1
211,146,20200227,0,0,1
212,232,20200524,1,1,2
213,213,20200505,1,1,2
214,64,20190406,0,1,0
215,219,20200511,1,1,2
216,176,20200329,1,1,1
217,85,20190427,0,1,0
218,114,20190526,0,1,0
219,233,20200525,1,1,2
220,81,20190423,0,0,0
221,160,20200313,1,1,1
222,180,20200402,1,0,1
223,47,20190320,1,1,0
224,62,20190404,0,0,0
225,67,20190409,0,1,0
226,78,20190420,0,1,0
227,16,20190217,0,0,0
228,186,20200408,1,0,2
229,154,20200307,1,1,1
230,74,20190416,0,1,0
231,38,20190311,1,1,0
232,71,20190413,0,1,0
233,25,20190226,0,0,0
234,199,20200421,1,1,2
235,61,20190403,0,1,0
236,50,20190323,1,1,0
237,197,20200419,1,1,2
238,122,20200203,0,1,1
239,126,20200207,0,0,1
