,DATE,PN,CN,COVID
144,20190501,1,1,0
145,20200426,0,1,2
146,20200311,0,1,1
147,20200313,0,1,1
148,20190426,0,1,0
149,20200422,0,0,2
150,20200209,0,1,1
151,20200503,0,1,2
152,20190417,0,0,0
153,20200221,0,0,1
154,20190429,0,1,0
155,20190305,0,0,0
156,20190405,0,0,0
157,20190301,0,1,0
158,20190516,1,0,0
159,20190428,0,1,0
160,20190430,0,1,0
161,20190527,1,1,0
162,20190415,0,1,0
163,20200516,0,1,2
164,20190529,1,0,0
165,20200301,0,0,1
166,20190213,1,1,0
167,20190216,1,1,0
168,20190404,0,0,0
169,20190508,1,0,0
170,20200525,0,0,2
171,20200421,0,0,2
172,20190326,0,0,0
173,20190521,1,0,0
174,20200225,0,1,1
175,20190221,1,0,0
176,20190203,1,1,0
177,20200406,0,0,2
178,20190220,1,1,0
179,20200408,0,0,2
180,20190223,1,1,0
181,20200322,0,1,1
182,20200515,0,0,2
183,20200522,0,0,2
184,20190302,0,0,0
185,20200414,0,0,2
186,20200304,0,0,1
187,20190418,0,0,0
188,20190307,0,0,0
189,20190325,0,1,0
190,20200203,0,1,1
191,20190317,0,1,0
192,20200306,0,1,1
193,20190408,0,1,0
194,20190515,1,1,0
195,20200413,0,0,2
196,20190525,1,1,0
197,20200407,0,0,2
198,20200320,0,1,1
199,20190520,1,1,0
200,20200502,0,0,2
201,20190519,1,1,0
202,20190219,1,1,0
203,20200506,0,0,2
204,20200317,0,0,1
205,20190531,1,1,0
206,20200220,0,0,1
207,20200415,0,1,2
208,20200523,0,1,2
209,20200318,0,1,1
210,20190304,0,1,0
211,20200328,0,1,1
212,20190510,1,1,0
213,20200510,0,1,2
214,20190205,1,1,0
215,20190407,0,1,0
216,20200210,0,0,1
217,20190425,0,1,0
218,20200303,0,0,1
219,20200226,0,1,1
220,20190522,1,0,0
221,20190409,0,1,0
222,20200324,0,0,1
223,20190401,0,1,0
224,20190414,0,1,0
225,20190523,1,0,0
226,20200419,0,1,2
227,20200222,0,0,1
228,20200312,0,0,1
229,20190227,1,0,0
230,20200308,0,1,1
231,20200228,0,0,1
232,20190504,1,1,0
233,20190517,1,1,0
234,20190413,0,1,0
235,20190308,0,1,0
236,20190329,0,1,0
237,20200310,0,1,1
238,20200401,0,0,1
239,20190324,0,1,0
