,DATE,PN,CN,COVID
144,190310,0,1,0
145,190507,0,1,0
146,200414,0,1,2
147,190222,0,0,0
148,190217,0,1,0
149,190524,0,1,0
150,200528,0,0,2
151,200507,0,1,2
152,200306,1,0,1
153,200516,0,1,2
154,200324,1,1,1
155,200207,0,0,1
156,200211,0,1,1
157,200315,1,1,1
158,200313,1,0,1
159,190211,0,1,0
160,200518,0,1,2
161,200506,0,1,2
162,190220,0,0,0
163,190328,0,0,0
164,190529,0,0,0
165,200316,1,1,1
166,200426,0,1,2
167,200522,0,0,2
168,190520,0,1,0
169,190423,0,1,0
170,190206,0,1,0
171,200515,0,0,2
172,190429,0,1,0
173,200526,0,1,2
174,200202,0,1,1
175,190516,0,0,0
176,190303,0,1,0
177,200509,0,1,2
178,200524,0,1,2
179,200301,1,1,1
180,190513,0,1,0
181,200511,0,1,2
182,200419,0,1,2
183,190225,0,1,0
184,190422,0,1,0
185,190209,0,1,0
186,200222,0,1,1
187,200210,0,1,1
188,190505,0,1,0
189,200404,0,1,2
190,190226,0,1,0
191,200529,0,1,2
192,190519,0,1,0
193,190418,0,1,0
194,190312,0,1,0
195,190208,0,1,0
196,200501,0,1,2
197,200215,0,1,1
198,190526,0,1,0
199,200527,0,0,2
200,190530,0,0,0
201,190219,0,1,0
202,190509,0,1,0
203,200513,0,1,2
204,190411,0,0,0
205,190407,0,1,0
206,190223,0,1,0
207,200201,0,1,0
208,200323,1,1,1
209,200328,1,1,1
210,190408,0,1,0
211,190302,0,1,0
212,190314,0,1,0
213,200330,1,1,1
214,190417,0,0,0
215,190506,0,1,0
216,190228,0,1,0
217,200206,0,0,1
218,190502,0,1,0
219,200416,0,1,2
220,200212,0,0,1
221,200411,0,1,2
222,200308,1,1,1
223,200422,0,0,2
224,190405,0,0,0
225,190426,0,0,0
226,190412,0,0,0
227,200517,0,1,2
228,190401,0,1,0
229,190406,0,1,0
230,190428,0,0,0
231,200221,0,0,1
232,200229,0,1,1
233,190512,0,1,0
234,190419,0,0,0
235,200401,0,1,1
236,200223,0,1,1
237,200312,1,0,1
238,200203,0,1,1
239,190404,0,1,0
