,DATE,PN,CN,COVID
142,200529,1,1,2
143,190422,1,1,0
144,190412,1,0,0
145,200416,1,1,2
146,190314,0,1,0
147,190322,0,1,0
148,190406,1,1,0
149,190313,0,0,0
150,200528,1,0,2
151,200217,1,1,1
152,200310,1,1,1
153,200503,1,1,2
154,200406,1,1,2
155,200223,1,1,1
156,190411,1,0,0
157,190321,0,0,0
158,190426,1,1,0
159,200216,1,1,1
160,190330,0,1,0
161,200226,1,1,1
162,190304,0,1,0
163,200509,1,1,2
164,200213,1,0,1
165,200426,1,1,2
166,200224,1,1,1
167,190201,1,0,0
168,200524,1,1,2
169,200325,1,0,1
170,200505,1,1,2
171,190228,1,1,0
172,190325,0,1,0
173,190219,1,1,0
174,200504,1,1,2
175,200526,1,1,2
176,200421,1,1,2
177,190506,1,1,0
178,200519,1,1,2
179,190405,1,1,0
180,200304,1,1,1
181,200527,1,0,2
182,190530,1,1,0
183,190207,1,1,0
184,200221,1,0,1
185,200429,1,1,2
186,200413,1,1,2
187,190306,0,1,0
188,190529,1,0,0
189,190427,1,1,0
190,200205,1,0,1
191,190524,1,1,0
192,190223,1,1,0
193,190315,0,0,0
194,190501,1,1,0
195,190331,0,1,0
196,200508,1,1,2
197,190401,1,1,0
198,190305,0,1,0
199,190527,1,1,0
200,190202,1,1,0
201,200212,1,1,1
202,200403,1,1,2
203,200428,1,1,2
204,190227,1,0,0
205,200518,1,1,2
206,190225,1,1,0
207,190403,1,0,0
208,200410,1,1,2
209,190226,1,1,0
210,200228,1,1,1
211,200425,1,1,2
212,190211,1,1,0
213,190310,0,1,0
214,190309,0,1,0
215,190328,0,0,0
216,190209,1,1,0
217,190303,0,1,0
218,200322,1,1,1
219,200208,1,1,1
220,190507,1,1,0
221,190423,1,1,0
222,190416,1,1,0
223,200303,1,1,1
224,200404,1,1,2
225,190409,1,1,0
226,200510,1,1,2
227,200219,1,1,1
228,200513,1,1,2
229,200418,1,1,2
230,200501,1,1,2
231,190308,0,0,0
232,200320,1,1,1
233,200329,1,1,1
234,190323,0,1,0
235,200525,1,1,2
236,190312,0,1,0
237,190520,1,1,0
