,DATE,PN,CN,COVID
0,200415,1,1,2
1,190318,0,1,0
2,190206,1,1,0
3,200203,1,1,1
4,190210,1,1,0
5,190311,0,1,0
6,200207,1,1,1
7,190526,1,1,0
8,200225,1,1,1
9,200327,1,1,1
10,190421,1,1,0
11,200229,1,1,1
12,190203,1,1,0
13,200422,1,1,2
14,200316,1,1,1
15,200215,1,1,1
16,200202,1,1,1
17,200311,1,1,1
18,200309,1,1,1
19,190212,1,1,0
20,200506,1,1,2
21,190324,0,1,0
22,190407,1,1,0
23,200517,1,1,2
24,200405,1,1,2
25,190430,1,1,0
26,200326,1,0,1
27,200516,1,1,2
28,200328,1,1,1
29,190213,1,0,0
30,190218,1,1,0
31,190327,0,1,0
32,200407,1,1,2
33,190222,1,1,0
34,190326,0,1,0
35,190514,1,1,0
36,200307,1,1,1
37,200511,1,1,2
38,190410,1,1,0
39,200323,1,1,1
40,190511,1,1,0
41,200330,1,1,1
42,190208,1,1,0
43,200512,1,1,2
44,190512,1,1,0
45,190418,1,0,0
46,200315,1,1,1
47,190517,1,0,0
48,190414,1,1,0
49,200430,1,1,2
50,190402,1,1,0
51,200522,1,1,2
52,200227,1,1,1
53,190510,1,1,0
54,190221,1,0,0
55,190319,0,1,0
56,190523,1,1,0
57,200308,1,1,1
58,200409,1,0,2
59,200420,1,1,2
60,190317,0,1,0
61,200417,1,1,2
62,200318,1,0,1
63,200321,1,1,1
64,200414,1,1,2
65,190329,0,0,0
66,200507,1,1,2
67,200209,1,1,1
68,190320,0,1,0
69,190413,1,1,0
70,200214,1,0,1
71,200402,1,0,2
72,190525,1,1,0
73,200201,1,1,0
74,190528,1,1,0
75,190307,0,1,0
76,190408,1,1,0
77,190502,1,1,0
78,200204,1,1,0
79,190509,1,0,0
80,190505,1,1,0
81,190519,1,1,0
82,200305,1,0,1
83,200314,1,1,1
84,190217,1,1,0
85,190521,1,1,0
86,190515,1,1,0
87,200319,1,0,1
88,200408,1,1,2
89,190214,1,1,0
90,190301,0,1,0
91,190316,0,1,0
92,200313,1,0,1
93,200301,1,1,1
94,190302,0,1,0
95,200424,1,1,2
96,190215,1,1,0
97,190518,1,1,0
98,190415,1,1,0
99,190428,1,1,0
100,190420,1,1,0
101,190404,1,1,0
102,200521,1,0,2
103,200306,1,0,1
104,190531,1,1,0
105,200218,1,1,1
106,190516,1,1,0
107,190419,1,0,0
108,200331,1,1,1
109,190425,1,0,0
110,190508,1,1,0
111,190522,1,0,0
112,200312,1,0,1
113,200302,1,1,1
114,200514,1,0,2
115,200502,1,1,2
116,190503,1,1,0
117,190429,1,1,0
118,200317,1,1,1
119,200427,1,1,2
120,200206,1,1,1
121,200324,1,1,1
122,190216,1,1,0
123,200222,1,1,1
124,200401,1,0,1
125,190224,1,1,0
126,200423,1,1,2
127,200515,1,0,2
128,200411,1,1,2
129,200530,1,1,2
130,200523,1,1,2
131,190513,1,1,0
132,190417,1,0,0
133,200419,1,1,2
134,200520,1,0,2
135,190504,1,1,0
136,190424,1,0,0
137,200412,1,1,2
138,200210,1,1,1
139,200211,1,1,1
140,200220,1,0,1
141,190220,1,1,0
