3.PN 변수까지 실행한 결과,,
off_acco 오프라인 숙박,,
,,
DATE,PN,CN
20190201,-0.129881689,4450
20190202,-0.129881689,5343
20190203,-0.129881689,5191
20190204,-0.129881689,4511
20190205,-0.129881689,3559
20190206,-0.129881689,4185
20190207,-0.129881689,3335
20190208,-0.129881689,3835
20190209,-0.129881689,5025
20190210,-0.129881689,4714
20190211,-0.129881689,3460
20190212,-0.129881689,3235
20190213,-0.129881689,3868
20190214,-0.129881689,4478
20190215,-0.129881689,4519
20190216,-0.129881689,6335
20190217,-0.129881689,5443
20190218,-0.129881689,3867
20190219,-0.129881689,3371
20190220,-0.129881689,3849
20190221,-0.129881689,3833
20190222,-0.129881689,4262
20190223,-0.129881689,6690
20190224,-0.129881689,5661
20190225,-0.129881689,3907
20190226,-0.129881689,3793
20190227,-0.129881689,4030
20190228,-0.129881689,4338
20190301,-0.245236082,6521
20190302,-0.245236082,6447
20190303,-0.245236082,4895
20190304,-0.245236082,3150
20190305,-0.245236082,3033
20190306,-0.245236082,3373
20190307,-0.245236082,3163
20190308,-0.245236082,3786
20190309,-0.245236082,5395
20190310,-0.245236082,4826
20190311,-0.245236082,3304
20190312,-0.245236082,3280
20190313,-0.245236082,3497
20190314,-0.245236082,3945
20190315,-0.245236082,4009
20190316,-0.245236082,6280
20190317,-0.245236082,5161
20190318,-0.245236082,3383
20190319,-0.245236082,3273
20190320,-0.245236082,3774
20190321,-0.245236082,3572
20190322,-0.245236082,4086
20190323,-0.245236082,6178
20190324,-0.245236082,4994
20190325,-0.245236082,3274
20190326,-0.245236082,3295
20190327,-0.245236082,3549
20190328,-0.245236082,3804
20190329,-0.245236082,4258
20190330,-0.245236082,6184
20190331,-0.245236082,4943
20190401,-0.572653796,3203
20190402,-0.572653796,3296
20190403,-0.572653796,3608
20190404,-0.572653796,3646
20190405,-0.572653796,3838
20190406,-0.572653796,5917
20190407,-0.572653796,4959
20190408,-0.572653796,3233
20190409,-0.572653796,3398
20190410,-0.572653796,3474
20190411,-0.572653796,3677
20190412,-0.572653796,4497
20190413,-0.572653796,5831
20190414,-0.572653796,4695
20190415,-0.572653796,3341
20190416,-0.572653796,3661
20190417,-0.572653796,3456
20190418,-0.572653796,3847
20190419,-0.572653796,4170
20190420,-0.572653796,6517
20190421,-0.572653796,5098
20190422,-0.572653796,3486
20190423,-0.572653796,3560
20190424,-0.572653796,3715
20190425,-0.572653796,4058
20190426,-0.572653796,4355
20190427,-0.572653796,6104
20190428,-0.572653796,5241
20190429,-0.572653796,3387
20190430,-0.572653796,3894
20190501,-0.518804081,3887
20190502,-0.518804081,3249
20190503,-0.518804081,3880
20190504,-0.518804081,5712
20190505,-0.518804081,5680
20190506,-0.518804081,4341
20190507,-0.518804081,3419
20190508,-0.518804081,3903
20190509,-0.518804081,3578
20190510,-0.518804081,3976
20190511,-0.518804081,5969
20190512,-0.518804081,5054
20190513,-0.518804081,3222
20190514,-0.518804081,3519
20190515,-0.518804081,3507
20190516,-0.518804081,3697
20190517,-0.518804081,4277
20190518,-0.518804081,6131
20190519,-0.518804081,4962
20190520,-0.518804081,3572
20190521,-0.518804081,3408
20190522,-0.518804081,3487
20190523,-0.518804081,3601
20190524,-0.518804081,4262
20190525,-0.518804081,6686
20190526,-0.518804081,4977
20190527,-0.518804081,3539
20190528,-0.518804081,3535
20190529,-0.518804081,3629
20190530,-0.518804081,3808
20190531,-0.518804081,4388
20200201,-0.101845217,4725
20200202,-0.101845217,3828
20200203,-0.101845217,3130
20200204,-0.101845217,3376
20200205,-0.101845217,3423
20200206,-0.101845217,3337
20200207,-0.101845217,3681
20200208,-0.101845217,4163
20200209,-0.101845217,3923
20200210,-0.101845217,3319
20200211,-0.101845217,3388
20200212,-0.101845217,3007
20200213,-0.101845217,3557
20200214,-0.101845217,4454
20200215,-0.101845217,4879
20200216,-0.101845217,4279
20200217,-0.101845217,3137
20200218,-0.101845217,3395
20200219,-0.101845217,3221
20200220,-0.101845217,3366
20200221,-0.101845217,3308
20200222,-0.101845217,3628
20200223,-0.101845217,3116
20200224,-0.101845217,2749
20200225,-0.101845217,2321
20200226,-0.101845217,2463
20200227,-0.101845217,2165
20200228,-0.101845217,2420
20200229,-0.101845217,2628
20200301,0.737084289,2281
20200302,0.737084289,2011
20200303,0.737084289,1794
20200304,0.737084289,1870
20200305,0.737084289,1994
20200306,0.737084289,2427
20200307,0.737084289,2830
20200308,0.737084289,2483
20200309,0.737084289,1941
20200310,0.737084289,1938
20200311,0.737084289,2200
20200312,0.737084289,2239
20200313,0.737084289,2592
20200314,0.737084289,3525
20200315,0.737084289,2855
20200316,0.737084289,1985
20200317,0.737084289,1895
20200318,0.737084289,1911
20200319,0.737084289,2023
20200320,0.737084289,2289
20200321,0.737084289,2911
20200322,0.737084289,2814
20200323,0.737084289,1719
20200324,0.737084289,1862
20200325,0.737084289,1849
20200326,0.737084289,1923
20200327,0.737084289,2224
20200328,0.737084289,3208
20200329,0.737084289,2540
20200330,0.737084289,1876
20200331,0.737084289,1917
20200401,-0.525340408,2021
20200402,-0.525340408,2092
20200403,-0.525340408,2289
20200404,-0.525340408,3132
20200405,-0.525340408,2486
20200406,-0.525340408,1838
20200407,-0.525340408,1759
20200408,-0.525340408,1786
20200409,-0.525340408,1909
20200410,-0.525340408,2081
20200411,-0.525340408,3498
20200412,-0.525340408,2798
20200413,-0.525340408,2010
20200414,-0.525340408,2273
20200415,-0.525340408,2392
20200416,-0.525340408,1989
20200417,-0.525340408,2366
20200418,-0.525340408,3385
20200419,-0.525340408,2971
20200420,-0.525340408,1897
20200421,-0.525340408,2251
20200422,-0.525340408,2107
20200423,-0.525340408,2225
20200424,-0.525340408,2688
20200425,-0.525340408,3940
20200426,-0.525340408,3469
20200427,-0.525340408,2097
20200428,-0.525340408,2326
20200429,-0.525340408,2706
20200430,-0.525340408,4216
20200501,-0.50760495,3883
20200502,-0.50760495,4162
20200503,-0.50760495,3941
20200504,-0.50760495,3379
20200505,-0.50760495,3672
20200506,-0.50760495,2323
20200507,-0.50760495,2549
20200508,-0.50760495,2921
20200509,-0.50760495,4008
20200510,-0.50760495,3636
20200511,-0.50760495,2424
