DATE,PN,CN,COVID
20190201,-0.12988168852669849,4450,0
20190202,-0.1298816885266988,5343,0
20190203,-0.1298816885266986,5191,0
20190204,-0.1298816885266985,4511,0
20190205,-0.1298816885266982,3559,0
20190206,-0.12988168852669818,4185,0
20190207,-0.12988168852669835,3335,0
20190208,-0.12988168852669826,3835,0
20190209,-0.12988168852669854,5025,0
20190210,-0.12988168852669846,4714,0
20190211,-0.12988168852669826,3460,0
20190212,-0.12988168852669835,3235,0
20190213,-0.12988168852669832,3868,0
20190214,-0.1298816885266986,4478,0
20190215,-0.12988168852669865,4519,0
20190216,-0.12988168852669885,6335,0
20190217,-0.12988168852669885,5443,0
20190218,-0.1298816885266984,3867,0
20190219,-0.12988168852669835,3371,0
20190220,-0.12988168852669846,3849,0
20190221,-0.12988168852669846,3833,0
20190222,-0.12988168852669854,4262,0
20190223,-0.129881688526699,6690,0
20190224,-0.12988168852669885,5661,0
20190225,-0.1298816885266983,3907,0
20190226,-0.12988168852669835,3793,0
20190227,-0.12988168852669854,4030,0
20190228,-0.12988168852669865,4338,0
20190301,-0.2452360817364277,6521,0
20190302,-0.24523608173642805,6447,0
20190303,-0.2452360817364284,4895,0
20190304,-0.24523608173642905,3150,0
20190305,-0.24523608173642905,3033,0
20190306,-0.24523608173642905,3373,0
20190307,-0.24523608173642905,3163,0
20190308,-0.24523608173642894,3786,0
20190309,-0.2452360817364282,5395,0
20190310,-0.2452360817364287,4826,0
20190311,-0.24523608173642905,3304,0
20190312,-0.24523608173642905,3280,0
20190313,-0.24523608173642905,3497,0
20190314,-0.2452360817364289,3945,0
20190315,-0.2452360817364287,4009,0
20190316,-0.2452360817364277,6280,0
20190317,-0.2452360817364285,5161,0
20190318,-0.24523608173642905,3383,0
20190319,-0.24523608173642905,3273,0
20190320,-0.24523608173642905,3774,0
20190321,-0.2452360817364289,3572,0
20190322,-0.2452360817364286,4086,0
20190323,-0.2452360817364278,6178,0
20190324,-0.2452360817364285,4994,0
20190325,-0.24523608173642905,3274,0
20190326,-0.24523608173642905,3295,0
20190327,-0.24523608173642905,3549,0
20190328,-0.24523608173642905,3804,0
20190329,-0.2452360817364288,4258,0
20190330,-0.2452360817364276,6184,0
20190331,-0.2452360817364285,4943,0
20190401,-0.5726537959916255,3203,0
20190402,-0.5726537959916245,3296,0
20190403,-0.5726537959916242,3608,0
20190404,-0.5726537959916246,3646,0
20190405,-0.5726537959916242,3838,0
20190406,-0.5726537959916225,5917,0
20190407,-0.5726537959916236,4959,0
20190408,-0.572653795991626,3233,0
20190409,-0.5726537959916248,3398,0
20190410,-0.5726537959916247,3474,0
20190411,-0.5726537959916248,3677,0
20190412,-0.5726537959916229,4497,0
20190413,-0.5726537959916224,5831,0
20190414,-0.5726537959916236,4695,0
20190415,-0.5726537959916252,3341,0
20190416,-0.5726537959916252,3661,0
20190417,-0.5726537959916246,3456,0
20190418,-0.5726537959916249,3847,0
20190419,-0.5726537959916246,4170,0
20190420,-0.5726537959916227,6517,0
20190421,-0.5726537959916234,5098,0
20190422,-0.5726537959916256,3486,0
20190423,-0.5726537959916249,3560,0
20190424,-0.5726537959916242,3715,0
20190425,-0.5726537959916245,4058,0
20190426,-0.5726537959916236,4355,0
20190427,-0.5726537959916225,6104,0
20190428,-0.5726537959916237,5241,0
20190429,-0.5726537959916254,3387,0
20190430,-0.5726537959916247,3894,0
20190501,-0.5188040807843208,3887,0
20190502,-0.5188040807843208,3249,0
20190503,-0.5188040807843208,3880,0
20190504,-0.5188040807843208,5712,0
20190505,-0.5188040807843208,5680,0
20190506,-0.5188040807843208,4341,0
20190507,-0.5188040807843208,3419,0
20190508,-0.5188040807843208,3903,0
20190509,-0.5188040807843208,3578,0
20190510,-0.5188040807843208,3976,0
20190511,-0.5188040807843208,5969,0
20190512,-0.5188040807843208,5054,0
20190513,-0.5188040807843208,3222,0
20190514,-0.5188040807843208,3519,0
20190515,-0.5188040807843208,3507,0
20190516,-0.5188040807843208,3697,0
20190517,-0.5188040807843208,4277,0
20190518,-0.5188040807843208,6131,0
20190519,-0.5188040807843208,4962,0
20190520,-0.5188040807843208,3572,0
20190521,-0.5188040807843208,3408,0
20190522,-0.5188040807843208,3487,0
20190523,-0.5188040807843208,3601,0
20190524,-0.5188040807843208,4262,0
20190525,-0.5188040807843208,6686,0
20190526,-0.5188040807843208,4977,0
20190527,-0.5188040807843208,3539,0
20190528,-0.5188040807843208,3535,0
20190529,-0.5188040807843208,3629,0
20190530,-0.5188040807843208,3808,0
20190531,-0.5188040807843208,4388,0
20200201,-0.10184521675109814,4725,0
20200202,-0.10184521675109816,3828,2
20200203,-0.1018452167510982,3130,15
20200204,-0.1018452167510982,3376,0
20200205,-0.1018452167510982,3423,18
20200206,-0.10184521675109816,3337,23
20200207,-0.10184521675109816,3681,24
20200208,-0.10184521675109816,4163,24
20200209,-0.10184521675109816,3923,27
20200210,-0.1018452167510982,3319,27
20200211,-0.10184521675109816,3388,28
20200212,-0.1018452167510982,3007,28
20200213,-0.10184521675109816,3557,28
20200214,-0.10184521675109816,4454,28
20200215,-0.10184521675109816,4879,28
20200216,-0.10184521675109816,4279,29
20200217,-0.1018452167510982,3137,30
20200218,-0.1018452167510982,3395,31
20200219,-0.1018452167510982,3221,51
20200220,-0.1018452167510982,3366,104
20200221,-0.10184521675109824,3308,204
20200222,-0.1018452167510982,3628,433
20200223,-0.10184521675109824,3116,602
20200224,-0.10184521675109827,2749,833
20200225,-0.10184521675109832,2321,893
20200226,-0.10184521675109827,2463,1261
20200227,-0.10184521675109832,2165,1766
20200228,-0.10184521675109827,2420,2337
20200301,0.7370842893918339,2281,3736
20200302,0.7370842893918346,2011,4212
20200303,0.7370842893918338,1794,4812
20200304,0.7370842893918337,1870,5328
20200305,0.7370842893918337,1994,5766
20200306,0.7370842893918353,2427,6284
20200307,0.7370842893918355,2830,6767
20200308,0.7370842893918341,2483,7134
20200309,0.7370842893918339,1941,7382
20200310,0.7370842893918337,1938,7513
20200311,0.737084289391835,2200,7755
20200312,0.7370842893918339,2239,7869
20200313,0.7370842893918345,2592,7979
20200314,0.7370842893918359,3525,8086
20200315,0.7370842893918351,2855,8162
20200316,0.7370842893918338,1985,8236
20200317,0.7370842893918338,1895,8320
20200318,0.7370842893918342,1911,8413
20200319,0.7370842893918337,2023,8565
20200320,0.7370842893918341,2289,8652
20200321,0.7370842893918345,2911,8799
20200322,0.7370842893918346,2814,8897
20200323,0.7370842893918338,1719,8961
20200324,0.7370842893918339,1862,9037
20200325,0.7370842893918337,1849,9137
20200326,0.7370842893918337,1923,9241
20200327,0.7370842893918353,2224,9332
20200328,0.7370842893918351,3208,9478
20200329,0.7370842893918355,2540,9583
20200330,0.7370842893918338,1876,9661
20200331,0.7370842893918337,1917,9786
20200401,-0.5253404080867767,2021,9887
20200402,-0.5253404080867767,2092,9976
20200403,-0.5253404080867767,2289,10062
20200404,-0.5253404080867767,3132,10156
20200405,-0.5253404080867767,2486,10237
20200406,-0.5253404080867767,1838,10284
20200407,-0.5253404080867767,1759,10331
20200408,-0.5253404080867767,1786,10384
20200409,-0.5253404080867767,1909,10423
20200410,-0.5253404080867767,2081,10450
20200411,-0.5253404080867767,3498,10480
20200412,-0.5253404080867767,2798,10512
20200413,-0.5253404080867767,2010,10537
20200414,-0.5253404080867767,2273,10564
20200415,-0.5253404080867767,2392,10591
20200416,-0.5253404080867767,1989,10613
20200417,-0.5253404080867767,2366,10635
20200418,-0.5253404080867767,3385,10653
20200419,-0.5253404080867767,2971,10661
20200420,-0.5253404080867767,1897,10674
20200421,-0.5253404080867767,2251,10683
20200422,-0.5253404080867767,2107,10694
20200423,-0.5253404080867767,2225,10702
20200424,-0.5253404080867767,2688,10708
20200425,-0.5253404080867767,3940,10718
20200426,-0.5253404080867767,3469,10728
20200427,-0.5253404080867767,2097,10738
20200428,-0.5253404080867767,2326,10752
20200429,-0.5253404080867767,2706,10761
20200430,-0.5253404080867767,4216,10765
20200501,-0.5076049500041516,3883,10774
20200502,-0.5076049500041516,4162,10780
20200503,-0.5076049500041515,3941,10793
20200504,-0.5076049500041518,3379,10801
20200505,-0.5076049500041517,3672,10804
20200506,-0.5076049500041518,2323,10806
20200507,-0.5076049500041517,2549,10810
20200508,-0.5076049500041517,2921,10822
20200509,-0.5076049500041515,4008,10840
20200510,-0.5076049500041516,3636,10874
20200511,-0.5076049500041518,2424,10909
20200512,-0.5076049500041518,2147,10936
20200513,-0.5076049500041517,2423,10962
20200514,-0.5076049500041516,2814,10991
20200515,-0.5076049500041516,3018,11018
20200516,-0.5076049500041515,4349,11037
20200517,-0.5076049500041515,4161,11050
20200518,-0.5076049500041517,2627,11065
20200519,-0.5076049500041517,2500,11078
20200520,-0.5076049500041517,2523,11110
20200521,-0.5076049500041516,2933,11122
20200522,-0.5076049500041516,3480,11142
20200523,-0.5076049500041515,4459,11165
20200524,-0.5076049500041516,4174,11190
20200525,-0.5076049500041517,2563,11206
20200526,-0.5076049500041516,2707,11225
20200527,-0.5076049500041517,2882,11265
20200528,-0.5076049500041517,2733,11344
20200529,-0.5076049500041516,3392,11402
20200530,-0.5076049500041515,4585,11441
20200531,-0.5076049500041516,4318,11468
