,DATE,PN,CN,COVID
0,20190201,-0.4480699698130263,9106,0
1,20190202,-0.44806996981302616,13968,0
2,20190203,-0.4480699698130284,12540,0
3,20190204,-0.4480699698130284,11282,0
4,20190205,-0.44806996981303066,10791,0
5,20190206,-0.4480699698130275,12702,0
6,20190207,-0.4480699698130275,8113,0
7,20190208,-0.4480699698130269,7822,0
8,20190209,-0.4480699698130267,11592,0
9,20190210,-0.4480699698130281,9680,0
10,20190211,-0.4480699698130273,5636,0
11,20190212,-0.4480699698130268,5945,0
12,20190213,-0.4480699698130263,6921,0
13,20190214,-0.4480699698130263,8561,0
14,20190215,-0.4480699698130265,7603,0
15,20190216,-0.4480699698130265,10494,0
16,20190217,-0.4480699698130279,9691,0
17,20190218,-0.448069969813027,6140,0
18,20190219,-0.4480699698130273,5867,0
19,20190220,-0.4480699698130269,7055,0
20,20190221,-0.4480699698130264,7210,0
21,20190222,-0.44806996981302616,7975,0
22,20190223,-0.448069969813026,11820,0
23,20190224,-0.4480699698130273,9824,0
24,20190225,-0.448069969813027,6430,0
25,20190226,-0.44806996981302777,6195,0
26,20190227,-0.4480699698130271,8001,0
27,20190228,-0.4480699698130267,7915,0
28,20190301,0.19455062349637264,10722,0
29,20190302,0.1945506234963726,9565,0
30,20190303,0.19455062349637328,7525,0
31,20190304,0.19455062349637312,4835,0
32,20190305,0.19455062349637384,4168,0
33,20190306,0.1945506234963735,7409,0
34,20190307,0.19455062349637345,6529,0
35,20190308,0.1945506234963732,7753,0
36,20190309,0.1945506234963724,13442,0
37,20190310,0.19455062349637356,10497,0
38,20190311,0.1945506234963737,5047,0
39,20190312,0.19455062349637392,4402,0
40,20190313,0.19455062349637345,5006,0
41,20190314,0.19455062349637256,7037,0
42,20190315,0.1945506234963732,5807,0
43,20190316,0.19455062349637267,10506,0
44,20190317,0.19455062349637334,8124,0
45,20190318,0.1945506234963738,4205,0
46,20190319,0.1945506234963739,4182,0
47,20190320,0.194550623496374,4925,0
48,20190321,0.1945506234963738,5221,0
49,20190322,0.1945506234963732,6064,0
50,20190323,0.1945506234963727,10234,0
51,20190324,0.19455062349637356,7962,0
52,20190325,0.19455062349637373,4504,0
53,20190326,0.19455062349637345,4417,0
54,20190327,0.19455062349637348,6850,0
55,20190328,0.1945506234963736,5401,0
56,20190329,0.19455062349637312,6634,0
57,20190330,0.19455062349637267,10198,0
58,20190331,0.1945506234963734,9071,0
59,20190401,-0.02406144142150879,5304,0
60,20190402,-0.02406144142150879,4487,0
61,20190403,-0.02406144142150879,5084,0
62,20190404,-0.02406144142150879,5396,0
63,20190405,-0.02406144142150879,5989,0
64,20190406,-0.02406144142150879,9293,0
65,20190407,-0.02406144142150879,7541,0
66,20190408,-0.02406144142150879,4649,0
67,20190409,-0.02406144142150879,3852,0
68,20190410,-0.02406144142150879,4664,0
69,20190411,-0.02406144142150879,5062,0
70,20190412,-0.02406144142150879,6059,0
71,20190413,-0.02406144142150879,8355,0
72,20190414,-0.02406144142150879,6975,0
73,20190415,-0.02406144142150879,4396,0
74,20190416,-0.02406144142150879,4874,0
75,20190417,-0.02406144142150879,4855,0
76,20190418,-0.02406144142150879,4699,0
77,20190419,-0.02406144142150879,5318,0
78,20190420,-0.02406144142150879,7559,0
79,20190421,-0.02406144142150879,6289,0
80,20190422,-0.02406144142150879,4636,0
81,20190423,-0.02406144142150879,4392,0
82,20190424,-0.02406144142150879,12630,0
83,20190425,-0.02406144142150879,10736,0
84,20190426,-0.02406144142150879,11482,0
85,20190427,-0.02406144142150879,16799,0
86,20190428,-0.02406144142150879,15533,0
87,20190429,-0.02406144142150879,7465,0
88,20190430,-0.02406144142150879,7906,0
89,20190501,-0.497962784767147,12150,0
90,20190502,-0.4979627847671472,7298,0
91,20190503,-0.4979627847671465,9471,0
92,20190504,-0.497962784767145,14583,0
93,20190505,-0.4979627847671456,13678,0
94,20190506,-0.4979627847671455,12168,0
95,20190507,-0.4979627847671443,13083,0
96,20190508,-0.4979627847671443,13622,0
97,20190509,-0.4979627847671482,5630,0
98,20190510,-0.4979627847671476,6612,0
99,20190511,-0.4979627847671461,10683,0
100,20190512,-0.4979627847671485,8722,0
101,20190513,-0.4979627847671477,5124,0
102,20190514,-0.4979627847671456,9134,0
103,20190515,-0.4979627847671458,7614,0
104,20190516,-0.4979627847671476,6139,0
105,20190517,-0.4979627847671474,7022,0
106,20190518,-0.4979627847671465,11053,0
107,20190519,-0.4979627847671484,9490,0
108,20190520,-0.4979627847671472,6092,0
109,20190521,-0.4979627847671475,5250,0
110,20190522,-0.4979627847671481,5118,0
111,20190523,-0.4979627847671476,5512,0
112,20190524,-0.4979627847671476,6705,0
113,20190525,-0.4979627847671466,10888,0
114,20190526,-0.4979627847671478,9483,0
115,20190527,-0.4979627847671482,5347,0
116,20190528,-0.4979627847671478,5105,0
117,20190529,-0.4979627847671477,6815,0
118,20190530,-0.4979627847671477,8392,0
119,20190531,-0.4979627847671472,10143,0
120,20200201,-0.12741482257843018,7020,0
121,20200202,-0.12741482257843018,5005,2
122,20200203,-0.12741482257843018,3885,15
123,20200204,-0.12741482257843018,4160,0
124,20200205,-0.12741482257843018,5193,18
125,20200206,-0.12741482257843018,5178,23
126,20200207,-0.12741482257843018,5010,24
127,20200208,-0.12741482257843018,6759,24
128,20200209,-0.12741482257843018,5657,27
129,20200210,-0.12741482257843018,4465,27
130,20200211,-0.12741482257843018,4605,28
131,20200212,-0.12741482257843018,5365,28
132,20200213,-0.12741482257843018,6071,28
133,20200214,-0.12741482257843018,7312,28
134,20200215,-0.12741482257843018,9065,28
135,20200216,-0.12741482257843018,6971,29
136,20200217,-0.12741482257843018,4769,30
137,20200218,-0.12741482257843018,4979,31
138,20200219,-0.12741482257843018,4616,51
139,20200220,-0.12741482257843018,4020,104
140,20200221,-0.12741482257843018,3844,204
141,20200222,-0.12741482257843018,4071,433
142,20200223,-0.12741482257843018,2928,602
143,20200224,-0.12741482257843018,2422,833
144,20200225,-0.12741482257843018,2196,893
145,20200226,-0.12741482257843018,2645,1261
146,20200227,-0.12741482257843018,2511,1766
147,20200228,-0.12741482257843018,2409,2337
148,20200301,-0.12741482257843018,3264,3736
149,20200302,0.1476357335394074,2335,4212
150,20200303,0.1476357335394079,2461,4812
151,20200304,0.14763573353940773,2249,5328
152,20200305,0.14763573353940798,2415,5766
153,20200306,0.1476357335394079,2400,6284
154,20200307,0.14763573353940826,2990,6767
155,20200308,0.147635733539408,2965,7134
156,20200309,0.1476357335394077,2516,7382
157,20200310,0.14763573353940804,2781,7513
158,20200311,0.14763573353940782,2175,7755
159,20200312,0.14763573353940815,2829,7869
160,20200313,0.1476357335394079,2439,7979
161,20200314,0.14763573353940826,3286,8086
162,20200315,0.1476357335394084,4525,8162
163,20200316,0.1476357335394077,2345,8236
164,20200317,0.14763573353940815,2858,8320
165,20200318,0.14763573353940804,2619,8413
166,20200319,0.14763573353940826,2756,8565
167,20200320,0.1476357335394079,2322,8652
168,20200321,0.14763573353940826,3162,8799
169,20200322,0.14763573353940845,3362,8897
170,20200323,0.14763573353940773,2376,8961
171,20200324,0.14763573353940812,2566,9037
172,20200325,0.14763573353940804,2650,9137
173,20200326,0.1476357335394082,3046,9241
174,20200327,0.1476357335394081,2631,9332
175,20200328,0.14763573353940826,3007,9478
176,20200329,0.14763573353940834,3384,9583
177,20200330,0.1476357335394079,2577,9661
178,20200331,0.14763573353940826,3217,9786
179,20200401,0.1476357335394083,3289,9887
180,20200402,0.4357945223649353,3321,9976
181,20200403,0.4357945223649348,3104,10062
182,20200404,0.4357945223649353,3276,10156
183,20200405,0.4357945223649358,3645,10237
184,20200406,0.4357945223649326,2476,10284
185,20200407,0.4357945223649339,2764,10331
186,20200408,0.43579452236493466,2824,10384
