,DATE,PN,CN,COVID
0,20190201,0.4884227812290193,558919,0
1,20190202,0.4884227812290193,529802,0
2,20190203,0.4884227812290193,437239,0
3,20190204,0.4884227812290193,396358,0
4,20190205,0.4884227812290192,299404,0
5,20190206,0.4884227812290193,399888,0
6,20190207,0.4884227812290193,477192,0
7,20190208,0.4884227812290193,523503,0
8,20190209,0.4884227812290193,514307,0
9,20190210,0.4884227812290193,429293,0
10,20190211,0.4884227812290193,483952,0
11,20190212,0.4884227812290193,499589,0
12,20190213,0.4884227812290193,518068,0
13,20190214,0.4884227812290193,534724,0
14,20190215,0.4884227812290193,533204,0
15,20190216,0.4884227812290193,538234,0
16,20190217,0.4884227812290193,451500,0
17,20190218,0.4884227812290193,488872,0
18,20190219,0.4884227812290193,487224,0
19,20190220,0.4884227812290193,517951,0
20,20190221,0.4884227812290193,532075,0
21,20190222,0.4884227812290193,563879,0
22,20190223,0.4884227812290193,570803,0
23,20190224,0.4884227812290193,483634,0
24,20190225,0.4884227812290193,518393,0
25,20190226,0.4884227812290193,536123,0
26,20190227,0.4884227812290193,545125,0
27,20190228,0.4884227812290193,582196,0
28,20190301,0.4787071645259857,538258,0
29,20190302,0.4787071645259857,545190,0
30,20190303,0.4787071645259857,462992,0
31,20190304,0.4787071645259857,520307,0
32,20190305,0.4787071645259857,502623,0
33,20190306,0.4787071645259857,518300,0
34,20190307,0.4787071645259857,535124,0
35,20190308,0.4787071645259857,584714,0
36,20190309,0.4787071645259857,595617,0
37,20190310,0.4787071645259857,470365,0
38,20190311,0.4787071645259857,504831,0
39,20190312,0.4787071645259857,511581,0
40,20190313,0.4787071645259857,535782,0
41,20190314,0.4787071645259857,555487,0
42,20190315,0.4787071645259857,549088,0
43,20190316,0.4787071645259857,579456,0
44,20190317,0.4787071645259857,490923,0
45,20190318,0.4787071645259857,508670,0
46,20190319,0.4787071645259857,556606,0
47,20190320,0.4787071645259857,507846,0
48,20190321,0.4787071645259857,543103,0
49,20190322,0.4787071645259857,585221,0
50,20190323,0.4787071645259857,559210,0
51,20190324,0.4787071645259857,494728,0
52,20190325,0.4787071645259857,515611,0
53,20190326,0.4787071645259857,545939,0
54,20190327,0.4787071645259857,545693,0
55,20190328,0.4787071645259857,555108,0
56,20190329,0.4787071645259857,600391,0
57,20190330,0.4787071645259857,566660,0
58,20190331,0.4787071645259857,491006,0
59,20190401,0.5413034345422306,511574,0
60,20190402,0.5413034345422306,536216,0
61,20190403,0.5413034345422306,549699,0
62,20190404,0.5413034345422306,550476,0
63,20190405,0.5413034345422304,585043,0
64,20190406,0.5413034345422305,572785,0
65,20190407,0.5413034345422308,505596,0
66,20190408,0.5413034345422305,526411,0
67,20190409,0.5413034345422306,499748,0
68,20190410,0.5413034345422305,532061,0
69,20190411,0.5413034345422305,564672,0
70,20190412,0.5413034345422304,611168,0
71,20190413,0.5413034345422305,621791,0
72,20190414,0.5413034345422307,479629,0
73,20190415,0.5413034345422305,544275,0
74,20190416,0.5413034345422306,563132,0
75,20190417,0.5413034345422305,573476,0
76,20190418,0.5413034345422305,552080,0
77,20190419,0.5413034345422305,597478,0
78,20190420,0.5413034345422304,615802,0
79,20190421,0.5413034345422308,511769,0
80,20190422,0.5413034345422306,551538,0
81,20190423,0.5413034345422306,543814,0
82,20190424,0.5413034345422307,571944,0
83,20190425,0.5413034345422305,528724,0
84,20190426,0.5413034345422305,573665,0
85,20190427,0.5413034345422304,638730,0
86,20190428,0.5413034345422307,524099,0
87,20190429,0.5413034345422306,522934,0
88,20190430,0.5413034345422305,594608,0
89,20190501,-0.06888024674521173,565634,0
90,20190502,-0.06888024674521173,559634,0
91,20190503,-0.06888024674521169,609969,0
92,20190504,-0.06888024674521169,594902,0
93,20190505,-0.06888024674521177,536768,0
94,20190506,-0.06888024674521176,501767,0
95,20190507,-0.06888024674521173,525858,0
96,20190508,-0.0688802467452117,543314,0
97,20190509,-0.06888024674521175,539079,0
98,20190510,-0.06888024674521173,591513,0
99,20190511,-0.06888024674521173,611685,0
100,20190512,-0.06888024674521177,512755,0
101,20190513,-0.06888024674521173,512905,0
102,20190514,-0.06888024674521173,556758,0
103,20190515,-0.06888024674521173,570991,0
104,20190516,-0.06888024674521175,557637,0
105,20190517,-0.0688802467452117,596899,0
106,20190518,-0.06888024674521173,586976,0
107,20190519,-0.06888024674521179,447939,0
108,20190520,-0.0688802467452117,518040,0
109,20190521,-0.06888024674521173,547162,0
110,20190522,-0.06888024674521173,557216,0
111,20190523,-0.06888024674521173,562838,0
112,20190524,-0.06888024674521173,608967,0
113,20190525,-0.0688802467452117,621488,0
114,20190526,-0.06888024674521176,520794,0
115,20190527,-0.06888024674521173,482170,0
116,20190528,-0.06888024674521173,552378,0
117,20190529,-0.06888024674521173,562501,0
118,20190530,-0.06888024674521173,555971,0
119,20190531,-0.0688802467452117,606905,0
120,20200201,-0.017809921503066175,486001,0
121,20200202,-0.017809921503066196,395153,2
122,20200203,-0.017809921503066182,467354,15
123,20200204,-0.017809921503066182,472959,0
124,20200205,-0.017809921503066182,470826,18
125,20200206,-0.017809921503066182,472705,23
126,20200207,-0.017809921503066175,521490,24
127,20200208,-0.017809921503066182,476766,24
128,20200209,-0.017809921503066192,409200,27
129,20200210,-0.017809921503066182,488086,27
130,20200211,-0.017809921503066182,506029,28
131,20200212,-0.017809921503066182,477457,28
132,20200213,-0.017809921503066175,530212,28
133,20200214,-0.017809921503066168,577905,28
134,20200215,-0.017809921503066182,523860,28
135,20200216,-0.017809921503066192,403807,29
136,20200217,-0.017809921503066182,466167,30
137,20200218,-0.017809921503066182,490509,31
138,20200219,-0.017809921503066168,481338,51
139,20200220,-0.017809921503066182,472193,104
140,20200221,-0.017809921503066182,459708,204
141,20200222,-0.017809921503066192,375752,433
142,20200223,-0.01780992150306621,309728,602
143,20200224,-0.017809921503066192,392428,833
144,20200225,-0.0178099215030662,363384,893
145,20200226,-0.017809921503066192,390748,1261
146,20200227,-0.017809921503066192,390359,1766
147,20200228,-0.017809921503066192,382324,2337
148,20200301,-0.3132584222725337,288682,3736
149,20200302,-0.3132584222725323,388866,4212
150,20200303,-0.3132584222725319,390353,4812
151,20200304,-0.3132584222725321,385543,5328
152,20200305,-0.31325842227253203,396149,5766
153,20200306,-0.3132584222725318,426461,6284
154,20200307,-0.31325842227253226,373751,6767
155,20200308,-0.31325842227253337,334047,7134
156,20200309,-0.3132584222725321,404384,7382
157,20200310,-0.3132584222725322,373351,7513
158,20200311,-0.3132584222725317,419142,7755
159,20200312,-0.3132584222725318,417071,7869
160,20200313,-0.31325842227253153,438721,7979
161,20200314,-0.3132584222725318,406634,8086
162,20200315,-0.3132584222725339,316315,8162
163,20200316,-0.31325842227253153,406347,8236
164,20200317,-0.3132584222725316,412828,8320
165,20200318,-0.3132584222725318,430522,8413
166,20200319,-0.31325842227253226,395643,8565
167,20200320,-0.31325842227253153,461424,8652
168,20200321,-0.3132584222725316,427342,8799
169,20200322,-0.3132584222725327,356968,8897
170,20200323,-0.313258422272532,423611,8961
171,20200324,-0.3132584222725316,445499,9037
172,20200325,-0.31325842227253164,453187,9137
173,20200326,-0.31325842227253203,425998,9241
174,20200327,-0.3132584222725316,465194,9332
175,20200328,-0.3132584222725317,431205,9478
176,20200329,-0.31325842227253303,363743,9583
177,20200330,-0.3132584222725317,431172,9661
178,20200331,-0.31325842227253164,455420,9786
179,20200401,-0.06520995828840273,446855,9887
180,20200402,-0.06520995828840273,449758,9976
181,20200403,-0.06520995828840268,478999,10062
182,20200404,-0.06520995828840269,440086,10156
183,20200405,-0.06520995828840315,361588,10237
184,20200406,-0.06520995828840276,425149,10284
185,20200407,-0.0652099582884028,442495,10331
186,20200408,-0.06520995828840279,448557,10384
187,20200409,-0.06520995828840273,447618,10423
188,20200410,-0.0652099582884026,488281,10450
189,20200411,-0.06520995828840273,457665,10480
190,20200412,-0.06520995828840306,362286,10512
191,20200413,-0.06520995828840273,440409,10537
192,20200414,-0.0652099582884027,493643,10564
193,20200415,-0.06520995828840273,454894,10591
194,20200416,-0.06520995828840281,461878,10613
195,20200417,-0.06520995828840273,454150,10635
196,20200418,-0.06520995828840273,488791,10653
197,20200419,-0.06520995828840316,338460,10661
198,20200420,-0.06520995828840273,438163,10674
199,20200421,-0.0652099582884028,457073,10683
200,20200422,-0.06520995828840279,454333,10694
201,20200423,-0.06520995828840277,465750,10702
202,20200424,-0.06520995828840269,509627,10708
203,20200425,-0.0652099582884027,490810,10718
204,20200426,-0.06520995828840316,416765,10728
205,20200427,-0.06520995828840279,461119,10738
206,20200428,-0.06520995828840277,492121,10752
207,20200429,-0.06520995828840273,526143,10761
208,20200430,-0.06520995828840284,478943,10765
209,20200501,-0.0012370149294534955,487923,10774
210,20200502,-0.0012370149294534964,485147,10780
211,20200503,-0.0012370149294535016,415982,10793
212,20200504,-0.0012370149294534966,523540,10801
213,20200505,-0.0012370149294534975,439338,10804
214,20200506,-0.0012370149294534964,490778,10806
215,20200507,-0.0012370149294534953,509075,10810
216,20200508,-0.001237014929453494,531662,10822
217,20200509,-0.0012370149294534964,442525,10840
218,20200510,-0.0012370149294535,419292,10874
219,20200511,-0.0012370149294534964,477519,10909
220,20200512,-0.0012370149294534962,487699,10936
221,20200513,-0.0012370149294534953,531445,10962
222,20200514,-0.0012370149294534947,540814,10991
223,20200515,-0.0012370149294534942,525918,11018
224,20200516,-0.0012370149294534942,572337,11037
225,20200517,-0.0012370149294534975,498365,11050
226,20200518,-0.0012370149294534938,496639,11065
227,20200519,-0.0012370149294534938,528017,11078
228,20200520,-0.0012370149294534938,568842,11110
229,20200521,-0.0012370149294534938,582813,11122
230,20200522,-0.0012370149294534938,611589,11142
231,20200523,-0.001237014929453494,599364,11165
232,20200524,-0.0012370149294534964,480228,11190
233,20200525,-0.0012370149294534945,538739,11206
234,20200526,-0.0012370149294534947,548425,11225
235,20200527,-0.001237014929453495,576113,11265
236,20200528,-0.0012370149294534945,563771,11344
237,20200529,-0.0012370149294534938,606656,11402
238,20200530,-0.0012370149294534947,583577,11441
239,20200531,-0.001237014929453497,481626,11468
