DATE,PN,CN,COVID
20190201,0.041013479232788086,106632,0
20190202,0.041013479232788086,73409,0
20190203,0.041013479232788086,13496,0
20190204,0.041013479232788086,16828,0
20190205,0.041013479232788086,5317,0
20190206,0.041013479232788086,14718,0
20190207,0.041013479232788086,113612,0
20190208,0.041013479232788086,100815,0
20190209,0.041013479232788086,67490,0
20190210,0.041013479232788086,9334,0
20190211,0.041013479232788086,110712,0
20190212,0.041013479232788086,94232,0
20190213,0.041013479232788086,87764,0
20190214,0.041013479232788086,89314,0
20190215,0.041013479232788086,92426,0
20190216,0.041013479232788086,64011,0
20190217,0.041013479232788086,11135,0
20190218,0.041013479232788086,108449,0
20190219,0.041013479232788086,85984,0
20190220,0.041013479232788086,86887,0
20190221,0.041013479232788086,88488,0
20190222,0.041013479232788086,96178,0
20190223,0.041013479232788086,63422,0
20190224,0.041013479232788086,9636,0
20190225,0.041013479232788086,114264,0
20190226,0.041013479232788086,99642,0
20190227,0.041013479232788086,95988,0
20190228,0.041013479232788086,100030,0
20190301,-0.0163763165473938,19032,0
20190302,-0.0163763165473938,68977,0
20190303,-0.0163763165473938,11259,0
20190304,-0.0163763165473938,111289,0
20190305,-0.0163763165473938,95048,0
20190306,-0.0163763165473938,85840,0
20190307,-0.0163763165473938,85074,0
20190308,-0.0163763165473938,94620,0
20190309,-0.0163763165473938,67366,0
20190310,-0.0163763165473938,9953,0
20190311,-0.0163763165473938,107990,0
20190312,-0.0163763165473938,89630,0
20190313,-0.0163763165473938,86279,0
20190314,-0.0163763165473938,85262,0
20190315,-0.0163763165473938,92064,0
20190316,-0.0163763165473938,67881,0
20190317,-0.0163763165473938,11738,0
20190318,-0.0163763165473938,112948,0
20190319,-0.0163763165473938,94548,0
20190320,-0.0163763165473938,87051,0
20190321,-0.0163763165473938,88408,0
20190322,-0.0163763165473938,99268,0
20190323,-0.0163763165473938,71084,0
20190324,-0.0163763165473938,11969,0
20190325,-0.0163763165473938,118998,0
20190326,-0.0163763165473938,100874,0
