DATE,PN,CN,COVID
20190201,0.0242919921875,24296,0
20190202,0.0242919921875,30749,0
20190203,0.0242919921875,22024,0
20190204,0.0242919921875,18502,0
20190205,0.0242919921875,7404,0
20190206,0.0242919921875,18803,0
20190207,0.0242919921875,23496,0
20190208,0.0242919921875,22951,0
20190209,0.0242919921875,30023,0
20190210,0.0242919921875,23831,0
20190211,0.0242919921875,19779,0
20190212,0.0242919921875,19065,0
20190213,0.0242919921875,22664,0
20190214,0.0242919921875,21998,0
20190215,0.0242919921875,21605,0
20190216,0.0242919921875,29880,0
20190217,0.0242919921875,22252,0
20190218,0.0242919921875,17873,0
20190219,0.0242919921875,15735,0
20190220,0.0242919921875,18509,0
20190221,0.0242919921875,19986,0
20190222,0.0242919921875,21662,0
20190223,0.0242919921875,28953,0
20190224,0.0242919921875,23607,0
20190225,0.0242919921875,20297,0
20190226,0.0242919921875,19716,0
20190227,0.0242919921875,19939,0
20190228,0.0242919921875,22684,0
20190301,-0.2546436531203183,29313,0
20190302,-0.2546436531203181,31913,0
20190303,-0.2546436531203184,26990,0
20190304,-0.2546436531203183,19610,0
20190305,-0.25464365312031795,17921,0
20190306,-0.2546436531203181,18106,0
20190307,-0.254643653120318,19736,0
20190308,-0.2546436531203184,21867,0
20190309,-0.254643653120318,30168,0
20190310,-0.2546436531203181,24114,0
20190311,-0.25464365312031817,18290,0
20190312,-0.2546436531203177,16916,0
20190313,-0.25464365312031817,18591,0
20190314,-0.2546436531203182,19641,0
20190315,-0.2546436531203182,19938,0
20190316,-0.2546436531203184,30805,0
20190317,-0.2546436531203183,23688,0
20190318,-0.254643653120318,17893,0
20190319,-0.2546436531203176,16899,0
20190320,-0.25464365312031795,16169,0
20190321,-0.2546436531203182,18111,0
20190322,-0.2546436531203184,20569,0
20190323,-0.2546436531203183,28381,0
20190324,-0.25464365312031817,24789,0
20190325,-0.25464365312031784,17752,0
20190326,-0.25464365312031795,18000,0
20190327,-0.25464365312031784,17069,0
20190328,-0.2546436531203181,17719,0
20190329,-0.25464365312031834,20176,0
20190330,-0.2546436531203179,28504,0
20190331,-0.25464365312031834,23719,0
20190401,-0.25560569763183594,19332,0
20190402,-0.25560569763183594,17435,0
20190403,-0.25560569763183594,19156,0
20190404,-0.25560569763183594,20035,0
20190405,-0.25560569763183594,21753,0
20190406,-0.25560569763183594,28757,0
20190407,-0.25560569763183594,23101,0
20190408,-0.25560569763183594,18835,0
20190409,-0.25560569763183594,15449,0
20190410,-0.25560569763183594,18308,0
20190411,-0.25560569763183594,21009,0
20190412,-0.25560569763183594,23932,0
20190413,-0.25560569763183594,30701,0
20190414,-0.25560569763183594,22961,0
20190415,-0.25560569763183594,18588,0
20190416,-0.25560569763183594,17748,0
20190417,-0.25560569763183594,18394,0
20190418,-0.25560569763183594,17481,0
20190419,-0.25560569763183594,20131,0
20190420,-0.25560569763183594,27731,0
20190421,-0.25560569763183594,22211,0
20190422,-0.25560569763183594,17547,0
20190423,-0.25560569763183594,15309,0
20190424,-0.25560569763183594,18584,0
20190425,-0.25560569763183594,16583,0
20190426,-0.25560569763183594,19942,0
20190427,-0.25560569763183594,29477,0
20190428,-0.25560569763183594,22179,0
20190429,-0.25560569763183594,16406,0
20190430,-0.25560569763183594,18095,0
20190501,0.4311133995652199,25008,0
20190502,0.4311133995652199,19670,0
20190503,0.4311133995652199,22862,0
20190504,0.4311133995652199,26438,0
20190505,0.4311133995652199,20488,0
20190506,0.4311133995652199,22820,0
20190507,0.4311133995652199,17614,0
20190508,0.4311133995652199,19240,0
20190509,0.4311133995652199,19613,0
20190510,0.4311133995652199,22917,0
20190511,0.4311133995652199,29485,0
20190512,0.4311133995652199,22452,0
20190513,0.4311133995652199,17837,0
20190514,0.4311133995652199,17314,0
20190515,0.4311133995652199,21049,0
20190516,0.4311133995652199,19608,0
20190517,0.4311133995652199,22368,0
20190518,0.4311133995652199,28840,0
20190519,0.4311133995652199,19675,0
20190520,0.4311133995652199,16958,0
20190521,0.4311133995652199,16314,0
20190522,0.4311133995652199,17320,0
20190523,0.4311133995652199,18006,0
20190524,0.4311133995652199,21375,0
20190525,0.4311133995652199,27839,0
20190526,0.4311133995652199,22094,0
20190527,0.4311133995652199,15987,0
20190528,0.4311133995652199,16878,0
20190529,0.4311133995652199,17315,0
20190530,0.4311133995652199,17098,0
20190531,0.4311133995652199,19886,0
20200201,-0.5093494653701782,20967,0
20200202,-0.5093494653701782,16227,2
20200203,-0.5093494653701782,12927,15
20200204,-0.5093494653701782,12659,0
