DATE,PN,CN,COVID
190201,-0.44806996981302943,2434,0
190202,-0.4480699698130292,10,0
190203,-0.4480699698130292,7,0
190204,-0.44806996981302905,1,0
190206,-0.44806996981302943,4364,0
190207,-0.44806996981302943,8816,0
190208,-0.44806996981302943,5948,0
190209,-0.44806996981302943,2076,0
190210,-0.44806996981302943,1781,0
190211,-0.44806996981302943,7665,0
190212,-0.44806996981302943,5972,0
190213,-0.44806996981302943,5978,0
190214,-0.44806996981302943,4790,0
190215,-0.44806996981302943,4606,0
190216,-0.44806996981302943,1735,0
190217,-0.44806996981302943,1756,0
190218,-0.44806996981302943,7715,0
190219,-0.44806996981302943,6164,0
190220,-0.44806996981302943,5695,0
190221,-0.44806996981302943,5202,0
190222,-0.44806996981302943,4749,0
190223,-0.44806996981302943,1712,0
190224,-0.44806996981302943,1586,0
190225,-0.44806996981302943,7507,0
190226,-0.44806996981302943,6597,0
190227,-0.44806996981302943,6191,0
190228,-0.44806996981302943,5857,0
190301,0.19455062349637364,1185,0
190302,0.19455062349637364,2697,0
190303,0.19455062349637364,2470,0
190304,0.19455062349637364,7221,0
190305,0.19455062349637364,7238,0
190306,0.19455062349637364,6662,0
190307,0.19455062349637364,6882,0
190308,0.19455062349637364,6521,0
190309,0.19455062349637364,3185,0
190310,0.19455062349637364,3280,0
190311,0.19455062349637364,7654,0
190312,0.19455062349637364,6781,0
190313,0.19455062349637364,6395,0
190314,0.19455062349637364,5827,0
190315,0.19455062349637364,5253,0
190316,0.19455062349637364,1919,0
190317,0.19455062349637364,2097,0
190318,0.19455062349637364,7430,0
190319,0.19455062349637364,5759,0
190320,0.19455062349637364,5541,0
190321,0.19455062349637364,4745,0
190322,0.19455062349637364,4458,0
190323,0.19455062349637364,1115,0
190324,0.19455062349637364,2007,0
190325,0.19455062349637364,7024,0
190326,0.19455062349637364,6569,0
190327,0.19455062349637364,7552,0
190328,0.19455062349637364,6484,0
190329,0.19455062349637364,6517,0
190330,0.19455062349637364,1389,0
190331,0.19455062349637364,1653,0
190401,-0.02406144142150879,6951,0
190402,-0.02406144142150879,5521,0
190403,-0.02406144142150879,5306,0
190404,-0.02406144142150879,4462,0
190405,-0.02406144142150879,3694,0
190406,-0.02406144142150879,1291,0
190407,-0.02406144142150879,1540,0
190408,-0.02406144142150879,5865,0
190409,-0.02406144142150879,4699,0
190410,-0.02406144142150879,4489,0
190411,-0.02406144142150879,4331,0
190412,-0.02406144142150879,5133,0
190413,-0.02406144142150879,2279,0
190414,-0.02406144142150879,2624,0
190415,-0.02406144142150879,5736,0
190416,-0.02406144142150879,5092,0
190417,-0.02406144142150879,5030,0
190418,-0.02406144142150879,4255,0
190419,-0.02406144142150879,4651,0
190420,-0.02406144142150879,1146,0
190421,-0.02406144142150879,1358,0
190422,-0.02406144142150879,5854,0
190423,-0.02406144142150879,4733,0
190424,-0.02406144142150879,4368,0
190425,-0.02406144142150879,4716,0
190426,-0.02406144142150879,3726,0
190427,-0.02406144142150879,1228,0
190428,-0.02406144142150879,1126,0
190429,-0.02406144142150879,6356,0
190430,-0.02406144142150879,4986,0
190501,-0.4979627847671506,525,0
190502,-0.4979627847671506,5775,0
190503,-0.4979627847671506,4519,0
190504,-0.4979627847671506,1516,0
190505,-0.4979627847671506,690,0
190506,-0.4979627847671506,1968,0
190507,-0.4979627847671506,6388,0
190508,-0.4979627847671506,4929,0
190509,-0.4979627847671506,4112,0
190510,-0.4979627847671506,4002,0
190511,-0.4979627847671506,1075,0
190512,-0.4979627847671506,1148,0
190513,-0.4979627847671506,5759,0
190514,-0.4979627847671506,4543,0
190515,-0.4979627847671506,3712,0
190516,-0.4979627847671506,3930,0
190517,-0.4979627847671506,4136,0
190518,-0.4979627847671506,1113,0
190519,-0.4979627847671506,1455,0
190520,-0.4979627847671506,6363,0
190521,-0.4979627847671506,4899,0
190522,-0.4979627847671506,4044,0
190523,-0.4979627847671506,3909,0
190524,-0.4979627847671506,3951,0
190525,-0.4979627847671506,1010,0
190526,-0.4979627847671506,1575,0
190527,-0.4979627847671506,7115,0
190528,-0.4979627847671506,6745,0
190529,-0.4979627847671506,4517,0
190530,-0.4979627847671506,4013,0
190531,-0.4979627847671506,3316,0
200201,-0.12741482257843018,2030,0
200202,-0.12741482257843018,2312,2
200203,-0.12741482257843018,8468,15
200204,-0.12741482257843018,6275,0
200205,-0.12741482257843018,6100,18
200206,-0.12741482257843018,5333,23
200207,-0.12741482257843018,5126,24
200208,-0.12741482257843018,1693,24
200209,-0.12741482257843018,1900,27
200210,-0.12741482257843018,8153,27
200211,-0.12741482257843018,6042,28
200212,-0.12741482257843018,5156,28
200213,-0.12741482257843018,6179,28
200214,-0.12741482257843018,5580,28
200215,-0.12741482257843018,1722,28
200216,-0.12741482257843018,1849,29
200217,-0.12741482257843018,8395,30
200218,-0.12741482257843018,6725,31
200219,-0.12741482257843018,6219,51
200220,-0.12741482257843018,6077,104
200221,-0.12741482257843018,7130,204
200222,-0.12741482257843018,2034,433
200223,-0.12741482257843018,4056,602
200224,-0.12741482257843018,9640,833
200225,-0.12741482257843018,8625,893
200226,-0.12741482257843018,7434,1261
200227,-0.12741482257843018,8577,1766
200228,-0.12741482257843018,6829,2337
200229,-0.12741482257843018,2181,3736
200301,0.147635733539408,2868,4212
200302,0.147635733539408,10329,4812
200303,0.147635733539408,8303,5328
200304,0.147635733539408,7891,5766
200305,0.147635733539408,8200,6284
200306,0.147635733539408,7993,6767
200307,0.147635733539408,2865,7134
200308,0.147635733539408,3415,7382
200309,0.147635733539408,9926,7513
200310,0.147635733539408,8066,7755
200311,0.147635733539408,7534,7869
200312,0.147635733539408,7357,7979
200313,0.147635733539408,6599,8086
200314,0.147635733539408,2521,8162
200315,0.147635733539408,3373,8236
200316,0.147635733539408,9617,8320
200317,0.147635733539408,8610,8413
200318,0.147635733539408,8645,8565
200319,0.147635733539408,8322,8652
200320,0.147635733539408,7350,8799
200321,0.147635733539408,3578,8897
200322,0.147635733539408,3035,8961
200323,0.147635733539408,9700,9037
200324,0.147635733539408,8878,9137
200325,0.147635733539408,8017,9241
200326,0.147635733539408,7706,9332
200327,0.147635733539408,7572,9478
200328,0.147635733539408,2707,9583
200329,0.147635733539408,2490,9661
200330,0.147635733539408,9786,9786
200331,0.147635733539408,8083,9887
200401,0.4357945223649339,7071,9976
200402,0.4357945223649339,7886,10062
200403,0.4357945223649339,6694,10156
200404,0.4357945223649339,2060,10237
200405,0.4357945223649339,2450,10284
200406,0.4357945223649339,8949,10331
200407,0.4357945223649339,8456,10384
200408,0.4357945223649339,9641,10423
200409,0.4357945223649339,6324,10450
200410,0.4357945223649339,5965,10480
200411,0.4357945223649339,1991,10512
200412,0.4357945223649339,2250,10537
200413,0.4357945223649339,8679,10564
200414,0.4357945223649339,8684,10591
200415,0.4357945223649339,843,10613
200416,0.4357945223649339,9920,10635
200417,0.4357945223649339,6671,10653
200418,0.4357945223649339,2293,10661
200419,0.4357945223649339,2095,10674
200420,0.4357945223649339,9397,10683
200421,0.4357945223649339,7269,10694
200422,0.4357945223649339,6751,10702
200423,0.4357945223649339,7524,10708
200424,0.4357945223649339,7612,10718
200425,0.4357945223649339,1772,10728
200426,0.4357945223649339,2446,10738
200427,0.4357945223649339,9236,10752
200428,0.4357945223649339,7947,10761
200429,0.4357945223649339,7042,10765
200430,0.4357945223649339,686,10774
200501,0.14210561513900738,3942,10780
200502,0.14210561513900738,3695,10793
200503,0.14210561513900738,3509,10801
200504,0.14210561513900738,8473,10804
200505,0.14210561513900738,709,10806
200506,0.14210561513900738,9386,10810
200507,0.14210561513900738,6934,10822
200508,0.14210561513900738,5450,10840
200509,0.14210561513900738,1593,10874
200510,0.14210561513900738,2223,10909
200511,0.14210561513900738,7455,10936
200512,0.14210561513900738,6075,10962
200513,0.14210561513900738,5426,10991
200514,0.14210561513900738,5485,11018
200515,0.14210561513900738,5133,11037
200516,0.14210561513900738,1733,11050
200517,0.14210561513900738,1816,11065
200518,0.14210561513900738,7697,11078
200519,0.14210561513900738,6623,11110
200520,0.14210561513900738,5482,11122
200521,0.14210561513900738,5532,11142
200522,0.14210561513900738,5810,11165
200523,0.1421056151390074,1443,11190
200524,0.14210561513900738,2248,11206
200525,0.14210561513900738,8961,11225
200526,0.14210561513900738,6782,11265
200527,0.14210561513900738,7022,11344
200528,0.14210561513900738,6656,11402
200529,0.14210561513900738,6155,11441
200530,0.14210561513900738,1049,11468
