DATE,PN,CN,COVID
190201,0.4884227812290193,1336,0
190202,0.4884227812290192,109,0
190203,0.4884227812290192,157,0
190204,0.4884227812290192,12,0
190205,0.4884227812290192,21,0
190206,0.4884227812290193,6500,0
190207,0.4884227812290193,32259,0
190208,0.4884227812290193,20186,0
190209,0.4884227812290193,2523,0
190210,0.4884227812290193,3398,0
190211,0.4884227812290193,30563,0
190212,0.4884227812290193,21465,0
190213,0.4884227812290193,19101,0
190214,0.4884227812290193,16881,0
190215,0.4884227812290193,15554,0
190216,0.4884227812290193,1876,0
190217,0.4884227812290193,3373,0
190218,0.4884227812290193,26013,0
190219,0.4884227812290193,18050,0
190220,0.4884227812290193,16512,0
190221,0.4884227812290193,15641,0
190222,0.4884227812290193,14144,0
190223,0.4884227812290193,1226,0
190224,0.4884227812290193,2467,0
190225,0.4884227812290193,26391,0
190226,0.4884227812290193,18035,0
190227,0.4884227812290193,16673,0
190228,0.4884227812290193,10109,0
190301,0.4787071645259857,752,0
190302,0.4787071645259857,2028,0
190303,0.4787071645259857,5238,0
190304,0.4787071645259857,34387,0
190305,0.4787071645259857,20544,0
190306,0.4787071645259857,17849,0
190307,0.4787071645259857,16047,0
190308,0.4787071645259857,14805,0
190309,0.4787071645259857,1498,0
190310,0.4787071645259857,2697,0
190311,0.4787071645259857,27954,0
190312,0.4787071645259857,18814,0
190313,0.4787071645259857,16673,0
190314,0.4787071645259857,15943,0
190315,0.4787071645259857,15147,0
190316,0.4787071645259857,1172,0
190317,0.4787071645259857,3543,0
190318,0.4787071645259857,26693,0
190319,0.4787071645259857,18404,0
190320,0.4787071645259857,15748,0
190321,0.4787071645259857,16096,0
190322,0.4787071645259857,14474,0
190323,0.4787071645259857,1190,0
190324,0.4787071645259857,2573,0
190325,0.4787071645259857,26610,0
190326,0.4787071645259857,18596,0
190327,0.4787071645259857,16619,0
190328,0.4787071645259857,15283,0
190329,0.4787071645259857,13707,0
190330,0.4787071645259857,1352,0
190331,0.4787071645259857,2636,0
190401,0.5413034345422474,27715,0
190402,0.5413034345422474,19472,0
190403,0.5413034345422474,17362,0
190404,0.5413034345422474,16808,0
190405,0.5413034345422474,14804,0
190406,0.5413034345422474,1212,0
190407,0.5413034345422474,2443,0
190408,0.5413034345422474,26609,0
190409,0.5413034345422474,18234,0
190410,0.5413034345422474,16335,0
190411,0.5413034345422474,16870,0
190412,0.5413034345422474,16466,0
190413,0.5413034345422474,1547,0
190414,0.5413034345422474,3139,0
190415,0.5413034345422474,27792,0
190416,0.5413034345422474,19352,0
190417,0.5413034345422474,17162,0
190418,0.5413034345422474,16579,0
190419,0.5413034345422474,14776,0
190420,0.5413034345422474,1077,0
190421,0.5413034345422474,2233,0
190422,0.5413034345422474,26328,0
190423,0.5413034345422474,18031,0
190424,0.5413034345422474,16689,0
190425,0.5413034345422474,15961,0
190426,0.5413034345422474,14188,0
190427,0.5413034345422474,1418,0
190428,0.5413034345422474,2637,0
190429,0.5413034345422474,25665,0
190430,0.5413034345422474,17265,0
190501,-0.06888024674521545,9918,0
190502,-0.06888024674521545,21998,0
190503,-0.06888024674521545,16285,0
190504,-0.06888024674521545,1438,0
190505,-0.06888024674521545,449,0
