,Unnamed: 0,DATE,PN,CN,COVID
0,231,20200523,1,0,2
1,182,20200404,1,0,2
2,112,20190524,0,1,0
3,92,20190504,0,1,0
4,46,20190319,1,0,0
5,105,20190517,0,1,0
6,229,20200521,1,0,2
7,147,20200228,0,0,1
8,226,20200518,1,1,2
9,175,20200328,1,1,1
10,60,20190402,0,1,0
11,128,20200209,0,1,1
12,205,20200427,1,1,2
13,174,20200327,1,1,1
14,18,20190219,0,0,0
15,9,20190210,0,1,0
16,3,20190204,0,1,0
17,207,20200429,1,0,2
18,56,20190329,1,1,0
19,136,20200217,0,1,1
20,171,20200324,1,0,1
21,208,20200430,1,1,2
22,156,20200309,1,1,1
23,234,20200526,1,1,2
24,30,20190303,1,1,0
25,116,20190528,0,0,0
26,89,20190501,0,1,0
27,88,20190430,0,0,0
28,145,20200226,0,1,1
29,17,20190218,0,1,0
30,41,20190314,1,1,0
31,103,20190515,0,1,0
32,141,20200222,0,0,1
33,36,20190309,1,1,0
34,183,20200405,1,1,2
35,98,20190510,0,1,0
36,19,20190220,0,1,0
37,131,20200212,0,1,1
38,87,20190429,0,1,0
39,79,20190421,0,1,0
40,236,20200528,1,0,2
41,230,20200522,1,1,2
42,200,20200422,1,0,2
43,80,20190422,0,1,0
44,32,20190305,1,1,0
45,164,20200317,1,1,1
46,54,20190327,1,1,0
47,118,20190530,0,1,0
48,11,20190212,0,0,0
49,139,20200220,0,1,1
50,184,20200406,1,1,2
51,119,20190531,0,1,0
52,157,20200310,1,1,1
53,153,20200306,1,0,1
54,7,20190208,0,0,0
55,127,20200208,0,1,1
56,187,20200409,1,0,2
57,237,20200529,1,0,2
58,151,20200304,1,0,1
59,188,20200410,1,0,2
60,228,20200520,1,0,2
61,52,20190325,1,1,0
62,217,20200509,1,1,2
63,111,20190523,0,0,0
64,168,20200321,1,1,1
65,107,20190519,0,1,0
66,33,20190306,1,1,0
67,134,20200215,0,1,1
68,113,20190525,0,1,0
69,140,20200221,0,0,1
70,130,20200211,0,0,1
71,198,20200420,1,1,2
72,201,20200423,1,0,2
73,163,20200316,1,1,1
74,148,20200301,0,1,1
75,51,20190324,1,1,0
76,185,20200407,1,1,2
77,31,20190304,1,1,0
78,143,20200224,0,1,1
79,106,20190518,0,1,0
80,91,20190503,0,1,0
81,137,20200218,0,0,1
82,144,20200225,0,0,1
83,90,20190502,0,1,0
84,155,20200308,1,0,1
85,44,20190317,1,1,0
86,6,20190207,0,1,0
87,34,20190307,1,1,0
88,166,20200319,1,0,1
89,86,20190428,0,0,0
90,73,20190415,0,1,0
91,195,20200417,1,1,2
92,84,20190426,0,0,0
93,94,20190506,0,1,0
94,101,20190513,0,1,0
95,179,20200401,1,0,1
96,133,20200214,0,1,1
97,96,20190508,0,0,0
98,238,20200530,1,0,2
99,224,20200516,1,1,2
100,53,20190326,1,0,0
101,138,20200219,0,0,1
102,10,20190211,0,1,0
103,132,20200213,0,1,1
104,125,20200206,0,0,1
105,222,20200514,1,1,2
106,12,20190213,0,1,0
107,20,20190221,0,0,0
108,104,20190516,0,1,0
109,170,20200323,1,1,1
110,59,20190401,0,1,0
111,167,20200320,1,1,1
112,83,20190425,0,1,0
113,191,20200413,1,1,2
114,223,20200515,1,1,2
115,202,20200424,1,0,2
116,193,20200415,1,1,2
117,178,20200331,1,1,1
118,63,20190405,0,1,0
119,40,20190313,1,1,0
120,48,20190321,1,0,0
121,93,20190505,0,0,0
122,227,20200519,1,1,2
123,43,20190316,1,1,0
124,211,20200503,1,0,2
125,45,20190318,1,1,0
126,70,20190412,0,1,0
127,121,20200202,0,1,1
128,235,20200527,1,0,2
129,169,20200322,1,0,1
130,21,20190222,0,1,0
131,77,20190419,0,1,0
132,66,20190408,0,1,0
133,215,20200507,1,1,2
134,27,20190228,0,0,0
135,220,20200512,1,0,2
136,110,20190522,0,0,0
137,135,20200216,0,1,1
138,149,20200302,1,1,1
139,99,20190511,0,1,0
140,161,20200314,1,1,1
141,76,20190418,0,0,0
142,152,20200305,1,0,1
143,4,20190205,0,0,0
