,Unnamed: 0,DATE,PN,CN,COVID
144,76,20190418,1,0,0
145,209,20200501,1,0,2
146,146,20200227,1,0,1
147,237,20200529,1,1,2
148,103,20190515,1,1,0
149,188,20200410,1,1,2
150,202,20200424,1,1,2
151,239,20200531,1,0,2
152,235,20200527,1,0,2
153,21,20190222,1,0,0
154,181,20200403,1,1,2
155,229,20200521,1,0,2
156,25,20190226,1,0,0
157,78,20190420,1,1,0
158,66,20190408,1,1,0
159,175,20200328,1,1,1
160,102,20190514,1,0,0
161,14,20190215,1,0,0
162,212,20200504,1,0,2
163,27,20190228,1,0,0
164,121,20200202,1,0,1
165,85,20190427,1,1,0
166,200,20200422,1,0,2
167,224,20200516,1,1,2
168,92,20190504,1,1,0
169,53,20190326,0,0,0
170,220,20200512,1,0,2
171,130,20200211,1,0,1
172,178,20200331,1,0,1
173,156,20200309,1,1,1
174,222,20200514,1,0,2
175,207,20200429,1,1,2
176,95,20190507,1,1,0
177,64,20190406,1,1,0
178,214,20200506,1,1,2
179,41,20190314,0,0,0
180,153,20200306,1,1,1
181,142,20200223,1,0,1
182,155,20200308,1,0,1
183,161,20200314,1,1,1
184,186,20200408,1,0,2
185,126,20200207,1,1,1
186,165,20200318,1,0,1
187,72,20190414,1,0,0
188,4,20190205,1,1,0
189,231,20200523,1,1,2
190,221,20200513,1,1,2
191,84,20190426,1,1,0
192,180,20200402,1,0,1
193,74,20190416,1,0,0
194,125,20200206,1,0,1
195,0,20190201,1,0,0
196,157,20200310,1,0,1
197,58,20190331,0,0,0
198,86,20190428,1,1,0
199,164,20200317,1,0,1
200,111,20190523,1,0,0
201,127,20200208,1,1,1
202,59,20190401,1,1,0
203,23,20190224,1,0,0
204,172,20200325,1,0,1
205,219,20200511,1,1,2
206,46,20190319,0,0,0
207,31,20190304,0,1,0
208,67,20190409,1,1,0
209,118,20190530,1,0,0
210,152,20200305,1,0,1
211,194,20200416,1,1,2
212,238,20200530,1,1,2
213,101,20190513,1,1,0
214,169,20200322,1,0,1
215,233,20200525,1,1,2
216,9,20190210,1,0,0
217,144,20200225,1,0,1
218,33,20190306,0,0,0
219,223,20200515,1,0,2
220,3,20190204,1,0,0
221,97,20190509,1,0,0
222,184,20200406,1,1,2
223,37,20190310,0,0,0
224,160,20200313,1,1,1
225,191,20200413,1,1,2
226,189,20200411,1,1,2
227,162,20200315,1,1,1
228,196,20200418,1,1,2
229,228,20200520,1,0,2
230,42,20190315,0,1,0
231,15,20190216,1,1,0
232,123,20200204,1,0,0
233,93,20190505,1,0,0
234,106,20190518,1,1,0
235,217,20200509,1,1,2
236,24,20190225,1,1,0
237,205,20200427,1,1,2
238,120,20200201,1,1,0
239,38,20190311,0,1,0
