,Unnamed: 0,DATE,PN,CN,COVID
0,170,20200323,1,1,1
1,174,20200327,1,1,1
2,135,20200216,1,1,1
3,20,20190221,1,0,0
4,166,20200319,1,1,1
5,18,20190219,1,0,0
6,131,20200212,1,0,1
7,73,20190415,1,1,0
8,71,20190413,1,1,0
9,177,20200330,1,1,1
10,173,20200326,1,0,1
11,56,20190329,0,1,0
12,45,20190318,0,1,0
13,192,20200414,1,1,2
14,199,20200421,1,0,2
15,32,20190305,0,1,0
16,143,20200224,1,1,1
17,159,20200312,1,0,1
18,17,20190218,1,1,0
19,22,20190223,1,1,0
20,167,20200320,1,1,1
21,113,20190525,1,1,0
22,236,20200528,1,0,2
23,115,20190527,1,1,0
24,145,20200226,1,0,1
25,11,20190212,1,0,0
26,61,20190403,1,0,0
27,65,20190407,1,0,0
28,168,20200321,1,1,1
29,68,20190410,1,1,0
30,16,20190217,1,0,0
31,211,20200503,1,0,2
32,141,20200222,1,1,1
33,195,20200417,1,0,2
34,232,20200524,1,0,2
35,210,20200502,1,0,2
36,216,20200508,1,0,2
37,119,20190531,1,1,0
38,91,20190503,1,1,0
39,57,20190330,0,1,0
40,87,20190429,1,1,0
41,187,20200409,1,0,2
42,69,20190411,1,0,0
43,208,20200430,1,1,2
44,2,20190203,1,0,0
45,44,20190317,0,0,0
46,80,20190422,1,1,0
47,150,20200303,1,0,1
48,218,20200510,1,1,2
49,129,20200210,1,1,1
50,225,20200517,1,0,2
51,136,20200217,1,1,1
52,213,20200505,1,1,2
53,149,20200302,1,1,1
54,116,20190528,1,1,0
55,193,20200415,1,1,2
56,215,20200507,1,0,2
57,227,20200519,1,0,2
58,108,20190520,1,1,0
59,40,20190313,0,0,0
60,29,20190302,0,0,0
61,60,20190402,1,0,0
62,110,20190522,1,0,0
63,83,20190425,1,0,0
64,147,20200228,1,0,1
65,154,20200307,1,1,1
66,79,20190421,1,0,0
67,203,20200425,1,1,2
68,104,20190516,1,0,0
69,132,20200213,1,1,1
70,30,20190303,0,0,0
71,52,20190325,0,1,0
72,163,20200316,1,1,1
73,49,20190322,0,1,0
74,43,20190316,0,1,0
75,114,20190526,1,0,0
76,26,20190227,1,0,0
77,96,20190508,1,0,0
78,182,20200404,1,1,2
79,75,20190417,1,0,0
80,100,20190512,1,0,0
81,117,20190529,1,0,0
82,134,20200215,1,1,1
83,137,20200218,1,0,1
84,122,20200203,1,1,1
85,105,20190517,1,1,0
86,1,20190202,1,1,0
87,19,20190220,1,0,0
88,234,20200526,1,0,2
89,89,20190501,1,1,0
90,55,20190328,0,0,0
91,51,20190324,0,0,0
92,63,20190405,1,1,0
93,198,20200420,1,1,2
94,179,20200401,1,0,1
95,8,20190209,1,1,0
96,39,20190312,0,0,0
97,201,20200423,1,0,2
98,151,20200304,1,0,1
99,88,20190430,1,1,0
100,48,20190321,0,1,0
101,124,20200205,1,0,1
102,148,20200301,1,1,1
103,176,20200329,1,0,1
104,81,20190423,1,0,0
105,109,20190521,1,0,0
106,139,20200220,1,0,1
107,171,20200324,1,0,1
108,36,20190309,0,1,0
109,140,20200221,1,0,1
110,7,20190208,1,0,0
111,138,20200219,1,0,1
112,28,20190301,0,1,0
113,158,20200311,1,0,1
114,12,20190213,1,0,0
115,190,20200412,1,1,2
116,62,20190404,1,0,0
117,50,20190323,0,1,0
118,34,20190307,0,0,0
119,90,20190502,1,1,0
120,82,20190424,1,0,0
121,35,20190308,0,1,0
122,204,20200426,1,0,2
123,5,20190206,1,1,0
124,133,20200214,1,1,1
125,54,20190327,0,0,0
126,183,20200405,1,0,2
127,128,20200209,1,0,1
128,99,20190511,1,1,0
129,230,20200522,1,0,2
130,70,20190412,1,1,0
131,98,20190510,1,1,0
132,112,20190524,1,1,0
133,197,20200419,1,1,2
134,94,20190506,1,1,0
135,10,20190211,1,1,0
136,206,20200428,1,0,2
137,47,20190320,0,1,0
138,13,20190214,1,0,0
139,107,20190519,1,1,0
140,77,20190419,1,1,0
141,6,20190207,1,1,0
142,226,20200518,1,1,2
143,185,20200407,1,0,2
