,DATE,PN,CN,COVID
144,200405,0,1,2
145,200310,0,1,1
146,190225,1,1,0
147,190328,0,0,0
148,190317,0,1,0
149,190212,1,1,0
150,200201,0,1,0
151,200322,0,1,1
152,190226,1,1,0
153,200429,0,0,2
154,200328,0,1,1
155,200403,0,1,2
156,190518,1,1,0
157,190410,0,0,0
158,190510,1,0,0
159,190412,0,0,0
160,190501,1,1,0
161,200416,0,1,2
162,190420,0,1,0
163,200422,0,0,2
164,200404,0,1,2
165,190319,0,1,0
166,200218,0,1,1
167,190531,1,0,0
168,190323,0,1,0
169,200228,0,0,1
170,200308,0,1,1
171,190515,1,1,0
172,190222,1,0,0
173,190427,0,1,0
174,200517,0,1,2
175,190407,0,1,0
176,200215,0,1,1
177,190210,1,1,0
178,200510,0,1,2
179,190307,0,1,0
180,200522,0,0,2
181,190303,0,1,0
182,190327,0,1,0
183,190223,1,1,0
184,200227,0,0,1
185,200427,0,1,2
186,190220,1,0,0
187,190227,1,1,0
188,200424,0,0,2
189,190502,1,1,0
190,190417,0,0,0
191,200210,0,1,1
192,200508,0,1,2
193,200216,0,1,1
194,190311,0,1,0
195,200507,0,1,2
196,200506,0,1,2
197,200304,0,0,1
198,200402,0,0,2
199,200406,0,1,2
200,200419,0,1,2
201,200221,0,0,1
202,190207,1,1,0
203,190216,1,1,0
204,190405,0,0,0
205,190211,1,1,0
206,190202,1,1,0
207,200526,0,1,2
208,200316,0,1,1
209,200202,0,1,1
210,200207,0,0,1
211,200325,0,0,1
212,190312,0,1,0
213,190318,0,1,0
214,200417,0,1,2
215,200418,0,1,2
216,190224,1,1,0
217,200414,0,1,2
218,190530,1,1,0
219,190330,0,1,0
220,200527,0,0,2
221,200320,0,0,1
222,190204,1,0,0
223,190413,0,1,0
224,190517,1,0,0
225,200501,0,1,2
226,190520,1,1,0
227,190324,0,1,0
228,190322,0,1,0
229,200511,0,1,2
230,190429,0,1,0
231,200409,0,0,2
232,190406,0,1,0
233,200204,0,1,0
234,190416,0,1,0
235,190221,1,0,0
236,200519,0,1,2
237,190201,1,0,0
238,190215,1,0,0
239,190522,1,1,0
